date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2020-07-24,KCR,CLE,"L,0-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,.000,.000,.000,.000,2,1.32,-0.194,1.55,-0.14%,-1.81,SS
2020-07-25,KCR,CLE,"W,3-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,2,1.20,-0.131,1.42,-0.09%,-1.06,SS
2020-07-26,KCR,CLE,"L,2-9",4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.250,.417,2,.51,-0.008,.60,-0.01%,0.05,SS
2020-07-27,KCR,DET,"W,14-6",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.118,.118,.176,.294,3,.74,-0.141,.88,-0.10%,-1.77,SS
2020-07-28,KCR,DET,"L,3-4",4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,.095,.095,.143,.238,3,1.18,-0.145,1.43,-0.11%,-1.06,SS
2020-07-29,KCR,DET,"L,4-5",4,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.120,.120,.240,.360,6,.87,0.012,1.05,0.01%,-0.05,SS
2020-07-30,KCR,DET,"W,5-3",4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.207,.207,.310,.517,7,1.12,0.092,1.34,0.07%,0.76,SS
2020-07-31,KCR,CHW,"L,2-3",5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.206,.206,.294,.500,2,1.27,-0.101,1.56,-0.07%,-0.38,SS
2020-08-01,KCR,CHW,"L,5-11",4,4,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.237,.237,.342,.579,6,.70,0.016,.82,0.01%,0.77,SS
2020-08-02,KCR,CHW,"L,2-9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.231,.333,.564,7,.39,-0.010,.45,-0.01%,-0.12,SS
