date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,WSN,NYM,"L,0-2",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,3,1.72,-0.286,1.81,-0.18%,-2.29,3B
2019-03-30,WSN,NYM,"L,8-11",5,4,2,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,.250,.333,.375,.708,3,.83,-0.040,.85,-0.03%,0.78,3B
2019-03-31,WSN,NYM,"W,6-5",4,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.364,.462,.455,.916,3,.70,0.095,.67,0.06%,1.32,3B
2019-04-02,WSN,PHI,"L,2-8",4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.400,.471,.667,1.137,4,.53,0.036,.54,0.02%,1.21,3B
2019-04-03,WSN,PHI,"W,9-8",5,4,3,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,.474,.545,.895,1.440,3,.96,0.152,.92,0.09%,1.13,3B
2019-04-04,WSN,NYM,"W,4-0",4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.435,.500,.826,1.326,3,.47,-0.020,.48,-0.01%,0.19,3B
2019-04-06,WSN,NYM,"L,5-6",5,4,2,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,.444,.516,.926,1.442,3,1.17,0.317,1.25,0.20%,1.54,3B
2019-04-07,WSN,NYM,"W,12-9",5,3,3,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,.433,.528,.967,1.494,3,.30,0.016,.30,0.01%,3.54,3B
2019-04-08,WSN,PHI,"L,3-4",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.412,.500,.912,1.412,3,1.18,0.148,1.32,0.10%,0.15,3B
2019-04-09,WSN,PHI,"W,10-6",5,4,1,2,1,0,0,2,0,0,1,0,0,1,0,0,0,0,.421,.489,.895,1.384,3,1.88,0.059,1.94,0.04%,1.13,3B
2019-04-10,WSN,PHI,"W,15-1",4,4,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,.429,.490,.881,1.371,3,1.00,0.178,1.07,0.12%,2.88,3B
2019-04-12,WSN,PIT,"L,3-6",5,5,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.426,.481,.957,1.439,3,1.03,0.346,1.01,0.20%,1.38,3B
2019-04-13,WSN,PIT,"W,3-2",4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,.412,.466,.922,1.387,3,1.42,-0.164,1.36,-0.09%,-1.51,3B
2019-04-14,WSN,PIT,"L,3-4",5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.400,.460,.873,1.333,3,3.39,-0.196,3.41,-0.12%,-0.25,3B
2019-04-16,WSN,SFG,"L,3-7",4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.397,.463,.845,1.308,3,.87,-0.007,.81,0.00%,0.40,3B
2019-04-17,WSN,SFG,"W,9-6",5,4,1,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,.387,.458,.806,1.265,2,.65,-0.087,.59,-0.05%,-1.02,3B
2019-04-18,WSN,SFG,"W,4-2",4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.379,.447,.788,1.235,2,.42,-0.019,.40,-0.01%,-0.81,3B
2019-04-19,WSN,MIA,"L,2-3",4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.377,.450,.783,1.233,2,1.30,0.067,1.41,0.04%,0.04,3B
2019-04-20,WSN,MIA,"L,3-9",2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.371,.451,.771,1.223,2,.99,0.011,1.00,0.01%,0.07,3B
2019-04-26,WSN,SDP,"L,3-4",4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.356,.442,.740,1.182,3,1.15,-0.074,1.12,-0.04%,-0.53,3B
2019-05-07,WSN,MIL,"L,0-6",4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,.342,.433,.711,1.144,3,1.59,-0.130,1.09,-0.05%,-0.79,3B
2019-05-08,WSN,MIL,"L,3-7",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.325,.415,.675,1.090,3,.36,-0.037,.24,-0.02%,-0.85,3B
2019-05-09,WSN,LAD,"W,6-0",5,4,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,.333,.424,.679,1.103,3,.45,0.046,.27,0.02%,1.22,3B
2019-05-10,WSN,LAD,"L,0-5",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.318,.408,.648,1.055,3,.88,-0.090,.58,-0.04%,-1.42,3B
2019-05-11,WSN,LAD,"W,5-2",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.315,.402,.641,1.043,4,2.29,-0.181,1.38,-0.07%,-0.98,3B
2019-05-12,WSN,LAD,"L,0-6",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.305,.391,.621,1.012,4,.83,-0.067,.51,-0.03%,-0.58,3B
2019-05-14,WSN,NYM,"L,2-6",4,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.316,.404,.633,1.036,4,.50,0.079,.31,0.03%,0.95,3B
2019-05-15,WSN,NYM,"W,5-1",4,4,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.415,.657,1.072,3,.63,0.159,.36,0.06%,2.40,3B
2019-05-16,WSN,NYM,"W,7-6",5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.327,.407,.636,1.042,3,.79,0.043,.50,0.02%,0.43,3B
2019-05-17,WSN,CHC,"L,6-14",5,4,2,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,.324,.406,.649,1.055,3,1.48,-0.064,.90,-0.02%,0.44,3B
2019-05-18,WSN,CHC,"W,5-2",5,4,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.330,.414,.652,1.066,3,.68,0.061,.39,0.02%,0.21,3B
