date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-30,CIN,WSN,"L,0-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.27,-0.115,1.21,-0.07%,-0.69,CF
2018-04-01,CIN,WSN,"L,5-6",5,5,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.111,.111,.222,.333,1,1.13,-0.037,.94,-0.02%,0.51,CF
2018-04-02,CIN,CHC,"W,1-0",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.083,.154,.167,.321,8,1.04,-0.083,.87,-0.04%,-1.11,CF
2018-04-05,CIN,PIT,"L,2-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.063,.118,.125,.243,1,.93,-0.091,.87,-0.05%,-0.93,CF
2018-04-06,CIN,PIT,"L,3-14",4,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.111,.238,.167,.405,9,1.29,0.033,1.15,0.02%,0.70,CF
2018-04-07,CIN,PIT,"W,7-4",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.158,.273,.211,.483,9,3.40,0.134,2.91,0.07%,0.71,CF
2018-04-08,CIN,PIT,"L,0-5",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.136,.240,.182,.422,9,.58,-0.042,.53,-0.02%,-0.65,CF
2018-04-09,CIN,PHI,"L,5-6",4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.192,.276,.231,.507,9,1.39,0.085,1.07,0.04%,0.32,CF
2018-04-10,CIN,PHI,"L,1-6",3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,.185,.313,.222,.535,9,1.04,0.001,.72,0.00%,0.20,CF
2018-04-11,CIN,PHI,"L,3-4",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.156,.270,.188,.458,9,2.20,-0.296,1.41,-0.11%,-1.38,CF
2018-04-12,CIN,STL,"L,4-13",5,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.286,.194,.480,1,.53,0.067,.34,0.03%,0.29,CF
2018-04-13,CIN,STL,"L,3-5",4,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.184,.326,.211,.537,1,.67,0.085,.40,0.03%,0.92,CF
2018-04-14,CIN,STL,"L,1-6",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.167,.300,.190,.490,1,.51,-0.051,.27,-0.02%,-0.73,CF
2018-04-15,CIN,STL,"L,2-3",5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.170,.291,.255,.546,1,2.09,-0.162,.98,-0.05%,-0.06,CF
2018-04-16,CIN,MIL,"W,10-4",5,4,2,2,0,0,0,3,1,0,1,0,0,0,0,0,0,0,.196,.317,.275,.591,1,.72,0.142,.28,0.03%,2.71,CF
2018-04-17,CIN,MIL,"L,0-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.182,.297,.255,.551,1,.97,-0.098,.44,-0.03%,-0.80,CF
2018-04-18,CIN,MIL,"L,0-2",3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.172,.284,.241,.525,9,1.33,0.019,.58,0.01%,0.04,CF
2018-04-20,CIN,STL,"L,2-4",3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.180,.286,.246,.532,9,.52,-0.011,.20,0.00%,-0.07,CF
2018-04-21,CIN,STL,"L,3-4",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.180,.286,.246,.532,1,,,,,,PR
2018-04-22,CIN,STL,"L,2-9",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.172,.274,.234,.508,9,.85,-0.066,.24,-0.01%,-0.54,CF
2018-04-23,CIN,ATL,"W,10-4",4,3,2,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.179,.286,.239,.525,9,.61,-0.019,.13,0.00%,0.01,CF
2018-04-24,CIN,ATL,"W,9-7",5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.181,.280,.236,.517,9,.96,0.007,.23,0.00%,0.06,CF
2018-04-25,CIN,ATL,"L,4-5",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.178,.277,.233,.510,8,2.29,-0.057,.63,-0.01%,-0.77,PH CF
2018-04-26,CIN,ATL,"L,4-7",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.171,.276,.224,.500,1,1.09,-0.001,.24,0.00%,0.17,CF
2018-04-27,CIN,MIN,"W,15-9",6,4,2,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,.175,.290,.250,.540,9,.84,0.170,.16,0.02%,0.80,CF
2018-04-28,CIN,MIN,"L,1-3",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.169,.281,.241,.522,9,1.98,-0.224,.44,-0.03%,-1.64,CF
2018-04-29,CIN,MIN,"W,8-2",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.169,.281,.241,.522,1,,,,,,CF
2018-04-30,CIN,MIL,"L,5-6",4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.172,.280,.253,.533,9,1.48,-0.022,.35,0.00%,0.07,CF
2018-05-01,CIN,MIL,"L,6-7",4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.187,.288,.264,.552,9,1.38,0.093,.28,0.01%,0.59,CF
2018-05-02,CIN,MIL,"L,1-3",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.191,.290,.266,.556,9,1.84,-0.087,.31,-0.01%,-0.49,CF
2018-05-04,CIN,MIA,"W,4-1",4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.198,.306,.271,.577,9,.20,0.013,.03,0.00%,0.49,CF
2018-05-06,CIN,MIA,"L,5-8",4,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.204,.322,.286,.607,9,.66,0.052,.08,0.00%,0.88,CF
2018-05-07,CIN,NYM,"L,6-7",4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.206,.319,.314,.633,9,1.49,-0.095,.15,-0.01%,0.18,CF
2018-05-08,CIN,NYM,"W,7-2",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.317,.311,.628,9,.47,-0.042,.04,0.00%,-1.20,CF
2018-05-09,CIN,NYM,"W,2-1",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.202,.310,.303,.612,9,1.00,-0.079,.09,0.00%,-0.58,CF
2018-05-10,CIN,LAD,"W,4-1",4,4,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,.212,.315,.327,.643,9,1.04,0.068,.11,0.00%,0.76,CF
2018-05-11,CIN,LAD,"W,6-2",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.205,.306,.316,.622,9,.41,-0.036,.05,0.00%,-0.79,CF
2018-05-12,CIN,LAD,"W,5-3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.203,.304,.314,.617,1,.27,-0.007,.04,0.00%,-0.22,CF
2018-05-13,CIN,LAD,"W,5-3",4,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,.215,.317,.322,.639,9,.71,0.070,.11,0.01%,0.90,CF
2018-05-14,CIN,SFG,"L,7-10",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.216,.315,.320,.635,9,1.22,-0.123,.22,-0.01%,-0.86,CF
2018-05-15,CIN,SFG,"L,3-5",3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.219,.315,.320,.635,9,1.21,-0.022,.17,0.00%,0.15,CF
2018-05-16,CIN,SFG,"W,6-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.212,.307,.311,.617,9,.51,-0.053,.06,0.00%,-0.75,CF
2018-05-18,CIN,CHC,"L,1-8",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.207,.301,.304,.604,9,.39,-0.029,.06,0.00%,-0.68,CF
2018-05-19,CIN,CHC,"W,5-4",5,4,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,.209,.304,.309,.613,9,1.51,0.102,.18,0.01%,0.26,CF
2018-05-19,CIN,CHC,"L,0-10",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.207,.302,.307,.609,5,.00,0.000,.00,0.00%,-0.10,PH
2018-05-20,CIN,CHC,"L,1-6",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.203,.296,.301,.597,9,.96,-0.074,.12,-0.01%,-0.69,CF
2018-05-22,CIN,PIT,"W,7-2",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.297,.301,.598,9,.40,-0.014,.04,0.00%,-0.21,CF
2018-05-23,CIN,PIT,"L,4-5",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.199,.288,.291,.580,9,1.61,-0.201,.18,-0.01%,-1.20,CF
2018-05-24,CIN,PIT,"W,5-4",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.199,.288,.291,.580,9,,,,,,CF
2018-05-25,CIN,COL,"L,4-5",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.200,.287,.290,.578,9,1.52,-0.058,.15,0.00%,-0.08,CF
2018-05-26,CIN,COL,"W,6-5",4,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,.201,.287,.302,.588,9,1.23,0.212,.11,0.01%,0.82,CF
2018-05-27,CIN,COL,"L,2-8",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.204,.291,.302,.594,9,.47,0.031,.05,0.00%,0.69,CF
2018-05-28,CIN,ARI,"L,5-12",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.205,.290,.301,.592,9,1.11,-0.127,.08,-0.01%,-1.33,CF
2018-05-29,CIN,ARI,"L,2-5",3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.213,.296,.308,.604,9,.69,0.051,.04,0.00%,0.49,CF
