date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2016-04-03,TBR,TOR,"L,3-5",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,6,1.04,-0.101,1.13,-0.07%,-0.84,SS
2016-04-04,TBR,TOR,"L,3-5",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.125,.000,.125,6,1.62,-0.029,1.63,-0.02%,-0.13,SS
2016-04-05,TBR,TOR,"W,3-2",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.000,.091,.000,.091,6,1.16,-0.114,1.08,-0.06%,-0.88,SS
2016-04-08,TBR,BAL,"L,1-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.067,.000,.067,6,.74,-0.083,.78,-0.05%,-1.35,SS
2016-04-10,TBR,BAL,"L,3-5",4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.059,.158,.118,.276,6,1.30,-0.039,1.27,-0.02%,-0.53,SS
2016-04-12,TBR,CLE,"W,5-1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.050,.136,.100,.236,6,1.03,-0.081,.86,-0.04%,-0.53,SS
2016-04-13,TBR,CLE,"L,1-4",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.087,.160,.130,.290,6,.92,-0.024,.81,-0.01%,-0.07,SS
2016-04-14,TBR,CLE,"L,0-6",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.077,.172,.115,.288,6,.67,-0.022,.55,-0.01%,-0.73,SS
2016-04-15,TBR,CHW,"L,0-1",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.071,.161,.107,.268,8,1.35,-0.067,1.07,-0.03%,-0.38,SS
2016-04-16,TBR,CHW,"W,7-2",4,4,1,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,.125,.200,.281,.481,7,.43,0.110,.31,0.05%,2.70,SS
2016-04-17,TBR,CHW,"W,3-2",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.114,.184,.257,.441,9,.57,-0.047,.45,-0.02%,-0.51,SS
2016-04-19,TBR,BOS,"W,3-0",5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.128,.209,.256,.466,6,1.34,-0.098,1.22,-0.05%,-0.17,SS
2016-04-20,TBR,BOS,"L,3-7",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.116,.191,.233,.424,6,.49,-0.052,.46,-0.03%,-1.07,SS
2016-04-22,TBR,NYY,"L,3-6",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.114,.188,.227,.415,8,2.16,-0.056,2.10,-0.03%,-0.25,PH SS
2016-04-23,TBR,NYY,"L,2-3",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.106,.176,.213,.389,6,1.14,-0.089,1.06,-0.05%,-0.81,SS
2016-04-24,TBR,NYY,"W,8-1",5,5,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.115,.179,.231,.409,6,.21,0.077,.19,0.04%,0.14,SS
2016-04-25,TBR,BAL,"W,2-0",2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.130,.190,.259,.449,6,.80,-0.006,.82,0.00%,-0.01,SS
2016-04-26,TBR,BAL,"W,3-1",4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.155,.210,.293,.503,2,1.12,0.099,1.21,0.06%,0.54,SS
2016-04-27,TBR,BAL,"L,1-3",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.148,.212,.279,.491,2,.94,0.012,1.10,0.01%,0.07,SS
2016-04-29,TBR,TOR,"L,1-6",4,3,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.172,.243,.344,.587,2,1.27,0.050,1.27,0.03%,1.52,SS
2016-04-30,TBR,TOR,"W,4-3",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.254,.354,.607,7,2.24,0.074,2.09,0.04%,0.38,PH
2016-05-01,TBR,TOR,"L,1-5",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.176,.253,.338,.592,2,1.34,-0.058,1.29,-0.03%,-0.30,SS
2016-05-04,TBR,LAD,"W,8-5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.174,.250,.333,.583,8,.33,-0.008,.26,0.00%,-0.76,PH SS
2016-05-06,TBR,LAA,"W,5-2",5,5,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,.216,.284,.405,.689,2,.39,0.023,.32,0.01%,1.70,SS
2016-05-07,TBR,LAA,"W,4-2",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.215,.279,.392,.671,2,1.41,-0.104,1.25,-0.06%,-0.98,SS
2016-05-08,TBR,LAA,"W,3-1",4,4,1,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,.217,.278,.422,.699,2,.91,0.111,.88,0.06%,0.67,SS
2016-05-09,TBR,SEA,"L,2-5",4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.212,.287,.412,.699,2,.89,0.002,.90,0.00%,0.07,SS
2016-05-10,TBR,SEA,"L,4-6",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.213,.286,.404,.690,2,1.07,-0.045,.97,-0.03%,-0.71,SS
2016-05-11,TBR,SEA,"L,5-6",6,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.213,.288,.394,.682,2,1.58,-0.061,1.44,-0.03%,-0.38,SS
2016-05-13,TBR,OAK,"L,3-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.204,.278,.378,.655,6,1.29,-0.136,.98,-0.06%,-1.24,SS
2016-05-14,TBR,OAK,"W,6-0",5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.204,.274,.398,.672,2,.48,0.156,.34,0.07%,0.75,SS
2016-05-15,TBR,OAK,"L,6-7",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.196,.265,.383,.648,2,.56,-0.057,.43,-0.03%,-0.91,SS
2016-05-16,TBR,TOR,"W,13-2",2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.202,.269,.385,.654,8,.01,0.000,.01,0.00%,-0.07,SS
2016-05-17,TBR,TOR,"W,12-2",5,5,0,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,.219,.282,.421,.703,2,.45,0.102,.39,0.05%,2.72,SS
2016-05-20,TBR,DET,"W,7-5",5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.212,.279,.407,.686,2,.50,-0.011,.45,-0.01%,-0.29,SS
2016-05-21,TBR,DET,"L,4-5",4,4,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,.221,.286,.434,.720,2,1.01,0.101,.98,0.06%,1.90,SS
2016-05-22,TBR,DET,"L,4-9",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.216,.279,.424,.703,2,.86,-0.102,.75,-0.05%,-1.11,SS
2016-05-23,TBR,MIA,"L,6-7",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.285,.429,.713,4,2.03,0.080,1.66,0.04%,0.25,SS
2016-05-24,TBR,MIA,"W,4-3",5,3,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,.233,.303,.434,.737,2,.89,0.066,.66,0.03%,0.26,SS
2016-05-25,TBR,MIA,"L,3-4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.301,.431,.731,7,3.42,-0.086,2.68,-0.04%,-0.23,PH
2016-05-26,TBR,MIA,"L,1-9",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.233,.306,.429,.735,2,.43,0.004,.32,0.00%,0.33,SS
2016-05-27,TBR,NYY,"L,1-4",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.298,.416,.714,2,.77,-0.079,.57,-0.04%,-0.89,SS
2016-05-28,TBR,NYY,"W,9-5",5,5,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,.232,.301,.437,.738,2,.43,0.103,.30,0.04%,0.20,SS
2016-05-29,TBR,NYY,"L,1-2",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.300,.432,.732,2,1.20,-0.103,.95,-0.05%,-0.89,SS
2016-05-30,TBR,KCR,"L,2-6",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.233,.300,.432,.732,4,,,,,,SS
2016-05-31,TBR,KCR,"L,5-10",5,5,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,.245,.309,.457,.766,2,.50,0.072,.28,0.03%,1.20,SS
2016-06-01,TBR,KCR,"L,3-6",5,5,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.244,.306,.449,.755,2,1.39,-0.108,.71,-0.03%,-0.64,SS
2016-06-02,TBR,MIN,"L,4-6",4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.310,.450,.760,2,1.02,0.062,.45,0.02%,0.51,SS
2016-06-03,TBR,MIN,"W,4-2",4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.309,.445,.754,2,1.58,0.176,.60,0.04%,0.43,SS
2016-06-04,TBR,MIN,"W,7-4",5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.306,.444,.750,1,.57,-0.031,.25,-0.01%,-0.53,SS
2016-06-05,TBR,MIN,"W,7-5",5,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.243,.298,.434,.731,2,2.04,-0.003,1.07,0.00%,-0.97,SS
2016-06-06,TBR,ARI,"W,6-4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.241,.296,.431,.727,7,.37,-0.020,.20,-0.01%,-0.55,PH SS
