date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2016-05-07,KCR,CLE,"W,7-0",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,7,.36,-0.030,.38,-0.02%,0.16,3B
2016-05-08,KCR,CLE,"L,4-5",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,7,1.39,-0.030,1.55,-0.02%,-0.37,3B
2016-05-09,KCR,NYY,"L,3-6",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.250,.250,.500,8,1.00,-0.051,.95,-0.03%,-0.72,3B
2016-05-10,KCR,NYY,"L,7-10",4,4,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.313,.313,.500,.813,8,1.03,0.189,.93,0.10%,1.68,3B
2016-05-11,KCR,NYY,"W,7-3",5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.286,.286,.429,.714,7,.65,-0.115,.55,-0.06%,-1.47,3B
2016-05-12,KCR,NYY,"L,3-7",4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.280,.440,.720,7,.62,-0.029,.58,-0.02%,-0.38,3B
2016-05-13,KCR,ATL,"W,5-1",4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.286,.310,.464,.775,7,.54,-0.004,.45,0.00%,0.13,3B
2016-05-14,KCR,ATL,"L,0-5",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.281,.419,.701,7,1.33,-0.100,1.20,-0.05%,-0.93,3B
2016-05-15,KCR,ATL,"W,4-2",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.222,.243,.361,.604,6,1.08,-0.138,.94,-0.07%,-0.93,3B
2016-05-17,KCR,BOS,"W,8-4",4,4,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.275,.293,.425,.718,7,.81,0.085,.78,0.05%,0.78,3B
