date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-30,PIT,DET,"W,13-10",6,6,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.167,.167,.167,.333,5,1.60,-0.222,1.45,-0.12%,-1.37,LF
2018-04-01,PIT,DET,"W,1-0",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.100,.100,.200,5,1.03,-0.116,1.00,-0.07%,-1.35,LF
2018-04-02,PIT,MIN,"W,5-4",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.077,.077,.077,.154,5,.71,-0.036,.75,-0.02%,-1.19,LF
2018-04-04,PIT,MIN,"L,3-7",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.176,.176,.176,.353,5,1.00,0.022,1.08,0.02%,-0.05,LF
2018-04-05,PIT,CIN,"W,5-2",4,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,.238,.238,.381,.619,5,.64,0.053,.77,0.04%,1.46,LF
2018-04-06,PIT,CIN,"W,14-3",5,4,2,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,.320,.346,.520,.866,5,.52,0.075,.64,0.06%,1.86,LF
2018-04-07,PIT,CIN,"L,4-7",4,4,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,.310,.333,.517,.851,5,.80,0.154,1.00,0.12%,1.35,LF
2018-04-08,PIT,CIN,"W,5-0",4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.303,.324,.576,.899,5,.70,-0.038,.85,-0.03%,0.16,LF
2018-04-10,PIT,CHC,"W,8-5",5,5,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.342,.359,.605,.964,5,.65,0.157,.89,0.13%,1.46,LF
2018-04-12,PIT,CHC,"W,6-1",5,3,1,1,1,0,0,0,2,1,0,0,0,0,1,0,1,0,.341,.386,.610,.996,5,.84,0.075,1.16,0.06%,1.24,LF
2018-04-13,PIT,MIA,"L,2-7",4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.356,.396,.622,1.018,6,.85,0.054,1.05,0.04%,0.34,LF
2018-04-14,PIT,MIA,"W,1-0",4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.347,.385,.592,.976,5,2.09,0.109,2.44,0.08%,0.22,LF
2018-04-15,PIT,MIA,"W,7-3",5,4,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,.358,.386,.585,.971,5,.73,0.080,.87,0.06%,-0.02,LF
2018-04-16,PIT,COL,"L,2-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.351,.377,.561,.938,5,.63,0.010,.77,0.01%,-0.16,LF
2018-04-17,PIT,COL,"L,0-2",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.328,.354,.525,.878,5,1.14,-0.100,1.40,-0.07%,-0.72,LF
2018-04-19,PIT,PHI,"L,0-7",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.313,.338,.500,.838,5,.39,-0.029,.47,-0.02%,-0.49,LF
2018-04-20,PIT,PHI,"L,1-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.319,.471,.790,5,1.72,-0.173,2.06,-0.12%,-1.39,LF
2018-04-21,PIT,PHI,"L,2-6",4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.306,.329,.472,.801,5,1.06,0.009,1.25,0.01%,0.17,LF
2018-04-22,PIT,PHI,"L,2-3",5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.303,.333,.461,.794,4,1.73,-0.108,1.96,-0.07%,-0.60,LF
2018-04-25,PIT,DET,"L,10-13",5,5,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.321,.349,.481,.830,5,1.39,0.092,1.41,0.06%,0.14,LF
2018-04-25,PIT,DET,"W,8-3",2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.317,.352,.476,.828,9,.17,0.000,.17,0.00%,-0.63,PH LF
2018-04-26,PIT,DET,"W,1-0",4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.314,.348,.500,.848,5,1.29,0.337,1.32,0.21%,0.35,LF
2018-04-27,PIT,STL,"W,6-5",5,4,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,.322,.351,.511,.862,5,1.16,-0.025,1.48,-0.02%,0.25,LF
2018-04-28,PIT,STL,"W,6-2",4,3,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,.323,.356,.505,.862,5,1.40,-0.035,1.85,-0.03%,0.33,LF
2018-04-29,PIT,STL,"W,5-0",4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.316,.362,.495,.857,5,1.11,0.038,1.49,0.03%,0.38,LF
2018-04-30,PIT,WSN,"L,2-3",4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.313,.358,.515,.873,5,1.25,0.025,1.48,0.02%,0.28,LF
2018-05-01,PIT,WSN,"L,4-12",4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.311,.354,.534,.888,5,.42,-0.046,.49,-0.03%,0.89,LF
2018-05-02,PIT,WSN,"L,3-9",4,4,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,.318,.359,.533,.892,5,1.28,0.108,1.44,0.07%,0.85,LF
2018-05-03,PIT,WSN,"L,1-3",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.315,.355,.523,.878,5,1.08,-0.048,1.17,-0.03%,-0.32,LF
2018-05-04,PIT,MIL,"W,6-4",5,4,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.313,.357,.539,.896,5,1.12,0.159,1.40,0.12%,0.86,LF
2018-05-05,PIT,MIL,"L,3-5",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.303,.346,.521,.867,5,1.29,-0.132,1.72,-0.11%,-0.94,LF
2018-05-06,PIT,MIL,"W,9-0",5,5,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.315,.356,.532,.888,5,.34,0.124,.41,0.09%,1.67,LF
2018-05-08,PIT,CHW,"W,10-6",5,5,1,4,1,0,0,2,0,0,1,0,0,0,0,0,0,1,.333,.371,.550,.922,5,.99,0.093,1.08,0.06%,1.88,LF
2018-05-09,PIT,CHW,"W,6-5",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.323,.361,.534,.895,5,1.69,-0.158,1.91,-0.11%,-1.27,DH
2018-05-12,PIT,SFG,"W,6-5",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.321,.358,.526,.884,5,1.53,0.018,1.87,0.01%,0.21,LF
2018-05-13,PIT,SFG,"L,0-5",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.319,.355,.525,.880,5,.89,-0.001,1.10,0.00%,-0.24,LF
