date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-30,NYY,BAL,"L,3-5",4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.750,1.250,9,1.68,0.078,1.88,0.05%,0.93,3B
2019-03-31,NYY,BAL,"L,5-7",5,2,1,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.667,.778,.833,1.611,9,1.47,0.213,1.53,0.13%,2.44,2B
2019-04-01,NYY,DET,"W,3-1",3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.500,.667,.625,1.292,7,.61,-0.011,.55,-0.01%,-0.16,3B
2019-04-02,NYY,DET,"L,1-3",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.625,.583,1.208,5,1.06,-0.027,.97,-0.02%,0.11,3B
2019-04-03,NYY,DET,"L,1-2",4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.438,.550,.563,1.113,1,.91,-0.030,.82,-0.02%,-0.18,3B
2019-04-04,NYY,BAL,"W,8-4",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.500,.500,1.000,6,.90,-0.031,.88,-0.02%,-0.40,3B
2019-04-06,NYY,BAL,"W,6-4",4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.458,.536,.542,1.077,7,1.36,0.084,1.39,0.05%,0.42,2B 3B
2019-04-07,NYY,BAL,"W,15-3",4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.429,.500,.536,1.036,6,.42,-0.036,.47,-0.02%,0.25,2B
2019-04-08,NYY,HOU,"L,3-4",4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.406,.472,.531,1.003,7,.78,-0.041,.78,-0.02%,-0.26,2B
2019-04-09,NYY,HOU,"L,3-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.361,.425,.472,.897,6,.87,-0.099,.84,-0.06%,-0.98,2B
