date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-04-14,TEX,OAK,"W,8-7",1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,8,3.86,0.421,3.36,0.22%,1.74,PH 2B
2019-04-15,TEX,LAA,"W,12-7",5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.500,.500,.833,1.333,2,.94,-0.012,.86,-0.01%,-0.37,2B
2019-04-16,TEX,LAA,"W,5-0",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.300,.300,.500,.800,7,.27,-0.029,.27,-0.02%,-0.86,2B
2019-04-17,TEX,LAA,"W,5-4",4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.286,.286,.500,.786,2,.98,-0.010,1.06,-0.01%,0.10,2B
2019-04-19,TEX,HOU,"L,2-7",4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.278,.278,.611,.889,2,.61,-0.039,.72,-0.03%,0.13,2B
2019-04-20,TEX,HOU,"W,9-4",5,5,1,3,1,0,0,1,0,0,1,0,0,0,0,0,1,1,.348,.348,.652,1.000,2,.44,0.080,.50,0.06%,0.74,2B
2019-04-21,TEX,HOU,"W,11-10",5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.308,.333,.577,.910,2,.56,-0.025,.68,-0.02%,0.47,2B
2019-04-22,TEX,OAK,"L,1-6",5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.290,.313,.516,.829,2,.89,-0.068,1.05,-0.05%,-1.07,2B
2019-04-23,TEX,OAK,"L,5-11",5,5,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.333,.351,.611,.962,2,.39,0.031,.46,0.02%,1.56,2B
2019-04-24,TEX,OAK,"L,5-6",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.325,.341,.575,.916,2,1.01,-0.014,1.16,-0.01%,0.09,2B
2019-04-25,TEX,SEA,"L,2-14",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.318,.333,.545,.879,2,.50,-0.049,.57,-0.03%,-0.47,2B
2019-04-26,TEX,SEA,"L,4-5",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.286,.300,.490,.790,8,1.94,-0.254,2.09,-0.16%,-1.50,1B
2019-04-27,TEX,SEA,"W,15-1",6,5,2,3,2,0,0,1,0,0,1,1,0,0,0,0,0,0,.315,.339,.537,.876,7,.19,0.019,.20,0.01%,1.81,1B
2019-04-28,TEX,SEA,"W,14-1",5,4,3,3,0,0,0,1,0,0,0,0,0,1,1,0,1,0,.345,.361,.552,.912,6,.34,-0.010,.39,-0.01%,2.10,1B
2019-04-30,TEX,PIT,"L,4-6",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.339,.355,.542,.897,1,1.88,-0.058,1.85,-0.03%,-0.37,PH
2019-05-01,TEX,PIT,"L,5-7",4,3,1,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,.355,.379,.613,.992,7,1.36,0.225,1.30,0.13%,2.06,1B
2019-05-03,TEX,TOR,"L,0-1",5,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.333,.366,.576,.942,7,2.27,-0.169,2.13,-0.10%,-0.92,1B
2019-05-05,TEX,TOR,"W,10-2",4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.329,.360,.571,.931,7,.20,-0.002,.20,0.00%,-0.05,1B
2019-05-07,TEX,PIT,"L,4-5",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.329,.368,.571,.940,8,1.54,0.056,1.52,0.03%,0.22,PH
2019-05-08,TEX,PIT,"W,9-6",5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.311,.358,.541,.899,7,.67,-0.037,.62,-0.02%,-0.41,1B
2019-05-09,TEX,HOU,"L,2-4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.307,.354,.533,.887,9,1.07,-0.029,1.28,-0.02%,-0.12,PH
2019-05-11,TEX,HOU,"L,4-11",4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.316,.360,.532,.892,2,1.17,0.057,1.24,0.04%,0.47,CF
2019-05-12,TEX,HOU,"L,5-15",5,5,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.298,.341,.500,.841,2,.23,-0.030,.23,-0.02%,-1.38,CF
2019-05-15,TEX,KCR,"W,6-1",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.298,.341,.500,.841,1,,,,,,CF
2019-05-16,TEX,KCR,"W,16-1",7,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.319,.357,.505,.863,1,.65,0.175,.44,0.07%,1.23,SS
2019-05-18,TEX,STL,"L,2-8",4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.309,.353,.489,.842,7,.51,-0.054,.38,-0.02%,-0.32,SS
2019-05-19,TEX,STL,"W,5-4",2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.316,.365,.526,.892,8,3.62,0.414,2.42,0.17%,1.62,PH 1B
