date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,ATL,PHI,"L,4-10",4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.500,.667,1.167,8,.58,-0.009,.62,-0.01%,-0.63,SS
2019-03-30,ATL,PHI,"L,6-8",4,3,2,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.333,.500,1.000,1.500,8,1.06,0.106,1.14,0.07%,1.34,SS
2019-03-31,ATL,PHI,"L,1-5",3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.250,.455,.750,1.205,8,1.10,0.027,1.11,0.02%,0.38,SS
2019-04-01,ATL,CHC,"W,8-0",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.400,.583,.983,8,.27,-0.003,.22,0.00%,0.48,SS
2019-04-03,ATL,CHC,"W,6-4",4,2,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,.286,.421,.786,1.207,8,.90,0.088,.78,0.05%,0.70,SS
2019-04-04,ATL,CHC,"W,9-4",4,3,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.353,.478,.765,1.243,8,.86,-0.009,.75,-0.01%,1.32,SS
2019-04-05,ATL,MIA,"W,4-0",3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.316,.462,.684,1.146,8,.44,-0.025,.45,-0.02%,-0.44,SS
2019-04-06,ATL,MIA,"L,2-4",4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.318,.467,.636,1.103,8,1.40,-0.050,1.48,-0.03%,0.08,SS
2019-04-07,ATL,MIA,"W,4-3",4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.346,.471,.731,1.201,6,1.16,0.145,1.18,0.09%,1.48,SS
2019-04-08,ATL,COL,"W,8-6",5,4,1,1,0,1,0,3,0,0,1,0,0,1,0,0,0,0,.333,.436,.733,1.169,6,.73,0.007,.72,0.00%,1.09,SS
2019-04-09,ATL,COL,"W,7-1",4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.324,.419,.765,1.183,6,.63,0.105,.63,0.06%,1.10,SS
2019-04-11,ATL,NYM,"L,3-6",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.324,.426,.730,1.155,6,.75,0.006,.94,0.01%,0.19,SS
2019-04-12,ATL,NYM,"L,2-6",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.293,.392,.659,1.051,6,1.03,-0.106,1.23,-0.08%,-1.43,SS
2019-04-13,ATL,NYM,"W,11-7",5,4,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,.289,.393,.622,1.015,6,.66,0.081,.77,0.06%,1.37,SS
2019-04-14,ATL,NYM,"W,7-3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283,.386,.609,.995,9,.11,-0.003,.13,0.00%,-0.35,PH
2019-04-16,ATL,ARI,"L,6-9",4,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,.292,.410,.625,1.035,6,1.03,0.114,1.09,0.07%,0.29,SS
2019-04-17,ATL,ARI,"L,2-3",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.275,.400,.588,.988,6,1.39,-0.058,1.45,-0.04%,-0.28,SS
2019-04-18,ATL,ARI,"L,1-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.391,.564,.955,6,1.70,-0.078,1.68,-0.05%,-0.60,SS
2019-04-20,ATL,CLE,"L,4-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.254,.370,.525,.895,6,.92,-0.102,.84,-0.06%,-1.41,SS
2019-04-20,ATL,CLE,"W,8-7",4,3,2,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,.258,.377,.565,.941,7,.31,0.030,.28,0.02%,1.61,SS
2019-04-21,ATL,CLE,"W,11-5",5,5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.254,.366,.537,.903,7,.37,-0.036,.36,-0.02%,-0.97,SS
2019-04-23,ATL,CIN,"L,6-7",4,4,1,2,1,1,0,1,0,0,1,0,0,0,0,0,1,0,.268,.372,.577,.950,6,1.58,0.222,1.60,0.14%,1.63,SS
2019-04-24,ATL,CIN,"W,3-1",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.352,.539,.891,6,1.14,-0.173,1.16,-0.11%,-2.01,SS
