date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2020-07-23,SFG,LAD,"L,1-8",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,8,1.15,-0.029,1.34,-0.02%,-0.16,PH 2B
2020-07-25,SFG,LAD,"W,5-4",5,5,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.167,.167,.333,.500,2,1.00,0.049,1.14,0.03%,0.57,3B
2020-07-26,SFG,LAD,"W,3-1",4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.300,.300,.400,.700,5,1.32,0.108,1.62,0.08%,0.61,3B
2020-07-28,SFG,SDP,"L,3-5",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.364,.364,.455,.818,8,1.06,0.046,1.29,0.03%,0.26,PH 2B
2020-07-29,SFG,SDP,"W,7-6",4,4,1,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,.400,.400,.667,1.067,7,1.31,0.477,1.55,0.34%,2.94,3B
2020-07-30,SFG,SDP,"L,7-12",6,5,1,4,3,0,0,2,0,0,1,0,0,1,0,0,0,0,.500,.476,.850,1.326,3,1.60,0.182,1.93,0.13%,1.90,2B
2020-07-31,SFG,TEX,"W,9-2",4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.458,.440,.750,1.190,6,.95,-0.062,1.05,-0.04%,0.24,2B
2020-08-01,SFG,TEX,"W,7-3",5,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,.448,.433,.690,1.123,3,.80,0.046,.90,0.03%,1.08,2B
2020-08-02,SFG,TEX,"L,5-9",4,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.484,.500,.710,1.210,6,.98,0.168,1.13,0.12%,1.57,2B
2020-08-03,SFG,COL,"L,6-7",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.457,.474,.657,1.131,3,.78,-0.005,.96,0.00%,-0.45,2B
2020-08-05,SFG,COL,"W,4-3",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.436,.452,.615,1.068,3,1.06,-0.065,1.24,-0.05%,-0.55,3B
