date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,HOU,CLE,"W,2-0",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,4,.66,-0.049,.60,-0.03%,-0.47,DH
2015-04-08,HOU,CLE,"L,0-2",4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.000,.000,.000,.000,4,1.42,-0.147,1.37,-0.09%,-0.91,DH
2015-04-09,HOU,CLE,"L,1-5",4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.000,.000,.000,.000,4,.93,-0.089,.90,-0.05%,-1.12,DH
2015-04-10,HOU,TEX,"W,5-1",4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.000,.000,.000,.000,5,.55,-0.005,.55,0.00%,-0.20,DH
2015-04-12,HOU,TEX,"W,6-4",6,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.000,.048,.000,.048,5,1.14,-0.069,1.16,-0.04%,-0.67,DH
2015-04-13,HOU,OAK,"L,1-8",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.042,.080,.042,.122,5,.47,-0.047,.52,-0.03%,-0.51,DH
2015-04-14,HOU,OAK,"L,0-4",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.071,.103,.071,.175,4,1.18,-0.088,1.30,-0.06%,-0.87,DH
2015-04-15,HOU,OAK,"W,6-1",4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.094,.121,.188,.309,4,.39,-0.032,.39,-0.02%,0.39,DH
2015-04-17,HOU,LAA,"L,3-6",4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.139,.162,.250,.412,5,.83,0.038,.89,0.02%,0.31,DH
2015-04-18,HOU,LAA,"W,4-0",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.146,.225,.371,4,.68,-0.070,.71,-0.04%,-0.89,DH
2015-04-19,HOU,LAA,"W,4-3",4,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.119,.178,.214,.392,4,1.10,0.042,1.19,0.03%,0.08,DH
2015-04-20,HOU,SEA,"W,7-5",4,4,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,.130,.184,.239,.423,4,.95,0.137,1.13,0.10%,1.09,DH
2015-04-21,HOU,SEA,"W,6-3",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,.118,.167,.216,.382,4,.88,-0.124,1.05,-0.09%,-2.01,DH
2015-04-22,HOU,SEA,"L,2-3",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.109,.155,.200,.355,4,1.35,-0.128,1.58,-0.09%,-0.79,DH
2015-04-24,HOU,OAK,"W,5-4",4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.136,.177,.220,.398,5,1.10,-0.014,1.37,-0.01%,-0.13,DH
2015-04-26,HOU,OAK,"W,7-6",5,5,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,.156,.194,.250,.444,4,2.88,0.552,3.65,0.42%,3.00,DH
2015-04-27,HOU,SDP,"W,9-4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.191,.246,.437,9,.45,-0.010,.52,-0.01%,-0.44,PH
2015-04-28,HOU,SDP,"W,14-3",3,3,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.162,.197,.294,.491,4,.93,0.132,1.06,0.09%,0.81,LF
