date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2020-07-24,SEA,HOU,"L,2-8",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.250,.250,.500,2,.68,-0.070,.80,-0.05%,-0.34,1B
2020-07-25,SEA,HOU,"L,2-7",4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.143,.250,.143,.393,2,.49,-0.010,.58,-0.01%,-0.29,1B
2020-07-26,SEA,HOU,"W,7-6",5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.167,.231,.167,.397,5,1.36,-0.079,1.57,-0.06%,-0.63,1B
2020-07-27,SEA,HOU,"L,5-8",5,5,1,2,0,0,1,2,0,0,3,0,0,0,0,0,0,0,.235,.278,.412,.690,5,1.07,0.120,1.28,0.09%,1.59,1B
2020-07-28,SEA,LAA,"L,2-10",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.273,.350,.623,2,.71,-0.030,.83,-0.02%,-0.53,1B
2020-07-29,SEA,LAA,"W,10-7",5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.259,.292,.551,2,1.54,0.023,1.75,0.02%,-0.33,1B
2020-07-30,SEA,LAA,"W,8-5",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.241,.269,.511,5,.47,-0.027,.58,-0.02%,-0.49,PH 1B
2020-07-31,SEA,OAK,"W,5-3",4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.167,.242,.300,.542,5,.53,-0.034,.66,-0.03%,-0.71,1B
2020-08-01,SEA,OAK,"L,2-3",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.152,.243,.273,.516,5,1.83,0.047,2.35,0.04%,-0.06,1B
2020-08-02,SEA,OAK,"L,2-3",4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.139,.244,.250,.494,5,1.54,-0.053,1.98,-0.04%,-0.20,1B
2020-08-03,SEA,OAK,"L,1-11",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.125,.222,.225,.447,7,.74,-0.069,.91,-0.05%,-1.06,1B
2020-08-04,SEA,LAA,"L,3-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.114,.204,.205,.409,6,1.46,-0.155,1.75,-0.11%,-1.20,1B
2020-08-05,SEA,LAA,"W,7-6",4,4,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,.125,.208,.229,.437,7,.91,-0.049,1.02,-0.03%,0.18,1B
2020-08-06,SEA,LAA,"L,1-6",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.118,.196,.216,.412,6,.92,-0.070,1.09,-0.05%,-0.65,1B
2020-08-08,SEA,COL,"L,0-5",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.111,.186,.204,.390,6,.93,-0.125,.87,-0.07%,-1.49,1B
2020-08-09,SEA,COL,"W,5-3",4,3,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.105,.175,.193,.368,6,.66,-0.037,.54,-0.02%,-1.32,1B
2020-08-10,SEA,TEX,"W,10-2",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.113,.176,.194,.370,7,.76,-0.171,.82,-0.11%,-2.24,1B
2020-08-11,SEA,TEX,"L,2-4",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.106,.167,.182,.348,7,.74,-0.080,.84,-0.05%,-0.73,1B
2020-08-12,SEA,TEX,"L,4-7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.104,.164,.179,.343,8,.61,-0.017,.68,-0.01%,-0.28,1B
2020-08-14,SEA,HOU,"L,1-11",4,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.113,.169,.197,.366,8,.12,-0.009,.11,-0.01%,0.14,1B
2020-08-15,SEA,HOU,"L,1-2",3,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.123,.188,.247,.434,8,.85,0.083,.68,0.04%,1.01,1B
2020-08-16,SEA,HOU,"L,2-3",4,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,.120,.202,.240,.442,7,1.47,-0.033,.98,-0.01%,0.11,1B
2020-08-17,SEA,LAD,"L,9-11",4,4,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.139,.216,.329,.545,7,.88,0.239,.42,0.07%,2.38,1B
2020-08-18,SEA,LAD,"L,1-2",3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.134,.209,.317,.526,7,1.35,-0.021,.55,-0.01%,-0.22,1B
2020-08-19,SEA,LAD,"W,6-4",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.133,.207,.313,.520,6,1.53,-0.043,.44,-0.01%,-0.51,1B
2020-08-22,SEA,TEX,"W,10-1",5,5,1,2,1,0,1,6,0,0,2,0,0,0,0,0,0,0,.148,.216,.364,.580,6,.52,0.218,.19,0.05%,3.03,1B
2020-08-23,SEA,TEX,"W,4-1",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.210,.352,.562,6,.39,-0.030,.18,-0.01%,-0.51,1B
2020-08-25,SEA,SDP,"W,8-3",5,4,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.168,.238,.379,.617,6,.55,0.152,.29,0.05%,2.35,1B
2020-08-27,SEA,SDP,"L,7-10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.236,.375,.611,6,1.44,-0.035,.94,-0.01%,-0.30,1B
2020-08-30,SEA,LAA,"W,2-1",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.170,.236,.370,.606,6,1.38,-0.046,.53,-0.01%,-0.29,1B
2020-08-31,SEA,LAA,"W,2-1",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.163,.228,.356,.584,6,1.33,-0.134,.59,-0.04%,-1.27,1B
2020-09-04,SEA,TEX,"W,6-3",4,2,1,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,.179,.254,.377,.632,7,.66,0.157,.36,0.05%,2.44,1B
2020-09-05,SEA,TEX,"W,5-3",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.182,.254,.373,.627,7,.87,-0.044,.61,-0.02%,0.19,1B
2020-09-06,SEA,TEX,"W,4-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.175,.246,.360,.606,5,.54,-0.053,.52,-0.03%,-0.82,1B
2020-09-07,SEA,TEX,"W,8-4",4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.179,.254,.359,.613,6,.42,0.052,.46,0.03%,0.22,1B
2020-09-08,SEA,SFG,"L,5-6",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.190,.261,.364,.625,7,1.07,-0.014,1.38,-0.01%,-0.24,1B
