date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2017-04-02,SFG,ARI,"L,5-6",5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.250,.400,.250,.650,3,.86,-0.018,.91,-0.01%,0.01,RF
2017-04-04,SFG,ARI,"W,8-4",6,6,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.455,.500,.955,3,.51,-0.004,.51,0.00%,-0.03,RF
2017-04-05,SFG,ARI,"L,6-8",5,5,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.400,.438,.600,1.038,3,.63,0.040,.66,0.03%,0.30,RF
2017-04-06,SFG,ARI,"L,3-9",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.400,.500,.900,3,.95,-0.036,.99,-0.02%,-0.53,RF
2017-04-07,SFG,SDP,"L,6-7",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.316,.381,.474,.855,7,2.10,-0.052,1.98,-0.03%,-0.16,PH
2017-04-08,SFG,SDP,"L,1-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.261,.320,.391,.711,3,.92,-0.096,.79,-0.05%,-0.85,RF
2017-04-09,SFG,SDP,"W,5-3",5,5,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.250,.300,.464,.764,3,.46,0.099,.38,0.05%,0.90,RF
2017-04-10,SFG,ARI,"W,4-1",4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.324,.500,.824,3,.88,-0.030,.80,-0.02%,-0.25,RF
2017-04-11,SFG,ARI,"L,3-4",5,2,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.324,.410,.529,.940,3,.55,0.108,.54,0.06%,1.08,RF
2017-04-12,SFG,ARI,"W,6-2",5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.308,.386,.487,.874,3,.98,0.075,.89,0.04%,0.05,RF
2017-04-13,SFG,COL,"L,1-3",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.302,.375,.465,.840,4,1.76,-0.012,1.65,-0.01%,-0.51,RF
2017-04-14,SFG,COL,"W,8-2",4,4,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.340,.404,.489,.893,3,.47,0.099,.42,0.05%,1.84,RF
2017-04-15,SFG,COL,"L,0-5",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.314,.375,.451,.826,3,.39,-0.038,.38,-0.02%,-0.81,RF
2017-04-16,SFG,COL,"L,3-4",4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.296,.350,.426,.776,3,1.73,-0.170,1.56,-0.09%,-0.98,RF
2017-04-18,SFG,KCR,"W,2-1",5,4,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.310,.369,.431,.800,3,1.48,0.231,1.08,0.10%,1.26,RF
2017-04-19,SFG,KCR,"L,0-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.348,.403,.751,3,1.17,-0.123,.89,-0.06%,-0.86,RF
2017-04-21,SFG,COL,"L,5-6",5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.288,.351,.394,.745,3,1.64,-0.036,1.42,-0.02%,-0.44,RF
2017-04-22,SFG,COL,"L,3-12",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.288,.360,.394,.754,9,.28,0.009,.23,0.00%,0.29,PH
2017-04-23,SFG,COL,"L,0-8",3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.304,.372,.406,.778,3,.45,0.018,.35,0.01%,0.16,RF
2017-04-24,SFG,LAD,"W,2-1",4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.315,.378,.411,.789,1,.93,0.081,.59,0.03%,0.78,RF
2017-04-25,SFG,LAD,"L,1-2",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.312,.372,.403,.775,1,1.35,-0.038,.93,-0.02%,0.01,RF
2017-04-26,SFG,LAD,"W,4-3",5,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.296,.352,.383,.734,1,1.45,-0.056,.89,-0.02%,-1.37,RF
2017-04-27,SFG,LAD,"L,1-5",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.291,.344,.372,.716,1,1.00,-0.018,.70,-0.01%,-0.36,RF
2017-04-28,SFG,SDP,"W,4-3",4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.281,.340,.360,.700,3,1.93,-0.171,1.18,-0.06%,-1.21,RF
2017-04-29,SFG,SDP,"L,4-12",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.337,.356,.692,3,.00,0.000,.00,0.00%,-0.11,PH
2017-04-30,SFG,SDP,"L,2-5",5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.266,.330,.340,.671,3,1.00,-0.079,.60,-0.03%,-0.45,RF
2017-05-01,SFG,LAD,"W,4-3",4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,.265,.327,.367,.695,3,1.04,0.081,.58,0.03%,0.71,RF
2017-05-02,SFG,LAD,"L,5-13",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.265,.325,.363,.687,3,.39,-0.018,.25,-0.01%,-0.90,RF
2017-05-03,SFG,LAD,"W,4-1",6,5,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.271,.325,.364,.689,3,2.33,0.141,1.36,0.05%,-0.20,RF
2017-05-05,SFG,CIN,"L,3-13",3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.264,.317,.355,.672,3,.57,-0.039,.33,-0.01%,-0.28,RF
2017-05-06,SFG,CIN,"L,2-14",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.307,.342,.649,3,.22,-0.023,.12,-0.01%,-0.70,RF
2017-05-07,SFG,CIN,"L,0-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.254,.305,.339,.644,3,.63,0.001,.32,0.00%,-0.18,RF
2017-05-08,SFG,NYM,"L,3-4",4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.254,.304,.361,.664,3,1.07,0.092,.47,0.02%,1.19,RF
2017-05-09,SFG,NYM,"L,1-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.246,.295,.349,.644,3,.55,-0.080,.21,-0.02%,-1.32,RF
2017-05-10,SFG,NYM,"W,6-5",5,5,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.244,.292,.344,.635,3,2.13,0.195,.73,0.04%,0.22,RF
2017-05-11,SFG,CIN,"L,2-3",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.244,.291,.341,.631,3,1.30,-0.093,.49,-0.02%,-0.56,RF
2017-05-12,SFG,CIN,"W,3-2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.289,.338,.627,7,1.39,-0.036,.44,-0.01%,-0.11,PH
2017-06-04,SFG,PHI,"L,7-9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.241,.287,.336,.622,9,2.44,-0.110,.55,-0.02%,-0.53,RF
2017-06-05,SFG,MIL,"W,7-2",5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.239,.284,.331,.615,6,1.62,-0.070,.38,-0.01%,-0.30,RF
2017-06-06,SFG,MIL,"L,2-5",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.233,.277,.322,.599,6,1.02,-0.098,.27,-0.02%,-1.14,RF
