date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,CIN,PIT,"W,5-2",3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.500,.667,2.000,2.667,6,.73,0.139,.74,0.09%,1.16,RF
2015-04-08,CIN,PIT,"W,5-4",5,4,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,.333,.500,.833,1.333,5,1.29,0.021,1.48,0.02%,0.35,RF
2015-04-09,CIN,PIT,"W,3-2",4,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.222,.417,.556,.972,5,2.10,-0.088,2.41,-0.06%,-0.43,RF
2015-04-10,CIN,STL,"W,5-4",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.400,.500,.900,5,.64,0.003,.79,0.00%,0.06,RF
2015-04-11,CIN,STL,"L,1-4",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.188,.316,.375,.691,5,1.41,-0.151,1.74,-0.11%,-1.09,RF
2015-04-12,CIN,STL,"L,5-7",6,4,1,1,0,0,1,1,2,0,2,0,0,0,0,0,0,0,.200,.360,.500,.860,5,1.80,-0.035,2.19,-0.03%,-0.01,RF
2015-04-13,CIN,CHC,"L,6-7",5,5,1,2,1,0,0,2,0,0,2,0,0,0,0,0,1,0,.240,.367,.520,.887,6,1.46,0.049,1.69,0.03%,1.10,RF
2015-04-14,CIN,CHC,"W,3-2",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.241,.353,.483,.836,5,.80,0.036,.94,0.03%,-0.12,RF
2015-04-15,CIN,CHC,"L,0-5",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.219,.324,.438,.762,6,.29,-0.022,.34,-0.02%,-0.40,RF
2015-04-17,CIN,STL,"L,1-6",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.200,.317,.400,.717,5,.92,-0.055,1.08,-0.04%,-0.45,RF
2015-04-18,CIN,STL,"L,2-5",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.205,.311,.385,.696,5,.76,-0.041,.87,-0.03%,-0.34,RF
2015-04-19,CIN,STL,"L,1-2",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.190,.306,.357,.663,5,1.79,-0.045,1.97,-0.03%,-0.47,RF
2015-04-20,CIN,MIL,"W,6-1",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.196,.302,.348,.650,4,1.28,0.039,1.21,0.02%,0.19,RF
2015-04-21,CIN,MIL,"W,16-10",5,4,2,1,0,0,1,4,1,0,2,0,0,0,0,0,1,0,.200,.310,.400,.710,5,.78,0.336,.75,0.19%,3.48,RF
2015-04-22,CIN,MIL,"W,2-1",3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.189,.295,.377,.672,5,.73,-0.055,.74,-0.03%,-0.41,RF
2015-04-23,CIN,MIL,"L,2-4",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.179,.281,.357,.638,5,1.19,-0.084,1.27,-0.05%,-0.59,RF
2015-04-24,CIN,CHC,"L,3-7",5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.164,.261,.328,.589,5,2.45,-0.311,2.81,-0.22%,-1.85,RF
2015-04-26,CIN,CHC,"L,2-5",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.161,.257,.323,.580,6,.84,-0.021,.82,-0.01%,-0.22,PH
2015-04-27,CIN,MIL,"W,9-6",5,1,2,1,0,0,1,3,3,0,0,0,0,1,0,0,0,0,.175,.293,.381,.674,5,.43,0.185,.36,0.09%,2.25,RF
2015-04-28,CIN,MIL,"W,4-2",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.182,.304,.379,.683,5,.54,-0.019,.50,-0.01%,-0.20,RF
2015-04-29,CIN,MIL,"L,3-8",4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.188,.313,.420,.734,4,.50,-0.026,.48,-0.02%,0.88,RF
2015-04-30,CIN,ATL,"W,5-1",4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.181,.310,.403,.713,5,1.10,-0.181,.96,-0.10%,-1.54,RF
2015-05-01,CIN,ATL,"L,3-4",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.173,.308,.387,.694,5,1.28,-0.065,1.13,-0.03%,-0.37,RF
2015-05-02,CIN,ATL,"W,8-4",4,4,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,.190,.316,.443,.759,5,.62,0.159,.53,0.08%,1.94,RF
2015-05-03,CIN,ATL,"L,0-5",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.181,.303,.422,.725,5,.47,-0.046,.44,-0.03%,-0.77,RF
2015-05-05,CIN,PIT,"W,7-1",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.184,.301,.414,.715,6,.77,0.010,.72,0.01%,-0.49,RF
2015-05-06,CIN,PIT,"W,3-0",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.176,.290,.396,.685,6,.92,-0.055,.93,-0.03%,-1.35,RF
2015-05-07,CIN,PIT,"L,2-7",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.170,.288,.383,.671,6,1.08,-0.061,1.11,-0.04%,-0.62,RF
2015-05-09,CIN,CHW,"W,10-4",5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.172,.284,.374,.658,4,1.26,-0.026,1.14,-0.01%,-0.78,RF
2015-05-10,CIN,CHW,"L,3-4",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.167,.283,.363,.646,6,2.04,-0.198,1.83,-0.11%,-1.01,RF
2015-05-11,CIN,ATL,"L,1-2",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.170,.282,.358,.641,6,2.32,-0.082,2.07,-0.04%,0.20,RF
2015-05-12,CIN,ATL,"W,4-3",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.173,.281,.355,.636,6,1.21,-0.097,1.02,-0.05%,-0.68,RF
2015-05-13,CIN,ATL,"W,5-1",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.273,.342,.615,6,.25,-0.025,.22,-0.01%,-1.03,RF
2015-05-14,CIN,SFG,"W,4-3",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.162,.272,.333,.605,6,1.79,-0.161,1.68,-0.09%,-1.26,RF
2015-05-16,CIN,SFG,"L,2-11",4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.174,.279,.364,.642,5,.21,-0.009,.20,-0.01%,0.76,RF
2015-05-17,CIN,SFG,"L,8-9",5,5,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.190,.290,.397,.686,7,1.50,0.248,1.36,0.14%,2.72,RF
2015-05-19,CIN,KCR,"L,0-3",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.194,.291,.395,.686,7,.94,-0.003,.75,0.00%,-0.02,RF
2015-05-20,CIN,KCR,"L,1-7",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.195,.289,.391,.680,6,1.13,-0.062,.85,-0.03%,-0.97,RF
2015-05-22,CIN,CLE,"L,3-7",4,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,.207,.308,.407,.715,7,.85,0.097,.55,0.04%,1.13,RF
2015-05-23,CIN,CLE,"L,1-2",4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.216,.313,.417,.730,5,1.57,-0.012,1.03,-0.01%,0.40,DH
2015-05-24,CIN,CLE,"L,2-5",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.211,.311,.408,.719,5,.92,-0.081,.55,-0.03%,-0.74,RF
2015-05-25,CIN,COL,"L,4-5",5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.224,.320,.415,.734,4,1.13,-0.079,.61,-0.03%,-0.22,RF
2015-05-26,CIN,COL,"W,2-1",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.225,.318,.417,.735,4,1.25,-0.074,.60,-0.02%,-0.36,RF
2015-05-27,CIN,COL,"L,4-6",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.226,.316,.413,.729,4,1.61,0.079,.81,0.02%,0.26,RF
2015-05-29,CIN,WSN,"W,5-2",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.222,.315,.405,.720,4,1.04,-0.083,.45,-0.02%,-0.89,RF
2015-05-30,CIN,WSN,"W,8-5",4,2,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,.219,.319,.400,.719,4,2.12,0.077,1.05,0.02%,0.76,RF
2015-05-31,CIN,WSN,"W,8-2",4,2,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,.222,.328,.407,.735,4,.80,0.059,.42,0.02%,1.56,RF
2015-06-02,CIN,PHI,"L,4-5",4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.230,.337,.412,.749,4,.79,0.017,.43,0.01%,0.44,RF
