date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,PHI,ATL,"W,10-4",4,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,.80,0.102,.88,0.07%,1.60,SS
2019-03-30,PHI,ATL,"W,8-6",4,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.375,.375,.500,.875,2,.73,-0.017,.82,-0.01%,-0.18,SS
2019-03-31,PHI,ATL,"W,5-1",5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.308,.333,.641,2,.86,-0.047,1.01,-0.03%,-0.82,SS
2019-04-02,PHI,WSN,"W,8-2",5,5,2,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,.353,.389,.471,.859,2,1.00,0.211,1.22,0.15%,2.86,SS
2019-04-03,PHI,WSN,"L,8-9",5,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.364,.391,.455,.846,2,1.20,0.036,1.49,0.03%,0.45,SS
2019-04-05,PHI,MIN,"W,10-4",5,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.370,.393,.481,.874,2,.51,0.118,.53,0.07%,0.94,SS
2019-04-06,PHI,MIN,"L,2-6",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.355,.375,.452,.827,2,1.31,-0.027,1.45,-0.02%,-0.22,SS
2019-04-07,PHI,MIN,"W,2-1",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.324,.361,.412,.773,2,1.02,-0.071,1.04,-0.04%,-0.59,SS
2019-04-08,PHI,WSN,"W,4-3",4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.342,.375,.421,.796,2,.53,0.034,.66,0.03%,0.42,SS
2019-04-09,PHI,WSN,"L,6-10",5,4,1,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,.333,.378,.452,.830,2,1.21,0.031,1.54,0.02%,1.65,SS
2019-04-10,PHI,WSN,"L,1-15",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.304,.347,.413,.760,2,.52,-0.052,.65,-0.04%,-1.60,SS
2019-04-12,PHI,MIA,"W,9-1",5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.370,.451,.821,2,.61,0.135,.68,0.09%,1.09,SS
2019-04-13,PHI,MIA,"L,3-10",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.309,.345,.418,.763,2,.57,-0.056,.67,-0.04%,-1.52,SS
2019-04-14,PHI,MIA,"W,3-1",7,5,1,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.317,.369,.467,.836,2,1.70,0.269,1.96,0.19%,1.26,SS
2019-04-15,PHI,NYM,"L,6-7",6,5,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,0,.323,.380,.462,.842,2,2.64,0.098,3.51,0.08%,0.30,SS
2019-04-16,PHI,NYM,"W,14-3",2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.328,.384,.478,.861,2,.75,0.094,.95,0.07%,0.77,SS
2019-04-27,PHI,MIA,"W,12-9",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.324,.387,.471,.857,2,.95,-0.001,1.19,0.00%,0.10,SS
2019-04-28,PHI,MIA,"W,5-1",4,4,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.347,.405,.514,.919,2,.66,0.196,.83,0.15%,2.98,SS
2019-04-30,PHI,DET,"L,1-3",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.329,.386,.487,.872,2,1.44,-0.126,1.71,-0.09%,-1.02,SS
2019-05-01,PHI,DET,"W,7-3",4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,.338,.391,.500,.891,2,1.01,-0.156,1.16,-0.11%,-1.20,SS
2019-05-03,PHI,WSN,"W,4-2",4,4,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.345,.396,.536,.931,2,.62,0.124,.86,0.10%,0.98,SS
2019-05-04,PHI,WSN,"L,8-10",5,5,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.360,.406,.551,.957,2,1.52,0.111,2.14,0.09%,1.24,SS
2019-05-05,PHI,WSN,"W,7-1",5,5,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.340,.386,.521,.907,2,.85,0.027,1.18,0.02%,-0.16,SS
2019-05-06,PHI,STL,"L,0-6",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.337,.381,.510,.891,2,.44,-0.004,.55,0.00%,-0.51,SS
2019-05-07,PHI,STL,"W,11-1",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.320,.364,.485,.849,2,.44,-0.067,.54,-0.05%,-1.88,SS
2019-05-08,PHI,STL,"W,5-0",5,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.306,.348,.463,.811,2,.46,0.011,.59,0.01%,-0.76,SS
2019-05-10,PHI,KCR,"L,1-5",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.345,.455,.800,2,1.04,-0.027,1.32,-0.02%,-0.43,SS
2019-05-11,PHI,KCR,"W,7-0",5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.302,.347,.448,.795,2,.80,0.035,1.00,0.03%,0.25,SS
2019-05-12,PHI,KCR,"W,6-1",5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.306,.349,.455,.803,2,.93,0.128,1.15,0.10%,0.46,SS
2019-05-13,PHI,MIL,"W,7-4",5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.302,.343,.444,.788,2,1.16,0.091,1.53,0.07%,0.56,SS
2019-05-14,PHI,MIL,"L,1-6",4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.308,.348,.446,.794,2,.42,0.015,.54,0.01%,0.75,SS
2019-05-15,PHI,MIL,"L,2-5",4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.313,.352,.470,.822,2,.89,0.077,1.15,0.06%,0.84,SS
2019-05-16,PHI,MIL,"L,3-11",4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,.312,.349,.486,.835,3,1.21,-0.074,1.58,-0.06%,-0.46,SS
2019-05-17,PHI,COL,"W,5-4",4,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.324,.360,.500,.860,2,.63,0.029,.80,0.02%,0.35,SS
2019-05-18,PHI,COL,"W,2-1",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.324,.364,.497,.860,2,.82,0.086,1.06,0.07%,0.94,SS
2019-05-19,PHI,COL,"W,7-5",5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.322,.365,.490,.855,2,1.14,0.014,1.45,0.01%,0.01,SS
2019-05-20,PHI,CHC,"W,5-4",5,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.318,.360,.481,.840,2,2.14,0.085,2.90,0.07%,-0.81,SS
2019-05-21,PHI,CHC,"L,2-3",4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.318,.363,.484,.847,2,.81,-0.008,1.08,-0.01%,0.07,SS
2019-05-22,PHI,CHC,"L,4-8",5,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.323,.370,.491,.861,2,.77,0.065,1.04,0.05%,0.59,SS
2019-05-23,PHI,CHC,"W,9-7",5,5,2,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.325,.371,.512,.883,2,.57,0.056,.76,0.05%,1.17,SS
2019-05-24,PHI,MIL,"W,6-4",5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.322,.366,.503,.869,2,.90,-0.046,1.23,-0.04%,-0.69,SS
2019-05-25,PHI,MIL,"W,7-2",5,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.320,.367,.497,.864,2,.94,0.053,1.29,0.04%,0.56,SS
2019-05-26,PHI,MIL,"L,1-9",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.315,.361,.489,.850,2,.56,-0.042,.75,-0.03%,-0.60,SS
2019-05-28,PHI,STL,"W,4-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.354,.478,.832,2,.89,-0.125,1.19,-0.10%,-1.42,SS
2019-05-29,PHI,STL,"W,11-4",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.306,.352,.473,.825,2,.79,-0.044,1.06,-0.04%,-0.58,SS
2019-05-30,PHI,STL,"L,3-5",4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.307,.355,.471,.826,2,1.23,0.041,1.68,0.03%,0.34,SS
2019-05-31,PHI,LAD,"L,3-6",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.301,.348,.461,.809,2,.96,-0.097,1.28,-0.08%,-0.94,SS
2019-06-01,PHI,LAD,"L,3-4",4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.296,.346,.454,.800,2,1.05,-0.037,1.40,-0.03%,-0.38,SS
