date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,CIN,PIT,"W,5-3",4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.250,.500,.750,2,.51,0.042,.54,0.03%,0.21,1B
2019-03-31,CIN,PIT,"L,0-5",4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.375,.625,1.000,2,.66,-0.005,.73,0.00%,0.28,1B
2019-04-01,CIN,MIL,"L,3-4",5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.385,.500,.885,2,2.16,-0.120,2.31,-0.08%,-0.14,1B
2019-04-02,CIN,MIL,"L,3-4",4,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.286,.412,.429,.840,2,1.01,0.003,1.06,0.00%,0.11,1B
2019-04-03,CIN,MIL,"L,0-1",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.333,.333,.667,2,2.13,-0.214,2.08,-0.13%,-1.00,1B
2019-04-04,CIN,PIT,"L,0-2",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.190,.320,.286,.606,2,1.15,-0.080,1.01,-0.04%,-0.37,1B
2019-04-05,CIN,PIT,"L,0-2",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.310,.320,.630,2,.87,-0.035,.73,-0.02%,-0.14,1B
2019-04-06,CIN,PIT,"L,5-6",5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.233,.324,.433,.757,2,1.15,0.218,.92,0.10%,0.96,1B
2019-04-07,CIN,PIT,"L,5-7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.314,.419,.734,9,.45,-0.012,.33,-0.01%,-0.11,PH
2019-04-09,CIN,MIA,"W,14-0",4,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.235,.333,.441,.775,2,.43,0.013,.26,0.01%,0.24,1B
2019-04-10,CIN,MIA,"W,2-1",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.216,.326,.405,.731,2,.93,-0.056,.60,-0.02%,-0.41,1B
2019-04-11,CIN,MIA,"W,5-0",4,4,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.244,.340,.415,.755,2,1.03,0.151,.72,0.06%,1.13,1B
2019-04-13,CIN,STL,"W,5-2",4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.353,.432,.785,2,.84,0.026,.67,0.01%,0.42,1B
2019-04-14,CIN,STL,"L,5-9",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.245,.339,.408,.747,2,.67,-0.101,.60,-0.06%,-1.18,1B
2019-04-15,CIN,LAD,"L,3-4",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.240,.333,.400,.733,8,1.40,-0.035,1.04,-0.02%,-0.16,PH 1B
2019-04-16,CIN,LAD,"L,1-6",4,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.241,.328,.407,.735,1,.76,0.014,.51,0.01%,0.42,1B
2019-04-17,CIN,LAD,"L,2-3",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.228,.323,.386,.709,1,.81,-0.029,.49,-0.01%,-0.06,1B
2019-04-18,CIN,SDP,"W,4-1",4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.230,.319,.426,.745,1,.45,0.075,.25,0.03%,0.69,1B
2019-04-19,CIN,SDP,"W,3-2",5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.227,.311,.409,.720,1,.86,-0.003,.52,0.00%,-0.40,1B
2019-04-23,CIN,ATL,"W,7-6",5,2,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.235,.342,.412,.754,1,.77,0.041,.54,0.02%,0.90,1B
2019-04-24,CIN,ATL,"L,1-3",4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.229,.349,.400,.749,1,1.08,0.040,.78,0.02%,0.24,1B
2019-04-25,CIN,ATL,"W,4-2",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.219,.345,.384,.728,1,.96,-0.080,.64,-0.03%,-1.31,1B
