date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2021-04-01,DET,CLE,"W,3-2",4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.333,.500,.333,.833,5,.31,0.004,.32,0.00%,-0.21,2B
2021-04-03,DET,CLE,"W,5-2",4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,.167,.250,.167,.417,5,.87,-0.083,.92,-0.05%,-1.20,1B
2021-04-04,DET,CLE,"L,3-9",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.182,.111,.293,5,.50,-0.038,.56,-0.03%,-0.42,2B
2021-04-05,DET,MIN,"L,6-15",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.200,.154,.354,6,.05,-0.005,.05,0.00%,-0.30,1B
2021-04-06,DET,MIN,"W,4-3",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.125,.211,.125,.336,7,1.32,-0.057,1.39,-0.04%,-0.89,2B
2021-04-07,DET,MIN,"L,2-3",4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.150,.217,.150,.367,6,1.81,-0.288,2.00,-0.19%,-1.52,2B
2021-04-09,DET,CLE,"L,1-4",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.130,.192,.130,.323,5,.64,-0.050,.65,-0.03%,-0.60,1B
2021-04-11,DET,CLE,"L,2-5",4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.185,.233,.185,.419,7,1.51,-0.030,1.44,-0.02%,-0.38,1B
2021-04-12,DET,HOU,"W,6-2",5,5,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.188,.229,.188,.416,6,.77,-0.069,.62,-0.03%,-0.76,2B
2021-04-13,DET,HOU,"W,8-2",4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.256,.222,.479,6,.49,-0.013,.42,-0.01%,0.04,2B
2021-04-14,DET,HOU,"W,6-4",4,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.231,.279,.231,.510,6,.63,0.085,.60,0.05%,0.85,1B
2021-04-15,DET,OAK,"L,4-8",4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.214,.255,.214,.470,7,.61,-0.067,.58,-0.04%,-0.74,2B
2021-04-16,DET,OAK,"L,0-3",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.240,.200,.440,7,.79,-0.063,.75,-0.04%,-0.49,1B
2021-04-17,DET,OAK,"L,0-7",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.184,.222,.184,.406,6,.57,-0.060,.50,-0.03%,-0.99,1B
2021-04-21,DET,PIT,"L,2-3",3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.192,.228,.192,.420,6,1.87,0.017,1.51,0.01%,0.57,1B
2021-04-21,DET,PIT,"W,5-2",3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.200,.233,.255,.488,5,.87,0.170,.67,0.08%,0.36,1B
2021-04-22,DET,PIT,"L,2-4",4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.220,.250,.271,.521,5,1.06,-0.028,.82,-0.01%,-0.11,1B
2021-04-23,DET,KCR,"L,2-6",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.206,.235,.254,.489,3,.50,-0.051,.44,-0.03%,-0.61,1B
2021-04-24,DET,KCR,"L,1-2",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.197,.225,.242,.468,6,.91,-0.070,.76,-0.04%,-0.44,1B
2021-04-25,DET,KCR,"L,0-4",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.188,.216,.232,.448,7,1.19,-0.097,.87,-0.04%,-0.70,DH
2021-04-27,DET,CHW,"W,5-2",4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.192,.218,.274,.492,4,1.12,-0.038,.61,-0.01%,0.20,1B
2021-04-29,DET,CHW,"L,1-3",3,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.197,.222,.289,.512,4,1.48,0.096,.93,0.04%,0.51,2B
2021-04-29,DET,CHW,"L,0-11",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.214,.278,.493,5,.76,-0.059,.41,-0.02%,-0.79,1B
2021-04-30,DET,NYY,"L,0-10",3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.198,.230,.284,.514,4,.42,-0.015,.17,0.00%,0.27,1B
2021-05-01,DET,NYY,"L,4-6",5,5,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,.198,.228,.279,.507,4,.90,-0.057,.34,-0.01%,0.77,1B
2021-05-02,DET,NYY,"L,0-2",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.191,.221,.270,.491,4,1.01,-0.077,.36,-0.02%,-0.66,DH
2021-05-04,DET,BOS,"L,7-11",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.181,.210,.255,.465,4,.68,-0.095,.21,-0.02%,-1.46,1B
2021-05-05,DET,BOS,"W,6-5",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.182,.210,.253,.462,2,1.58,0.024,.41,0.00%,-0.45,DH
2021-05-06,DET,BOS,"L,9-12",6,5,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.192,.225,.260,.485,2,1.34,0.072,.42,0.01%,0.61,1B
2021-05-07,DET,MIN,"L,3-7",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.185,.217,.250,.467,2,.93,-0.100,.29,-0.02%,-0.78,DH
2021-05-08,DET,MIN,"W,7-3",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.180,.218,.243,.462,6,1.17,-0.086,.31,-0.01%,-0.78,1B
2021-05-11,DET,KCR,"W,8-7",5,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.190,.226,.267,.493,5,.53,0.117,.16,0.02%,0.02,DH
2021-05-12,DET,KCR,"W,4-2",4,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.242,.283,.526,2,.75,0.008,.25,0.00%,0.30,DH
2021-05-13,DET,KCR,"W,4-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.202,.235,.274,.509,2,.33,-0.035,.11,-0.01%,-0.78,1B
2021-05-14,DET,CHC,"L,2-4",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.197,.230,.268,.497,5,1.16,-0.158,.42,-0.03%,-1.66,DH
2021-05-15,DET,CHC,"W,9-8",6,5,0,3,1,0,0,2,1,0,2,0,0,0,0,0,0,0,.212,.248,.288,.536,5,1.74,0.119,.51,0.02%,1.82,DH
2021-05-16,DET,CHC,"L,1-5",4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.213,.248,.294,.542,5,.71,-0.063,.25,-0.01%,-0.21,1B
2021-05-17,DET,SEA,"W,4-1",4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.214,.248,.314,.563,2,.52,0.145,.18,0.03%,1.33,2B
2021-05-18,DET,SEA,"W,5-0",5,5,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.221,.253,.317,.570,2,.56,0.006,.18,0.00%,0.80,2B
2021-05-19,DET,SEA,"W,6-2",5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,.216,.258,.311,.569,4,.81,-0.001,.30,0.00%,-0.99,1B
2021-05-21,DET,KCR,"W,7-5",5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.211,.256,.303,.559,2,1.03,-0.039,.48,-0.01%,-0.69,2B
2021-05-22,DET,KCR,"L,5-7",5,5,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.210,.254,.299,.554,6,1.89,-0.121,1.00,-0.04%,-0.35,1B
