date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,PIT,CIN,"L,3-5",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,PR
2019-04-01,PIT,STL,"L,5-6",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,4,,,,,,PR
2019-04-03,PIT,STL,"L,4-5",0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,6,,,,,,PR
2019-04-04,PIT,CIN,"W,2-0",3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,8,1.71,0.025,1.57,0.01%,-0.27,SS
2019-04-06,PIT,CIN,"W,6-5",5,4,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.286,.375,.429,.804,6,1.22,0.381,1.29,0.24%,1.45,2B
2019-04-08,PIT,CHC,"L,0-10",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.333,.364,.697,8,.28,-0.031,.33,-0.02%,-1.03,SS
2019-05-04,PIT,OAK,"W,6-4",1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,.333,.385,.583,.968,6,3.93,0.419,3.33,0.21%,1.86,PR SS
2019-05-05,PIT,OAK,"W,5-3",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.357,.538,.896,6,1.39,-0.036,1.21,-0.02%,-0.11,LF
2019-05-07,PIT,TEX,"W,5-4",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.313,.389,.500,.889,8,1.10,0.015,1.03,0.01%,0.41,2B SS
2019-05-08,PIT,TEX,"L,6-9",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.350,.409,.500,.909,7,.94,0.025,.91,0.02%,0.72,2B SS
2019-05-09,PIT,STL,"L,4-17",3,3,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.391,.440,.565,1.005,9,.06,0.009,.06,0.01%,0.66,SS
2019-05-10,PIT,STL,"W,2-1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.417,.462,.583,1.045,9,2.81,0.179,2.85,0.11%,0.96,PH
2019-05-11,PIT,STL,"W,2-1",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.370,.414,.519,.932,7,.73,-0.061,.79,-0.04%,-0.58,SS
2019-05-12,PIT,STL,"W,10-6",5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.344,.382,.469,.851,7,1.47,-0.144,1.62,-0.10%,-1.71,2B SS
2019-05-13,PIT,ARI,"L,3-9",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.368,.444,.813,7,.44,-0.054,.49,-0.04%,-0.45,3B SS
2019-05-16,PIT,SDP,"L,3-4",4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.350,.381,.475,.856,8,1.14,0.087,1.16,0.05%,0.66,SS
2019-05-17,PIT,SDP,"W,5-3",5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.341,.383,.455,.838,1,.65,-0.011,.63,-0.01%,-0.67,2B
2019-05-18,PIT,SDP,"W,7-2",4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.340,.392,.447,.839,8,.26,0.005,.28,0.00%,0.21,SS
2019-05-21,PIT,COL,"L,0-5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.385,.438,.822,9,1.35,-0.035,1.59,-0.03%,-0.44,PH
2019-05-22,PIT,COL,"L,3-9",4,3,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,.333,.393,.451,.844,8,.41,0.097,.46,0.07%,0.70,SS
2019-05-23,PIT,COL,"W,14-6",4,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.340,.417,.453,.869,8,.34,0.009,.36,0.01%,0.59,SS
2019-05-24,PIT,LAD,"L,2-10",2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.345,.419,.473,.892,9,.01,0.001,.01,0.00%,0.11,3B
2019-05-25,PIT,LAD,"L,2-7",4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.356,.424,.492,.916,6,.78,0.031,.86,0.02%,0.40,3B
