date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2021-04-01,MIL,MIN,"W,6-5",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,8,1.27,-0.065,1.15,-0.04%,-0.61,SS
2021-04-03,MIL,MIN,"L,0-2",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,2,1.57,-0.080,1.56,-0.05%,-0.41,PH SS
2021-04-04,MIL,MIN,"L,2-8",4,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.167,.375,.333,.708,6,.66,0.142,.60,0.08%,1.29,SS
2021-04-05,MIL,CHC,"L,3-5",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.100,.250,.200,.450,6,.63,-0.081,.66,-0.05%,-1.13,SS
2021-04-06,MIL,CHC,"W,4-0",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.250,.214,.464,8,.30,-0.016,.28,-0.01%,-0.21,SS
2021-04-07,MIL,CHC,"W,4-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.111,.200,.167,.367,6,1.92,-0.213,1.95,-0.13%,-1.42,SS
2021-04-08,MIL,STL,"L,1-3",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.095,.174,.143,.317,8,.92,-0.068,1.00,-0.04%,-0.65,SS
2021-04-10,MIL,STL,"W,9-5",5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.083,.214,.125,.339,8,.34,-0.040,.34,-0.02%,0.04,SS
2021-04-11,MIL,STL,"W,9-3",5,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,.074,.242,.111,.354,8,.27,0.015,.28,0.01%,0.36,SS
2021-04-12,MIL,CHC,"W,6-3",2,2,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,.103,.257,.172,.430,2,1.84,0.351,2.07,0.24%,2.34,PH SS
2021-04-13,MIL,CHC,"L,2-3",4,1,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,.133,.333,.300,.633,7,1.17,0.286,1.39,0.20%,2.51,SS
2021-04-14,MIL,CHC,"W,7-0",4,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,.129,.372,.290,.662,8,.34,0.003,.37,0.00%,1.34,SS
2021-04-16,MIL,PIT,"L,1-6",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.362,.314,.676,7,.79,0.019,.93,0.01%,-0.10,SS
2021-04-17,MIL,PIT,"W,7-1",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.154,.353,.308,.661,7,.41,0.114,.48,0.08%,0.41,SS
2021-04-19,MIL,SDP,"W,3-1",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.175,.365,.400,.765,7,1.04,0.119,1.06,0.07%,1.00,SS
2021-04-23,MIL,CHC,"L,2-15",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.159,.339,.364,.703,8,.03,-0.003,.04,0.00%,-1.24,SS
2021-04-24,MIL,CHC,"W,4-3",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.149,.333,.340,.674,8,1.16,-0.047,1.44,-0.04%,-0.53,SS
2021-04-25,MIL,CHC,"W,6-0",1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.167,.344,.354,.698,9,.99,0.042,1.31,0.03%,1.16,SS
2021-04-26,MIL,MIA,"L,0-8",3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.180,.349,.360,.709,7,.77,0.071,.94,0.05%,0.55,SS
2021-04-27,MIL,MIA,"W,5-4",4,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.185,.343,.370,.714,6,1.51,0.033,1.79,0.02%,-0.17,SS
2021-04-28,MIL,MIA,"L,2-6",3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.211,.357,.386,.743,8,.89,-0.001,1.06,0.00%,0.15,SS
2021-04-29,MIL,LAD,"W,2-1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.342,.367,.709,8,.67,-0.064,.80,-0.05%,-0.86,SS
2021-04-30,MIL,LAD,"W,3-1",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.206,.342,.365,.707,7,.82,-0.032,1.00,-0.02%,-0.35,SS
2021-05-01,MIL,LAD,"W,6-5",5,3,1,2,0,0,1,2,1,0,0,0,0,1,0,0,0,0,.227,.358,.424,.782,6,2.55,0.265,3.18,0.20%,1.20,SS
2021-05-02,MIL,LAD,"L,4-16",4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.232,.365,.420,.785,5,.05,0.002,.06,0.00%,0.12,SS
2021-05-03,MIL,PHI,"L,3-4",4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.233,.360,.425,.784,7,1.65,-0.116,2.06,-0.09%,-0.30,SS
2021-05-04,MIL,PHI,"L,5-6",5,5,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.231,.351,.410,.761,2,1.17,-0.055,1.44,-0.04%,0.27,SS
2021-05-05,MIL,PHI,"L,4-5",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.228,.347,.405,.752,3,4.05,-0.114,4.83,-0.08%,-0.36,PH
2021-05-06,MIL,PHI,"L,0-2",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.220,.337,.390,.727,6,.67,-0.052,.79,-0.04%,-0.32,SS
2021-05-07,MIL,MIA,"L,1-6",4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.343,.407,.750,5,.40,0.014,.45,0.01%,0.71,SS
2021-05-08,MIL,MIA,"W,6-2",5,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.222,.336,.389,.725,5,1.00,0.041,1.09,0.03%,-0.01,SS
2021-05-09,MIL,MIA,"W,2-1",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.213,.324,.372,.697,6,1.52,-0.182,1.69,-0.12%,-1.48,SS
2021-05-11,MIL,STL,"L,1-6",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.202,.310,.354,.664,5,1.12,-0.147,1.56,-0.12%,-1.67,SS
2021-05-12,MIL,STL,"W,4-1",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.194,.300,.340,.640,7,.52,-0.053,.72,-0.04%,-0.75,SS
2021-05-13,MIL,STL,"L,0-2",4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.206,.306,.346,.652,8,1.36,0.020,2.04,0.02%,0.19,SS
2021-05-14,MIL,ATL,"L,3-6",4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.216,.313,.378,.691,6,.72,0.036,.78,0.02%,1.23,SS
2021-05-15,MIL,ATL,"L,1-5",3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.212,.305,.372,.677,8,1.62,-0.100,1.81,-0.07%,-0.75,SS
2021-05-16,MIL,ATL,"W,10-9",5,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.209,.316,.365,.681,8,.61,0.030,.65,0.02%,0.36,SS
2021-05-18,MIL,KCR,"L,0-2",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.205,.317,.359,.676,8,1.51,-0.027,1.66,-0.02%,-0.10,SS
2021-05-21,MIL,CIN,"L,4-9",4,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.208,.322,.367,.688,8,1.16,0.101,1.23,0.06%,1.51,SS
2021-05-22,MIL,CIN,"W,4-3",3,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.211,.322,.390,.712,8,1.35,0.014,1.33,0.01%,0.19,2B
2021-05-23,MIL,CIN,"W,9-4",2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216,.324,.392,.716,9,.35,0.017,.38,0.01%,0.21,3B
2021-05-24,MIL,SDP,"W,5-3",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.219,.325,.391,.715,8,.37,-0.019,.40,-0.01%,-0.75,3B
2021-05-25,MIL,SDP,"L,1-7",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.217,.322,.388,.710,9,.18,-0.005,.21,0.00%,-0.24,SS
2021-05-26,MIL,SDP,"L,1-2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.215,.320,.385,.705,9,1.32,-0.034,1.44,-0.02%,-0.24,PH
2021-05-27,MIL,SDP,"W,6-5",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.207,.310,.370,.680,6,1.91,-0.328,1.94,-0.20%,-1.47,2B 3B
2021-05-29,MIL,WSN,"W,4-1",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.203,.304,.362,.667,8,.23,-0.017,.23,-0.01%,-0.36,3B
2021-05-29,MIL,WSN,"W,6-2",4,3,1,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,.220,.321,.383,.704,6,1.44,0.488,1.46,0.30%,2.94,3B
2021-05-31,MIL,DET,"W,3-2",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.221,.320,.379,.699,8,1.89,0.089,2.19,0.06%,0.00,3B
2021-06-01,MIL,DET,"L,7-10",4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.223,.324,.399,.722,8,.47,0.011,.55,0.01%,0.86,3B
2021-06-03,MIL,ARI,"W,7-4",2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.227,.326,.420,.746,1,.54,0.098,.60,0.07%,0.76,2B
2021-06-04,MIL,ARI,"W,5-1",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.221,.318,.409,.728,1,.61,-0.066,.74,-0.05%,-1.16,2B
2021-06-05,MIL,ARI,"W,7-5",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.217,.317,.401,.718,1,.84,-0.047,1.05,-0.04%,-0.52,2B
