date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2020-07-24,KCR,CLE,"L,0-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,7,1.26,-0.130,1.48,-0.09%,-0.97,3B
2020-07-25,KCR,CLE,"W,3-2",4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.000,.000,.000,.000,7,2.11,0.021,2.50,0.02%,-0.44,3B 1B
2020-07-26,KCR,CLE,"L,2-9",4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.182,.167,.273,.439,6,.26,0.018,.31,0.01%,0.65,1B
2020-07-27,KCR,DET,"W,14-6",5,5,2,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,.313,.294,.750,1.044,6,.64,0.301,.76,0.21%,3.21,3B
2020-07-28,KCR,DET,"L,3-4",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.263,.250,.632,.882,6,.74,-0.059,.90,-0.04%,-0.42,3B
2020-07-29,KCR,DET,"L,4-5",4,4,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,.348,.333,.739,1.072,4,1.22,0.156,1.48,0.11%,2.57,3B
2020-07-30,KCR,DET,"W,5-3",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.276,.607,.883,5,.93,-0.129,1.12,-0.09%,-1.48,3B
2020-07-31,KCR,CHW,"L,2-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.242,.531,.774,5,2.45,-0.259,3.01,-0.19%,-1.93,3B
2020-08-01,KCR,CHW,"L,5-11",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.243,.500,.743,5,.79,-0.041,.93,-0.03%,-0.70,3B
2020-08-02,KCR,CHW,"L,2-9",4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.244,.500,.744,5,1.12,0.004,1.29,0.00%,-0.13,3B
