date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2020-07-24,OAK,LAA,"W,7-3",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.250,.250,.500,7,1.85,-0.052,2.17,-0.04%,-0.47,LF
2020-07-26,OAK,LAA,"W,6-4",4,4,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,5,.81,0.028,.98,0.02%,0.51,RF
2020-07-27,OAK,LAA,"W,3-0",4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.333,.333,.583,.917,5,.48,0.045,.58,0.03%,0.72,LF
2020-07-28,OAK,COL,"L,3-8",4,2,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,.357,.375,.571,.946,5,1.69,0.101,1.77,0.06%,1.53,RF
2020-07-29,OAK,COL,"L,1-5",4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.294,.350,.471,.821,5,1.87,-0.054,2.04,-0.04%,-0.49,CF
2020-07-31,OAK,SEA,"L,3-5",4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.263,.375,.421,.796,5,.86,-0.008,1.08,-0.01%,-0.14,DH
2020-08-01,OAK,SEA,"W,3-2",4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.273,.393,.455,.847,4,1.20,0.037,1.46,0.03%,0.40,LF
2020-08-02,OAK,SEA,"W,3-2",4,2,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,.292,.438,.500,.938,5,.67,0.028,.84,0.02%,0.02,RF
2020-08-03,OAK,SEA,"W,11-1",6,3,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,.296,.474,.481,.955,3,.60,0.020,.77,0.02%,2.27,LF CF
2020-08-04,OAK,TEX,"W,5-1",4,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.286,.500,.464,.964,5,1.57,0.190,1.95,0.14%,1.33,DH
2020-08-05,OAK,TEX,"W,6-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.457,.406,.863,5,.81,-0.083,.98,-0.06%,-0.90,DH
2020-08-06,OAK,TEX,"W,6-4",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.440,.389,.829,4,1.03,0.013,1.16,0.01%,-0.28,LF
2020-08-07,OAK,HOU,"W,3-2",6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.214,.393,.333,.726,5,2.18,-0.372,2.38,-0.24%,-2.34,RF
2020-08-08,OAK,HOU,"W,3-1",4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.244,.417,.356,.772,4,.55,0.019,.55,0.01%,0.54,LF
2020-08-09,OAK,HOU,"W,7-2",4,4,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.245,.406,.347,.753,5,.43,0.022,.39,0.01%,0.29,DH
2020-08-10,OAK,LAA,"L,9-10",5,4,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.264,.420,.358,.779,5,1.02,0.159,.79,0.07%,1.55,DH
2020-08-11,OAK,LAA,"L,0-6",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.246,.397,.333,.731,5,.52,-0.054,.46,-0.03%,-0.85,RF 1B
2020-08-12,OAK,LAA,"W,8-4",5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.242,.385,.339,.723,5,.78,-0.022,.75,-0.01%,-0.48,DH
2020-08-14,OAK,SFG,"W,8-7",5,3,2,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.246,.386,.338,.724,5,1.50,0.077,1.22,0.04%,0.42,CF
2020-08-15,OAK,SFG,"W,7-6",5,5,1,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,.271,.398,.414,.812,5,1.29,0.748,.92,0.32%,3.02,CF 1B
2020-08-16,OAK,SFG,"W,15-3",5,4,2,2,0,1,0,2,1,0,1,0,0,0,0,0,0,0,.284,.409,.446,.855,5,.87,0.156,.51,0.06%,2.30,CF
2020-08-17,OAK,ARI,"L,3-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.269,.392,.423,.815,5,1.51,-0.158,.76,-0.05%,-1.05,CF
2020-08-18,OAK,ARI,"L,1-10",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.268,.386,.415,.801,5,.54,-0.064,.32,-0.02%,-0.85,DH
2020-08-19,OAK,ARI,"W,4-1",4,2,1,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,.274,.400,.452,.852,5,.67,0.136,.43,0.05%,2.02,DH
2020-08-20,OAK,ARI,"W,5-1",4,2,1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,.279,.413,.465,.878,4,.51,0.057,.28,0.02%,1.12,LF
2020-08-21,OAK,LAA,"W,5-3",4,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,.292,.425,.483,.908,4,.49,0.042,.25,0.01%,0.65,LF
2020-08-22,OAK,LAA,"L,3-4",4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.283,.419,.467,.886,5,1.42,-0.096,.54,-0.02%,-0.42,DH
2020-08-23,OAK,LAA,"W,5-4",5,4,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,.281,.410,.458,.868,5,1.39,0.044,.65,0.01%,-0.08,DH
2020-08-24,OAK,TEX,"L,2-3",4,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.290,.413,.470,.883,5,1.34,0.048,.50,0.01%,0.96,DH
2020-08-25,OAK,TEX,"W,10-3",5,4,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,.279,.405,.452,.857,4,1.00,-0.048,.46,-0.01%,-0.50,DH
2020-08-26,OAK,TEX,"W,3-1",5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.278,.404,.444,.849,4,1.27,0.072,.47,0.02%,0.47,LF
2020-08-29,OAK,HOU,"L,2-4",3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.273,.403,.436,.839,6,1.14,-0.073,.37,-0.01%,-0.48,DH
2020-08-29,OAK,HOU,"L,3-6",3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.268,.401,.429,.830,4,1.22,0.013,.51,0.00%,-0.19,DH
2020-09-04,OAK,SDP,"L,0-7",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.397,.422,.820,4,.47,-0.034,.19,-0.01%,-0.53,DH
2020-09-05,OAK,SDP,"W,8-4",4,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.265,.407,.419,.825,4,.37,0.014,.15,0.00%,0.36,DH
2020-09-06,OAK,SDP,"L,3-5",4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.258,.403,.408,.811,3,1.58,-0.077,.54,-0.02%,-0.46,DH
2020-09-07,OAK,HOU,"W,6-0",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.252,.399,.398,.797,3,.41,-0.022,.23,-0.01%,-0.52,DH
2020-09-08,OAK,HOU,"W,4-2",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.391,.389,.780,6,.75,-0.056,.34,-0.02%,-0.58,RF
2020-09-08,OAK,HOU,"L,4-5",3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.242,.390,.383,.773,7,.96,-0.023,.29,0.00%,-0.23,RF
2020-09-09,OAK,HOU,"W,3-2",4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.387,.386,.773,6,1.11,-0.033,.46,-0.01%,-0.38,RF
2020-09-10,OAK,HOU,"W,3-1",4,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,.252,.395,.400,.795,6,.73,0.095,.17,0.01%,1.13,RF
2020-09-11,OAK,TEX,"W,10-6",5,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.246,.390,.391,.781,5,.35,0.030,.06,0.00%,-0.07,RF
2020-09-12,OAK,TEX,"L,2-5",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.383,.383,.766,6,.60,-0.049,.11,-0.01%,-0.69,RF
