date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,DET,TOR,"W,2-0",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.500,.333,.833,2,1.46,-0.035,1.41,-0.02%,-0.14,RF
2019-03-29,DET,TOR,"L,0-6",4,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.429,.500,.857,1.357,2,.48,0.069,.47,0.04%,0.69,RF
2019-03-30,DET,TOR,"L,0-3",4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.364,.417,.636,1.053,2,.86,-0.052,.84,-0.03%,-0.53,RF
2019-03-31,DET,TOR,"W,4-3",6,6,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.294,.333,.471,.804,2,2.28,0.096,2.12,0.05%,-0.79,RF
2019-04-01,DET,NYY,"L,1-3",4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.263,.364,.421,.785,2,1.10,0.035,1.09,0.02%,0.18,RF
2019-04-02,DET,NYY,"W,3-1",5,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.292,.370,.417,.787,2,1.01,-0.064,.94,-0.04%,-0.56,RF
2019-04-03,DET,NYY,"W,2-1",4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.259,.355,.370,.725,2,1.09,0.029,1.04,0.02%,0.21,RF
2019-04-04,DET,KCR,"W,5-4",4,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.241,.371,.345,.716,2,1.50,0.016,1.71,0.01%,0.42,RF
2019-04-06,DET,KCR,"W,7-4",5,5,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.294,.400,.441,.841,2,1.15,0.161,1.33,0.11%,1.38,RF
2019-04-07,DET,KCR,"W,3-1",4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.289,.386,.447,.834,2,.70,0.006,.82,0.00%,-0.08,RF
2019-04-09,DET,CLE,"L,2-8",4,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.286,.375,.429,.804,2,.98,0.083,1.28,0.07%,0.85,RF
2019-04-10,DET,CLE,"W,4-1",5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.255,.340,.383,.723,2,.50,-0.066,.65,-0.05%,-1.43,RF
2019-04-16,DET,PIT,"L,3-5",5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.250,.328,.365,.693,2,1.11,-0.024,1.11,-0.01%,-0.47,DH
2019-04-17,DET,PIT,"L,2-3",5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.317,.368,.686,2,1.75,-0.173,1.68,-0.10%,-0.84,RF
2019-04-18,DET,CHW,"W,9-7",5,4,1,3,2,0,0,2,0,0,1,0,0,1,0,0,0,0,.279,.338,.426,.764,2,1.34,0.381,1.36,0.23%,1.77,RF
2019-04-19,DET,CHW,"L,3-7",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.319,.400,.719,2,.73,-0.077,.77,-0.05%,-0.75,RF
2019-04-21,DET,CHW,"W,4-3",4,4,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.261,.316,.406,.722,2,.73,0.058,.74,0.04%,0.63,RF
2019-04-23,DET,BOS,"W,7-4",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.309,.392,.701,2,.82,-0.091,.79,-0.05%,-0.21,DH
2019-04-23,DET,BOS,"W,4-2",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.244,.294,.372,.666,2,.92,-0.096,.94,-0.06%,-1.40,RF
2019-04-24,DET,BOS,"L,4-11",5,3,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,.247,.311,.370,.681,2,.68,0.019,.77,0.01%,1.28,RF
2019-04-25,DET,BOS,"L,3-7",4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.259,.319,.412,.731,2,.95,0.166,1.01,0.11%,1.51,RF
2019-04-26,DET,CHW,"L,11-12",6,5,2,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,.267,.330,.444,.774,2,1.13,0.019,1.25,0.01%,0.97,RF
2019-04-28,DET,CHW,"L,1-4",4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.266,.327,.447,.774,2,1.06,-0.049,1.08,-0.03%,-0.23,RF
2019-04-30,DET,PHI,"W,3-1",5,5,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.330,.455,.785,2,.61,0.025,.51,0.01%,0.02,RF
2019-05-01,DET,PHI,"L,3-7",5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.269,.325,.442,.767,2,1.37,-0.073,1.27,-0.04%,-0.84,RF
2019-05-03,DET,KCR,"W,4-3",4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.271,.331,.439,.770,2,.68,0.047,.61,0.03%,0.64,RF
2019-05-04,DET,KCR,"L,3-15",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.273,.336,.436,.772,2,.38,0.025,.37,0.01%,-0.01,RF
2019-05-05,DET,KCR,"W,5-2",5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.278,.339,.435,.773,2,1.61,0.143,1.46,0.08%,0.95,RF
2019-05-07,DET,LAA,"L,2-5",4,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,.277,.336,.445,.781,2,.80,0.035,.76,0.02%,0.70,RF
2019-05-08,DET,LAA,"W,10-3",5,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.276,.338,.439,.777,2,.39,0.046,.34,0.02%,-0.03,RF
2019-05-09,DET,LAA,"L,0-13",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.268,.329,.425,.754,2,.24,-0.025,.22,-0.01%,-0.83,RF
2019-05-10,DET,MIN,"L,0-6",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.319,.412,.732,3,.53,-0.054,.53,-0.03%,-1.16,RF
2019-05-11,DET,MIN,"W,5-3",5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.257,.315,.412,.727,3,.68,-0.011,.63,-0.01%,-0.41,RF
2019-05-11,DET,MIN,"L,3-8",4,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.264,.320,.429,.749,3,1.11,0.059,1.15,0.04%,0.09,RF
2019-05-12,DET,MIN,"W,5-3",4,4,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.278,.331,.465,.796,3,.60,0.180,.58,0.11%,1.85,DH
2019-05-13,DET,HOU,"L,1-8",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.270,.323,.453,.776,3,.96,-0.105,.82,-0.05%,-1.14,RF
2019-05-14,DET,HOU,"L,4-11",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.270,.321,.447,.769,3,.30,-0.011,.25,-0.01%,-0.45,RF
2019-05-15,DET,HOU,"L,1-5",4,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,.263,.314,.436,.750,3,.63,-0.014,.46,-0.01%,-0.29,RF
2019-05-16,DET,OAK,"L,3-17",4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.263,.312,.431,.743,3,.49,-0.065,.32,-0.03%,-0.63,RF
2019-05-17,DET,OAK,"L,2-7",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.305,.421,.726,3,.32,-0.034,.19,-0.01%,-0.59,RF
2019-05-18,DET,OAK,"L,1-4",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.251,.304,.413,.717,3,.96,-0.084,.50,-0.03%,-0.77,RF
2019-05-19,DET,OAK,"L,3-7",3,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.254,.310,.432,.742,3,.85,0.161,.35,0.04%,1.64,RF
2019-05-21,DET,MIA,"L,4-5",5,5,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.253,.307,.431,.738,3,1.95,0.012,.71,0.00%,0.47,RF
2019-05-22,DET,MIA,"L,3-6",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.306,.427,.733,3,1.00,0.002,.32,0.00%,-0.54,RF
2019-05-23,DET,MIA,"L,2-5",4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.315,.440,.754,3,.93,0.159,.24,0.02%,1.45,RF
2019-05-24,DET,NYM,"W,9-8",5,5,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,.267,.317,.444,.761,3,1.00,0.046,.21,0.01%,1.04,RF
2019-05-25,DET,NYM,"L,4-5",7,6,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,.264,.311,.435,.746,3,1.67,-0.233,.40,-0.03%,-1.07,RF
2019-05-26,DET,NYM,"L,3-4",4,4,1,2,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.269,.315,.452,.766,3,1.87,0.142,.39,0.02%,2.14,RF
2019-05-27,DET,BAL,"L,3-5",4,4,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.274,.318,.463,.781,3,1.08,0.120,.18,0.01%,1.03,RF
2019-05-28,DET,BAL,"W,3-0",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.268,.312,.454,.766,3,.59,-0.068,.09,-0.01%,-1.13,RF
2019-05-29,DET,BAL,"W,4-2",4,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.269,.316,.457,.772,3,1.53,0.154,.25,0.02%,1.09,DH
2019-05-31,DET,ATL,"W,8-2",5,5,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,.268,.313,.465,.778,3,.52,0.108,.10,0.01%,1.51,RF
