date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-29,ATL,PHI,"W,8-5",5,5,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.200,.200,.800,1.000,4,1.95,0.260,2.07,0.17%,1.78,RF
2018-03-30,ATL,PHI,"L,4-5",5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,.222,.300,.556,.856,4,1.75,-0.027,1.92,-0.02%,-0.65,RF
2018-03-31,ATL,PHI,"W,15-2",6,3,1,2,0,0,0,2,3,0,1,0,0,0,0,0,0,0,.333,.500,.583,1.083,4,.70,0.073,.76,0.05%,2.19,RF
2018-04-02,ATL,WSN,"L,1-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.400,.438,.838,4,.48,-0.075,.54,-0.05%,-1.23,RF
2018-04-03,ATL,WSN,"W,13-6",5,5,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.440,.571,1.011,4,.48,0.130,.51,0.08%,2.49,RF
2018-04-04,ATL,WSN,"W,7-1",4,4,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.320,.414,.520,.934,4,.52,0.010,.59,0.01%,0.35,RF
2018-04-06,ATL,COL,"W,8-3",5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.310,.412,.483,.895,4,.59,-0.011,.60,-0.01%,-0.14,RF
2018-04-07,ATL,COL,"L,2-3",5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.303,.410,.455,.865,4,2.16,-0.204,2.32,-0.13%,-0.75,RF
2018-04-08,ATL,COL,"W,4-0",4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.324,.419,.541,.959,5,.73,0.129,.74,0.08%,0.95,RF
2018-04-09,ATL,WSN,"L,0-2",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.325,.413,.525,.938,4,.86,0.011,1.04,0.01%,0.04,RF
2018-04-10,ATL,WSN,"L,1-4",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.302,.400,.488,.888,4,.64,-0.038,.72,-0.03%,-0.41,RF
2018-04-11,ATL,WSN,"W,5-3",6,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.271,.375,.438,.813,4,1.92,-0.064,2.05,-0.04%,-0.26,RF
2018-04-13,ATL,CHC,"W,4-0",5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.288,.393,.442,.836,4,.48,0.006,.49,0.00%,-0.06,RF
2018-04-14,ATL,CHC,"L,10-14",5,5,0,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,.298,.394,.456,.850,5,.52,0.009,.55,0.01%,-1.17,RF
2018-04-16,ATL,PHI,"W,2-1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283,.377,.433,.810,4,.99,-0.046,1.15,-0.03%,-0.50,RF
2018-04-17,ATL,PHI,"L,1-5",5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.266,.365,.406,.771,4,1.64,-0.047,1.96,-0.03%,-0.77,RF
2018-04-18,ATL,PHI,"W,7-3",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.372,.412,.784,4,.59,0.022,.69,0.02%,0.96,RF
2018-04-19,ATL,NYM,"W,12-4",5,4,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,.292,.373,.417,.790,4,.39,0.002,.48,0.00%,0.19,RF
2018-04-20,ATL,NYM,"L,3-5",5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.289,.375,.421,.796,4,1.35,0.118,1.77,0.09%,0.49,RF
2018-04-21,ATL,NYM,"W,4-3",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.278,.370,.405,.775,4,1.78,-0.133,2.21,-0.10%,-0.45,RF
2018-04-23,ATL,CIN,"L,4-10",4,4,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.301,.385,.458,.843,4,.67,0.135,.69,0.08%,2.52,RF
