date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,ATL,PHI,"L,4-10",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,6,.42,-0.015,.45,-0.01%,-0.68,2B
2019-03-30,ATL,PHI,"L,6-8",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.286,.375,.286,.661,6,.67,-0.016,.71,-0.01%,-0.02,2B
2019-03-31,ATL,PHI,"L,1-5",4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,.300,.417,.300,.717,6,1.15,-0.038,1.16,-0.02%,-0.45,2B
2019-04-01,ATL,CHC,"W,8-0",5,4,2,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,.429,.529,.571,1.101,6,.21,0.039,.17,0.02%,2.25,2B
2019-04-03,ATL,CHC,"W,6-4",5,4,1,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.500,.591,.778,1.369,1,.90,0.221,.78,0.12%,2.44,2B
2019-04-04,ATL,CHC,"W,9-4",5,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.478,.556,.696,1.251,6,.77,-0.035,.68,-0.02%,-0.78,2B
2019-04-05,ATL,MIA,"W,4-0",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.423,.516,.615,1.132,6,.35,-0.034,.35,-0.02%,-0.49,2B
2019-04-06,ATL,MIA,"L,2-4",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.387,.472,.548,1.021,2,1.47,-0.164,1.56,-0.11%,-1.57,2B
2019-04-07,ATL,MIA,"W,4-3",4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.475,.543,1.018,1,.69,0.012,.70,0.01%,0.30,2B
2019-04-08,ATL,COL,"W,8-6",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.350,.422,.475,.897,1,.71,-0.096,.69,-0.06%,-1.27,2B
2019-04-09,ATL,COL,"W,7-1",4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.364,.429,.500,.929,7,.23,-0.006,.23,0.00%,0.66,2B
2019-04-11,ATL,NYM,"L,3-6",5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.327,.389,.449,.838,1,1.36,-0.175,1.69,-0.13%,-1.77,2B
2019-04-12,ATL,NYM,"L,2-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.302,.362,.415,.777,7,.68,-0.072,.81,-0.05%,-1.01,2B
2019-04-13,ATL,NYM,"W,11-7",5,3,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.321,.397,.429,.825,1,.39,0.072,.45,0.05%,1.04,2B
2019-04-14,ATL,NYM,"W,7-3",5,5,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,.328,.397,.459,.856,1,.65,0.063,.79,0.05%,1.18,2B
