date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2021-04-01,ARI,SDP,"L,7-8",2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500,7,.62,0.007,.67,0.01%,0.19,RF
2021-04-02,ARI,SDP,"L,2-4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333,.333,.667,1.000,9,1.66,-0.077,1.72,-0.05%,-0.75,PH
2021-04-03,ARI,SDP,"L,0-7",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.500,.833,5,.46,-0.004,.44,0.00%,0.00,RF 1B
2021-04-04,ARI,SDP,"W,3-1",3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.222,.333,.556,6,.60,-0.047,.56,-0.03%,-0.72,RF
2021-04-06,ARI,COL,"W,10-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.154,.231,.385,1,1.04,-0.115,.96,-0.06%,-1.20,RF
2021-04-08,ARI,COL,"L,3-7",4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.235,.235,.353,.588,5,.29,-0.010,.29,-0.01%,0.60,RF
2021-04-09,ARI,CIN,"L,5-6",3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.350,.600,9,4.03,-0.291,3.41,-0.15%,-0.75,PH LF
2021-04-11,ARI,CIN,"W,7-0",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,.250,.250,.333,.583,6,.39,0.066,.31,0.03%,-0.11,RF
2021-04-12,ARI,OAK,"L,5-9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.240,.320,.560,9,1.08,-0.028,.84,-0.01%,-0.24,PH
2021-04-15,ARI,WSN,"W,11-6",5,3,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.250,.300,.429,.729,6,.79,0.115,.58,0.05%,1.73,RF
