date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,BAL,NYY,"L,2-7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,7,.20,-0.005,.22,0.00%,-0.31,PH
2019-03-30,BAL,NYY,"W,5-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.000,.000,.000,.000,4,.96,-0.131,.99,-0.08%,-1.30,DH
2019-03-31,BAL,NYY,"W,7-5",5,4,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.222,.300,.556,.856,4,.76,0.185,.83,0.12%,1.54,DH
2019-04-01,BAL,TOR,"W,6-5",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.286,.417,.702,6,.47,-0.013,.53,-0.01%,-0.67,DH
2019-04-03,BAL,TOR,"L,3-5",4,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,.133,.278,.333,.611,5,.93,-0.087,1.12,-0.06%,-0.71,DH
2019-04-04,BAL,NYY,"L,4-8",4,4,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.211,.318,.368,.687,4,1.17,0.062,1.38,0.04%,1.39,DH
2019-04-06,BAL,NYY,"L,4-6",3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.238,.360,.381,.741,4,1.31,0.098,1.53,0.07%,0.79,DH
2019-04-07,BAL,NYY,"L,3-15",3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.357,.375,.732,6,.53,-0.033,.61,-0.02%,0.24,DH
2019-04-08,BAL,OAK,"W,12-4",5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.364,.414,.777,4,.43,0.035,.40,0.02%,-0.20,DH
2019-04-09,BAL,OAK,"L,2-13",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.242,.324,.364,.688,4,.42,-0.046,.42,-0.03%,-1.01,DH
2019-04-10,BAL,OAK,"L,3-10",3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.325,.361,.686,5,.43,-0.005,.40,0.00%,-0.04,DH
2019-04-11,BAL,OAK,"L,5-8",4,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.250,.318,.350,.668,6,1.29,0.106,1.09,0.06%,1.49,DH
2019-04-12,BAL,BOS,"L,4-6",4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.250,.313,.409,.722,4,1.00,-0.040,.91,-0.02%,0.67,DH
2019-04-13,BAL,BOS,"W,9-5",5,5,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.265,.321,.408,.729,4,1.45,0.017,1.22,0.01%,0.06,DH
2019-04-14,BAL,BOS,"L,0-4",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.264,.316,.396,.712,4,1.13,-0.077,1.03,-0.04%,-0.58,DH
2019-04-15,BAL,BOS,"W,8-1",5,5,1,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.293,.339,.431,.770,5,.58,0.023,.50,0.01%,0.26,DH
2019-04-16,BAL,TBR,"L,2-4",4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.290,.333,.435,.769,4,1.52,-0.027,1.58,-0.02%,0.01,DH
2019-04-17,BAL,TBR,"L,1-8",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.314,.409,.723,4,.37,-0.041,.35,-0.02%,-0.93,1B
2019-04-18,BAL,TBR,"W,6-5",5,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.271,.320,.400,.720,4,1.18,0.044,1.06,0.02%,0.34,1B
2019-04-20,BAL,MIN,"L,5-6",5,5,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.280,.325,.440,.765,4,1.87,0.012,1.47,0.01%,0.42,DH
2019-04-20,BAL,MIN,"L,7-16",4,4,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,.304,.345,.532,.877,4,.19,-0.021,.14,-0.01%,2.61,LF DH
2019-04-21,BAL,MIN,"L,3-4",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.293,.341,.512,.853,4,1.87,-0.061,1.25,-0.03%,-0.64,DH
2019-04-22,BAL,CHW,"L,2-12",4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.294,.348,.506,.854,4,1.16,-0.092,.71,-0.03%,-1.07,DH
