date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2015-04-06,PHI,BOS,"L,0-8",4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,.750,4,.48,-0.012,.43,-0.01%,-0.36,1B
2015-04-08,PHI,BOS,"W,4-2",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.125,.125,.250,.375,4,.81,-0.082,.71,-0.04%,-0.73,1B
2015-04-09,PHI,BOS,"L,2-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.083,.167,.250,4,.69,-0.068,.61,-0.04%,-0.86,1B
2015-04-11,PHI,WSN,"W,3-2",4,4,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.188,.188,.375,.563,4,1.63,0.079,1.67,0.05%,0.33,1B
2015-04-12,PHI,WSN,"L,3-4",4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.150,.150,.300,.450,4,2.03,-0.225,2.13,-0.14%,-1.54,1B
2015-04-13,PHI,NYM,"L,0-2",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.292,.458,4,1.10,-0.079,1.20,-0.05%,-0.46,1B
2015-04-14,PHI,NYM,"L,5-6",4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.148,.148,.259,.407,4,1.64,-0.068,1.75,-0.04%,-0.55,1B
2015-04-16,PHI,WSN,"L,2-5",4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.167,.194,.267,.460,7,1.09,0.002,.97,0.00%,0.10,1B
2015-04-17,PHI,WSN,"L,2-7",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.176,.200,.265,.465,7,.67,-0.060,.56,-0.03%,0.50,1B
2015-04-18,PHI,WSN,"W,5-3",3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.211,.250,.461,7,1.06,0.015,.81,0.01%,-0.03,1B
