date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2020-07-24,STL,PIT,"W,5-4",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,.250,.250,.250,.500,2,.68,-0.072,.79,-0.05%,-0.85,3B
2020-07-25,STL,PIT,"W,9-1",5,5,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,.222,.222,.444,.667,2,.84,-0.080,1.00,-0.06%,0.71,3B
2020-07-26,STL,PIT,"L,1-5",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.231,.231,.385,.615,2,.71,0.079,.84,0.06%,0.56,3B
2020-07-28,STL,MIN,"L,3-6",4,3,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.313,.353,.688,1.040,2,.41,0.066,.45,0.04%,1.39,3B
2020-07-29,STL,MIN,"L,0-3",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.250,.286,.550,.836,2,.55,-0.057,.60,-0.04%,-0.65,3B
2020-08-15,STL,CHW,"W,5-1",4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.280,.500,.780,2,.74,0.103,.85,0.07%,1.09,SS
2020-08-15,STL,CHW,"W,6-3",4,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.231,.310,.462,.772,1,1.17,0.039,1.37,0.03%,0.15,SS
2020-08-16,STL,CHW,"L,2-7",4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.273,.400,.673,2,.73,-0.077,.84,-0.05%,-1.54,SS
2020-08-17,STL,CHC,"W,3-1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.250,.364,.614,2,.91,-0.071,1.16,-0.05%,-0.54,SS
2020-08-17,STL,CHC,"L,4-5",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.189,.250,.351,.601,1,1.32,-0.124,1.74,-0.10%,-0.55,SS
2020-08-18,STL,CHC,"L,3-6",5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.171,.244,.317,.562,2,.95,-0.114,1.26,-0.09%,-0.87,SS
2020-08-19,STL,CHC,"W,9-3",4,4,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.222,.286,.356,.641,2,.74,0.145,.94,0.11%,2.43,SS
2020-08-19,STL,CHC,"L,2-4",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.222,.300,.356,.656,9,.61,0.032,.82,0.03%,0.13,PH
2020-08-20,STL,CIN,"W,5-4",4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.224,.296,.367,.664,2,.99,-0.059,1.33,-0.05%,-0.43,SS
2020-08-21,STL,CIN,"L,2-4",4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.212,.293,.346,.639,2,1.29,-0.010,1.80,-0.01%,-0.04,SS
2020-08-22,STL,CIN,"W,3-0",4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.214,.290,.339,.630,2,.67,0.089,.92,0.07%,0.67,SS
2020-08-24,STL,KCR,"W,9-3",5,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.233,.313,.350,.663,1,.59,0.049,.73,0.04%,0.83,2B
2020-08-25,STL,KCR,"L,4-5",5,4,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.234,.319,.359,.679,2,2.50,-0.068,3.13,-0.05%,0.82,3B
