date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,CHW,KCR,"L,3-5",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.99,-0.209,2.16,-0.14%,-1.37,2B
2019-03-30,CHW,KCR,"L,6-8",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.125,.125,.250,9,1.58,-0.112,1.61,-0.07%,-0.71,2B
2019-03-31,CHW,KCR,"W,6-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.083,.083,.083,.167,9,.54,-0.056,.53,-0.03%,-0.96,2B
2019-04-01,CHW,CLE,"L,3-5",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.063,.063,.063,.125,7,2.08,-0.207,2.13,-0.13%,-1.54,2B
2019-04-03,CHW,CLE,"W,8-3",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.050,.050,.050,.100,9,.47,-0.051,.46,-0.03%,-1.40,2B
2019-04-05,CHW,SEA,"W,10-8",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.048,.048,.048,.095,9,2.36,-0.061,2.17,-0.03%,-0.80,PH 2B
2019-04-06,CHW,SEA,"L,2-9",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.042,.080,.042,.122,9,.50,-0.048,.49,-0.03%,-0.64,2B
2019-04-09,CHW,TBR,"L,5-10",3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.074,.107,.074,.181,9,.71,-0.027,.55,-0.01%,-0.44,2B
2019-04-10,CHW,TBR,"L,1-9",3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.129,.133,.262,9,.54,-0.038,.40,-0.02%,-0.26,2B
2019-04-13,CHW,NYY,"L,0-4",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.094,.121,.125,.246,8,.81,-0.042,.61,-0.02%,-0.37,PH 2B
2019-04-14,CHW,NYY,"W,5-2",4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,.139,.162,.194,.357,9,.70,0.032,.48,0.01%,0.20,2B
2019-04-15,CHW,KCR,"W,5-4",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.150,.171,.200,.371,9,1.49,-0.038,1.21,-0.02%,-0.07,2B
2019-04-16,CHW,KCR,"W,5-1",3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.143,.182,.190,.372,9,.80,-0.009,.68,0.00%,-0.32,2B
2019-04-17,CHW,KCR,"L,3-4",5,4,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.174,.224,.217,.442,8,2.23,0.071,2.06,0.04%,0.87,2B
2019-04-18,CHW,DET,"L,7-9",4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.184,.245,.224,.470,8,1.18,0.070,1.07,0.04%,0.43,2B
2019-04-19,CHW,DET,"W,7-3",4,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,.200,.298,.240,.538,8,1.02,0.168,.88,0.09%,2.14,2B
2019-04-21,CHW,DET,"L,3-4",3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.208,.300,.245,.545,9,.99,-0.006,.93,0.00%,0.58,2B
2019-04-22,CHW,BAL,"W,12-2",5,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.323,.276,.599,8,.34,0.030,.26,0.01%,0.08,2B
