date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-06,WSN,NYM,"L,1-3",99,0.2,1,0,0,1,1,0,0,0.00,4,16,12,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.28,0.002,0.00%,0.05
2015-04-09,WSN,NYM,"L,3-6",2,1.0,0,0,0,0,2,0,0,0.00,3,13,8,4,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.47
2015-04-12,WSN,PHI,"W,4-3",2,1.0,0,0,0,0,2,0,0,0.00,3,14,10,1,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.74,0.127,0.07%,0.45
2015-04-13,WSN,BOS,"L,4-9",0,1.0,0,0,0,1,1,0,0,0.00,3,12,6,3,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.05,0.002,0.00%,0.52
2015-04-16,WSN,PHI,"W,5-2",2,1.0,0,0,0,0,1,0,0,0.00,3,10,8,2,2,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.53,0.040,0.02%,0.47
2015-04-18,WSN,PHI,"L,3-5",1,1.0,0,0,0,0,1,0,0,0.00,3,11,9,3,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.65,0.048,0.03%,0.47
2015-04-21,WSN,STL,"W,2-1",2,1.0,1,0,0,0,1,0,0,0.00,4,17,11,3,1,1,2,2,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,3.09,0.132,0.07%,0.47
2015-04-23,WSN,STL,"L,1-4",1,0.1,2,1,1,0,1,0,0,1.29,3,8,6,2,1,0,2,1,0,0,,1,1,0,0,0,3,2,0,0,0,0,0,.43,-0.192,-0.11%,-1.78
2015-04-24,WSN,MIA,"L,2-3",0,0.2,1,0,0,0,1,0,0,1.17,3,15,10,2,3,1,1,1,0,0,,2,1,1,0,0,3,0,0,0,0,0,0,2.43,-0.100,-0.05%,0.13
2015-04-27,WSN,ATL,"L,4-8",2,1.0,2,1,1,0,2,0,0,2.08,5,21,13,4,3,2,1,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.14,-0.011,-0.01%,-0.55
2015-04-29,WSN,ATL,"W,13-4",1,1.0,0,0,0,0,1,0,0,1.86,3,12,7,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.45
2015-04-30,WSN,NYM,"W,8-2",0,0.2,0,0,0,0,1,0,0,1.74,2,8,7,1,1,0,1,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.15,0.126,0.07%,1.13
2015-05-02,WSN,NYM,"W,1-0",1,0.2,0,0,0,0,1,0,0,1.64,2,13,8,2,2,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.12,0.103,0.06%,0.36
2015-05-03,WSN,NYM,"W,1-0",0,0.1,0,0,0,0,1,0,0,1.59,1,4,3,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,5.91,0.168,0.11%,0.57
2015-05-05,WSN,MIA,"L,1-2",1,1.0,1,0,0,0,2,0,1,1.46,5,18,11,2,3,1,1,1,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,.77,0.035,0.02%,0.47
2015-05-09,WSN,ATL,"W,8-6",3,0.1,2,3,3,1,1,0,0,3.55,4,18,14,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.88,-0.130,-0.09%,-1.07
2015-05-12,WSN,ARI,"L,6-14",2,1.0,0,0,0,0,0,0,0,3.29,3,7,4,1,0,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.49
2015-05-13,WSN,ARI,"W,9-6",0,1.0,2,1,1,1,1,0,0,3.68,5,20,14,5,1,1,2,2,0,0,,1,0,0,1,0,4,0,0,0,0,0,0,2.14,-0.171,-0.12%,-0.13
2015-05-16,WSN,SDP,"W,4-1",2,0.2,1,1,1,1,1,0,0,4.11,4,20,12,4,2,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.40,0.002,0.00%,-0.77
2015-05-19,WSN,NYY,"W,8-6",2,0.1,0,0,0,0,0,0,0,4.02,1,3,3,2,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.78,0.049,0.04%,0.22
2015-05-24,WSN,PHI,"W,4-1",4,0.1,0,0,0,0,0,0,0,3.94,1,2,1,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.32,0.055,0.05%,0.28
2015-05-25,WSN,CHC,"W,2-1",0,0.2,0,0,0,0,1,0,0,3.78,2,8,6,2,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.50,0.073,0.06%,0.24
2015-05-26,WSN,CHC,"L,2-3",0,0.0,1,1,1,0,0,1,0,4.32,1,8,5,2,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.45,-0.316,-0.25%,-1.00
2015-05-29,WSN,CIN,"L,2-5",2,0.1,1,0,0,0,1,0,0,4.24,2,11,7,4,0,0,1,1,0,0,,1,1,1,0,0,2,0,0,0,0,0,0,.79,-0.103,-0.08%,-0.79
2015-05-31,WSN,CIN,"L,2-8",1,0.1,2,2,2,0,0,0,0,5.19,3,12,7,1,1,3,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,2.01,-0.215,-0.17%,-1.03
2015-06-04,WSN,CHC,"L,1-2",3,1.2,0,0,0,0,2,0,0,4.74,4,19,10,2,4,1,1,1,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,.84,0.152,0.13%,1.63
2015-06-05,WSN,CHC,"W,7-5",0,0.1,0,0,0,0,0,0,0,4.66,1,5,3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.67,0.017,0.01%,0.10
2015-06-07,WSN,CHC,"L,3-6",1,1.0,0,0,0,0,1,0,0,4.43,3,17,14,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.25,0.019,0.02%,0.47
2015-06-10,WSN,NYY,"W,5-4",2,0.1,2,1,1,0,0,0,1,4.79,4,9,7,3,0,2,1,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,1.38,-0.305,-0.24%,-1.68
2015-06-11,WSN,MIL,"L,5-6",0,0.2,1,1,1,1,1,0,0,5.06,5,21,12,2,4,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.20,-0.268,-0.20%,-0.95
2015-07-10,WSN,BAL,"L,2-3",28,1.0,0,0,0,0,2,0,0,4.84,3,14,11,2,4,0,1,0,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.75,0.184,0.16%,0.88
2015-07-17,WSN,LAD,"W,5-3",6,1.0,0,0,0,0,1,0,0,4.63,4,10,7,1,2,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.41,0.085,0.07%,0.47
2015-07-19,WSN,LAD,"L,0-5",1,0.1,0,0,0,0,1,0,0,4.56,1,6,4,2,1,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,2.97,0.074,0.06%,0.75
2015-07-21,WSN,NYM,"L,2-7",1,0.1,1,0,0,0,0,0,0,4.50,2,6,5,2,1,1,1,1,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,2.20,-0.215,-0.28%,-0.94
2015-07-24,WSN,PIT,"L,5-7",2,1.0,1,0,0,0,0,0,0,4.32,3,12,8,2,2,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.48,0.021,0.02%,0.46
2015-07-25,WSN,PIT,"W,9-3",0,0.2,1,0,0,0,0,0,1,4.21,3,9,4,2,0,2,0,0,0,0,,2,1,0,0,0,2,0,0,0,1,0,0,1.99,0.033,0.03%,0.02
2015-07-28,WSN,MIA,"L,1-4",2,0.2,0,0,0,1,0,0,0,4.10,3,10,4,0,1,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.45,0.017,0.02%,0.85
2015-07-31,WSN,NYM,"L,1-2",2,2.0,1,0,0,0,2,0,0,3.81,7,17,14,2,3,3,2,0,2,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.98,0.228,0.30%,0.90
2015-08-01,WSN,NYM,"L,2-3",0,0.2,0,0,0,0,1,0,0,3.72,2,9,5,2,2,0,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,.99,0.075,0.11%,1.35
2015-08-05,WSN,ARI,"L,4-11",3,0.1,4,3,3,0,0,0,0,4.60,5,15,8,2,0,2,3,2,1,0,,1,1,0,0,0,5,0,0,0,0,0,0,1.71,-0.425,-0.42%,-3.03
