date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-08,MIN,DET,"L,0-11",99,2.0,3,1,1,0,0,0,0,4.50,9,28,21,4,0,3,6,4,1,0,,0,0,0,0,0,9,1,0,0,0,0,0,.00,0.000,0.00%,-0.04
2015-04-11,MIN,CHW,"L,4-5",2,1.1,0,0,0,0,1,0,0,2.70,4,16,12,2,3,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.30,0.129,0.07%,0.69
2015-04-12,MIN,CHW,"L,2-6",0,1.1,0,0,0,0,2,0,0,1.93,4,15,10,3,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.34,0.034,0.02%,0.69
2015-04-13,MIN,KCR,"L,3-12",0,0.2,0,0,0,0,0,0,0,1.69,2,3,2,0,0,1,1,0,0,0,,3,1,0,0,0,1,0,0,0,0,1,0,.01,0.000,0.00%,0.56
2015-04-16,MIN,KCR,"W,8-5",2,1.0,0,0,0,1,0,0,0,1.42,4,19,10,3,3,0,3,0,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.36,0.077,0.04%,0.58
2015-04-17,MIN,CLE,"W,3-2",0,2.0,0,0,0,0,1,0,0,1.08,6,22,16,5,3,2,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.27,0.192,0.09%,0.97
2015-04-19,MIN,CLE,"W,7-2",1,2.0,1,0,0,1,1,0,0,0.87,7,35,26,8,3,2,3,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.16,0.014,0.01%,0.97
2015-04-21,MIN,KCR,"L,5-6",1,0.2,0,0,0,1,0,0,0,0.82,3,12,6,1,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.42,0.057,0.03%,0.27
2015-04-25,MIN,SEA,"W,8-5",3,1.1,1,2,2,1,1,1,0,2.19,6,24,15,5,3,0,4,1,0,0,,1,1,0,0,0,4,0,0,0,0,1,0,.44,-0.027,-0.01%,-1.72
2015-04-26,MIN,SEA,"W,4-2",0,1.0,0,0,0,1,1,0,0,2.03,4,17,7,1,2,1,1,1,0,0,,1,0,1,0,0,3,0,0,1,0,0,0,3.54,0.238,0.11%,1.08
2015-04-29,MIN,DET,"L,7-10",2,0.2,2,1,1,0,0,1,0,2.57,4,10,7,0,2,0,4,0,0,0,,1,1,1,0,0,4,0,0,0,0,0,0,1.27,-0.208,-0.12%,-1.55
2015-05-02,MIN,CHW,"W,5-3",2,2.1,2,0,0,0,1,0,0,2.20,8,28,17,9,0,4,3,2,1,0,,0,0,0,0,0,8,0,0,0,1,0,0,1.10,0.125,0.07%,0.95
2015-05-04,MIN,OAK,"W,8-7",1,1.0,1,1,1,0,1,0,0,2.60,4,20,12,3,2,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.66,0.004,0.00%,0.11
2015-05-05,MIN,OAK,"L,1-2",0,1.0,0,0,0,0,1,0,0,2.45,3,10,8,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.36,0.027,0.02%,0.49
2015-05-07,MIN,OAK,"W,6-5",1,1.0,0,0,0,0,1,0,0,2.33,3,13,9,2,3,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.095,0.06%,0.49
2015-05-09,MIN,CLE,"W,7-4",1,1.1,1,0,0,0,2,0,0,2.18,5,21,15,4,6,1,2,0,0,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.83,0.154,0.11%,1.31
2015-05-13,MIN,DET,"W,6-2",3,0.2,2,0,0,1,0,0,0,2.11,5,18,9,3,1,2,2,0,1,0,,3,2,0,0,0,3,0,0,0,0,1,0,1.06,-0.071,-0.06%,-1.43
2015-05-17,MIN,TBR,"L,3-11",3,0.1,4,3,3,0,1,0,0,3.32,5,21,15,2,4,1,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,-0.001,0.00%,-2.69
2015-05-19,MIN,PIT,"W,8-5",1,0.1,1,0,0,0,0,0,0,3.27,2,4,3,0,0,1,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,1.85,-0.022,-0.02%,-0.44
2015-05-20,MIN,PIT,"W,4-3",0,0.0,1,0,0,0,0,0,0,3.27,1,3,3,1,0,0,1,1,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,2.98,-0.129,-0.09%,-0.94
2015-05-22,MIN,CHW,"L,2-3",1,0.1,0,1,1,1,0,0,0,3.63,2,7,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.58,-0.002,0.00%,-0.03
