date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,COL,ARI,"L,2-8",99,1.0,0,0,0,1,3,0,0,0.00,4,18,11,7,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.51
2018-03-30,COL,ARI,"L,8-9",0,1.0,0,0,0,0,3,0,0,0.00,3,14,11,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.38,0.030,0.02%,0.51
2018-04-02,COL,SDP,"W,7-4",2,1.0,0,0,0,0,2,0,0,0.00,3,14,9,5,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.66,0.049,0.03%,0.45
2018-04-05,COL,SDP,"W,3-1",2,2.0,1,0,0,0,2,0,0,0.00,5,22,15,9,2,0,3,2,0,0,,1,0,0,1,0,5,0,0,0,0,0,0,1.67,0.241,0.15%,1.27
2018-04-07,COL,ATL,"W,3-2",1,1.0,0,0,0,0,1,0,1,0.00,4,11,7,2,2,0,2,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,2.85,0.150,0.09%,0.57
2018-04-09,COL,SDP,"L,6-7",1,1.0,0,0,0,0,3,0,0,0.00,3,19,10,4,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.58,0.046,0.03%,0.57
2018-04-11,COL,SDP,"W,6-4",1,1.0,0,0,0,0,2,0,0,0.00,3,14,10,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.67,0.053,0.03%,0.57
2018-04-13,COL,WSN,"W,2-1",1,0.2,0,0,0,0,2,0,0,0.00,2,10,7,3,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.57,0.079,0.05%,0.27
2018-04-15,COL,WSN,"W,6-5",1,1.0,1,1,1,0,2,0,1,0.93,4,15,8,5,1,0,1,1,0,0,,0,0,1,1,0,3,1,0,0,0,0,0,2.59,-0.192,-0.11%,-0.49
2018-04-16,COL,PIT,"W,6-2",0,1.0,0,0,0,0,2,0,0,0.84,3,14,12,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.21,0.016,0.01%,0.46
