date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-08,MIL,CHC,"L,0-3",99,2.0,1,0,0,0,3,0,0,0.00,7,33,23,6,5,1,3,2,0,0,,0,0,0,0,0,7,0,1,0,0,0,0,.24,0.022,0.02%,0.99
2018-05-26,MIL,NYM,"W,17-6",47,2.0,2,0,0,0,3,0,0,0.00,8,24,19,5,3,2,3,0,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.00,0.000,0.00%,0.99
2018-06-17,MIL,PHI,"L,9-10",21,1.0,2,1,1,0,0,0,0,1.80,5,16,11,4,2,2,3,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.26,-0.027,-0.02%,-0.51
2018-06-23,MIL,STL,"L,2-3",5,2.0,0,0,0,1,0,0,0,1.29,6,18,11,4,1,1,4,2,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,.70,0.088,0.08%,0.99
2018-06-27,MIL,KCR,"L,4-5",3,2.0,0,0,0,1,0,0,1,1.00,8,26,15,4,2,3,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.08,0.011,0.01%,0.99
2018-07-12,MIL,PIT,"L,3-6",14,2.0,5,4,4,3,1,0,0,4.09,12,49,27,5,5,4,4,4,0,0,,0,0,0,0,0,9,1,0,0,2,0,0,.54,-0.211,-0.18%,-3.07
2018-08-10,MIL,ATL,"L,1-10",28,2.2,3,0,0,2,1,0,0,3.29,13,60,34,6,5,4,6,0,2,0,,2,1,0,0,0,11,1,0,0,0,0,0,.00,0.000,0.00%,1.15
2019-04-22,MIL,STL,"L,5-13",99,4.0,9,5,5,1,3,2,0,11.25,20,78,50,14,4,12,4,2,0,0,26,,,0,0,0,19,1,0,0,1,0,0,1.06,-0.360,-0.27%,-2.93
2019-05-04,MIL,NYM,"W,4-3",11,1.1,0,0,0,1,0,0,0,8.44,5,19,11,3,1,4,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,2.59,0.286,0.17%,1.06
2019-05-07,MIL,WSN,"W,6-0",2,2.0,2,0,0,1,4,0,1,6.14,10,35,22,7,4,1,3,2,0,0,55,,,0,0,0,8,0,0,0,0,0,0,1.24,0.102,0.07%,1.07
