date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-08,DET,MIN,"W,11-0",99,0.2,1,0,0,0,1,0,0,0.00,3,11,6,4,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.26
2015-04-10,DET,CLE,"W,8-4",1,0.2,0,0,0,0,0,0,0,0.00,1,7,4,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,3.15,0.140,0.10%,0.93
2015-04-11,DET,CLE,"W,9-6",0,0.1,0,1,1,1,0,0,0,5.40,2,9,5,0,2,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.78,0.003,0.00%,0.04
2015-04-13,DET,PIT,"L,4-5",1,0.2,0,0,0,0,1,0,0,3.86,2,9,6,2,2,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.06,0.003,0.00%,0.24
2015-04-18,DET,CHW,"L,3-12",4,1.0,1,0,0,1,1,0,0,2.70,5,18,12,3,1,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.48
2015-04-21,DET,NYY,"L,2-5",2,0.0,0,0,0,2,0,0,0,2.70,2,9,1,1,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,0,0,.48,-0.049,-0.04%,-1.27
2015-04-22,DET,NYY,"L,4-13",0,1.0,2,3,3,1,1,1,0,8.31,6,26,15,6,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.04,-0.012,-0.01%,-2.52
2015-04-24,DET,CLE,"L,1-13",1,2.0,4,4,4,1,1,2,0,11.37,11,38,23,9,2,4,5,1,0,0,,0,0,0,0,0,10,1,0,0,0,0,0,.00,-0.001,0.00%,-3.04
2015-04-28,DET,MIN,"L,2-3",3,0.2,1,0,0,1,0,0,0,10.29,4,23,12,3,2,1,2,2,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.88,0.017,0.01%,0.26
2015-04-30,DET,KCR,"L,1-8",1,1.0,2,0,0,0,0,0,0,9.00,5,17,11,5,1,1,4,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.000,0.00%,0.51
2015-05-06,DET,CHW,"L,6-7",5,0.2,1,0,0,1,0,0,0,8.31,4,20,9,4,0,1,2,2,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.92,-0.003,0.00%,-0.01
2015-05-09,DET,KCR,"L,2-6",2,1.0,1,0,0,0,0,0,0,7.45,4,14,9,2,0,3,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.10,0.007,0.01%,0.48
2015-05-13,DET,MIN,"L,2-6",3,1.0,2,0,0,0,1,0,0,6.75,5,17,10,2,2,0,4,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.21,0.006,0.01%,0.10
2015-05-14,DET,MIN,"W,13-1",0,1.0,0,0,0,0,1,0,0,6.17,3,12,9,2,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.48
2015-05-15,DET,STL,"W,10-4",0,1.0,0,0,0,1,0,0,0,5.68,4,16,9,3,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,0.00%,0.47
2015-05-19,DET,MIL,"L,1-8",3,2.0,2,0,0,0,1,0,0,4.91,8,25,18,5,3,5,2,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.07,0.008,0.01%,0.96
2015-05-23,DET,HOU,"L,2-3",3,1.2,1,0,0,0,4,0,0,4.41,6,26,19,11,2,1,1,1,0,0,,2,1,0,0,0,6,0,0,0,0,0,0,1.29,-0.037,-0.03%,0.20
2015-05-24,DET,HOU,"L,8-10",0,1.0,0,0,0,0,1,0,0,4.15,3,11,7,1,4,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.007,0.01%,0.48
2015-05-27,DET,OAK,"W,3-2",2,1.0,0,0,0,0,2,0,0,3.93,3,16,11,3,4,0,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,1,0,1.24,0.078,0.06%,0.39
2015-05-28,DET,LAA,"L,2-12",0,1.0,1,0,0,0,1,0,0,3.72,4,15,11,4,2,1,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.00,0.000,0.00%,0.46
2015-05-30,DET,LAA,"L,6-8",1,1.0,2,1,1,2,2,0,0,3.98,7,27,15,5,4,3,0,0,0,0,,0,0,0,0,0,5,1,0,1,0,0,0,.22,-0.026,-0.02%,-0.54
2015-06-02,DET,OAK,"L,3-5",2,1.0,1,0,0,0,1,0,0,3.80,4,12,9,3,1,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.57,0.027,0.02%,0.48
2015-06-04,DET,OAK,"L,5-7",1,1.0,0,0,0,0,1,0,0,3.63,3,15,9,2,3,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.48
2015-06-10,DET,CHC,"L,3-12",5,1.2,1,1,1,0,4,1,0,3.75,6,29,19,7,6,0,2,0,0,0,,2,2,0,0,0,6,0,0,0,0,0,0,.04,-0.008,-0.01%,-1.35
2015-06-13,DET,CLE,"L,4-5",2,1.1,1,0,0,2,0,0,0,3.55,6,30,15,6,1,1,3,1,1,0,,1,1,0,0,0,4,1,0,0,0,0,0,.71,-0.070,-0.05%,-0.23
2015-06-16,DET,CIN,"L,2-5",2,0.2,0,0,0,0,1,0,0,3.46,2,7,5,1,3,1,0,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,1.36,0.074,0.05%,1.55
2015-06-17,DET,CIN,"L,4-8",0,2.0,3,0,0,1,3,0,0,3.21,9,41,25,5,5,2,3,3,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,2.62,0.260,0.18%,0.93
2015-06-20,DET,NYY,"L,3-14",2,1.0,0,0,0,1,2,0,0,3.10,4,14,7,4,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.49
2015-06-23,DET,CLE,"W,7-3",2,0.1,0,0,0,0,0,0,0,3.07,1,4,2,1,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.44,0.014,0.01%,0.62
2015-06-24,DET,CLE,"L,2-8",0,0.2,1,0,0,1,0,0,0,3.00,3,16,11,2,1,0,2,2,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,.22,-0.020,-0.02%,-0.57
