date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-08,BOS,PHI,"L,2-4",99,1.0,0,0,0,0,1,0,0,0.00,3,8,7,2,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,0.01%,0.45
2015-04-10,BOS,NYY,"W,6-5",1,1.0,0,0,0,0,0,0,0,0.00,3,11,7,1,1,0,3,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.107,0.07%,0.49
2015-04-11,BOS,NYY,"W,8-4",0,0.2,3,3,3,0,1,1,0,10.13,5,20,15,2,2,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.06,-0.014,-0.01%,-2.61
2015-04-14,BOS,WSN,"W,8-7",2,1.1,1,0,0,0,2,0,0,6.75,5,24,17,7,2,1,2,1,0,0,,2,2,0,0,0,5,0,1,0,0,0,0,.98,-0.179,-0.11%,-1.03
2015-04-18,BOS,BAL,"L,1-4",3,1.0,0,0,0,0,1,0,0,5.40,3,19,11,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.75,0.058,0.05%,0.52
2015-04-21,BOS,TBR,"W,1-0",2,1.0,0,0,0,0,1,0,0,4.50,3,10,8,3,2,1,1,0,0,0,,3,0,0,0,0,3,0,0,0,0,0,0,2.84,0.210,0.16%,1.12
2015-04-23,BOS,TBR,"L,1-2",1,1.0,0,0,0,1,0,0,0,3.86,4,15,7,1,2,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.22,0.085,0.06%,0.47
2015-04-24,BOS,BAL,"W,7-5",0,0.1,0,0,0,1,1,0,0,3.68,2,15,9,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,4.00,0.098,0.07%,0.60
2015-04-27,BOS,TOR,"W,6-5",2,2.0,1,0,0,1,2,0,0,2.89,8,25,14,4,2,2,3,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.17,0.112,0.08%,1.04
2015-05-02,BOS,NYY,"L,2-4",4,1.1,2,1,1,0,1,1,0,3.38,6,25,16,2,4,3,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.51,-0.059,-0.04%,-0.37
2015-05-05,BOS,TBR,"W,2-0",2,1.0,0,0,0,0,0,0,0,3.09,3,12,8,1,1,0,3,1,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.60,0.123,0.07%,0.52
2015-05-06,BOS,TBR,"L,3-5",0,1.0,1,1,1,1,0,1,0,3.55,5,13,6,0,1,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.44,-0.071,-0.04%,-0.48
2015-05-08,BOS,TOR,"L,0-7",1,1.0,0,0,0,0,1,0,0,3.29,3,12,8,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.50
2015-05-11,BOS,OAK,"W,5-4",2,1.0,2,0,0,0,1,0,0,3.07,5,16,13,3,1,2,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.88,0.045,0.02%,0.47
