date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,CIN,WSN,"L,0-2",99,1.0,0,0,0,1,2,0,0,0.00,4,16,11,5,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.17,0.055,0.03%,0.49
2018-04-05,CIN,PIT,"L,2-5",5,1.2,1,0,0,0,2,0,0,0.00,6,23,14,4,3,2,2,1,0,0,,1,0,0,0,0,6,1,0,0,0,0,0,.13,0.014,0.01%,0.96
2018-04-08,CIN,PIT,"L,0-5",2,2.1,1,0,0,0,1,0,0,0.00,7,27,15,3,2,4,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.06,0.009,0.01%,1.02
2018-04-11,CIN,PHI,"L,3-4",2,1.0,1,0,0,0,2,0,0,0.00,4,17,11,3,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.90,0.042,0.02%,0.49
2018-04-12,CIN,STL,"L,4-13",0,0.2,2,0,0,0,1,0,0,0.00,4,14,9,4,1,2,1,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,2.25,0.056,0.02%,0.52
2018-04-15,CIN,STL,"L,2-3",2,1.2,1,0,0,0,2,0,0,0.00,5,17,11,3,5,2,1,1,0,0,,0,0,0,1,0,5,0,0,0,0,0,0,.25,0.028,0.01%,0.88
2018-04-17,CIN,MIL,"L,0-2",1,1.0,1,0,0,0,1,0,0,0.00,3,19,10,4,2,2,0,0,0,0,,1,0,0,0,0,3,0,0,0,1,0,0,.85,0.048,0.01%,0.88
2018-04-21,CIN,STL,"L,3-4",3,0.1,0,0,0,0,0,0,0,0.00,1,3,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.27,0.007,0.00%,0.22
2018-04-24,CIN,ATL,"W,9-7",2,2.1,4,3,3,0,1,1,0,2.25,10,39,24,6,0,5,4,2,0,0,,0,0,0,0,0,10,1,0,0,1,0,0,.73,0.000,0.00%,-0.92
2018-04-26,CIN,ATL,"L,4-7",1,1.2,0,0,0,0,1,0,0,1.98,4,17,12,1,2,0,3,1,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.31,0.165,0.02%,1.01
2018-04-27,CIN,MIN,"W,15-9",0,1.0,1,0,0,0,2,0,0,1.84,4,16,9,2,3,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.05,0.075,0.01%,0.52
2018-04-29,CIN,MIN,"W,8-2",1,0.2,2,0,0,1,1,0,0,1.76,5,29,17,3,2,1,2,1,0,0,,1,0,0,0,0,4,1,0,0,0,0,0,.17,-0.006,0.00%,-0.46
2018-05-01,CIN,MIL,"L,6-7",1,1.1,1,1,1,0,1,1,0,2.16,5,16,11,3,3,0,4,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.37,-0.045,-0.01%,-0.27
2018-05-02,CIN,MIL,"L,1-3",0,1.0,0,0,0,0,2,0,0,2.04,3,11,8,4,1,0,1,0,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.24,0.092,0.01%,0.88
2018-05-06,CIN,MIA,"L,5-8",3,0.2,0,0,0,1,2,0,0,1.96,3,16,9,1,5,0,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.46,0.030,0.00%,1.40
2018-05-08,CIN,NYM,"W,7-2",1,0.1,0,0,0,2,1,0,0,1.93,3,16,7,4,1,0,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,3.02,-0.023,0.00%,-0.57
2018-05-09,CIN,NYM,"W,2-1",0,1.0,0,0,0,1,0,0,0,1.83,4,15,8,0,3,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.23,0.106,0.01%,0.49
2018-05-11,CIN,LAD,"W,6-2",1,1.2,0,0,0,1,0,0,1,1.69,7,27,17,5,3,2,3,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.57,0.033,0.00%,0.16
2018-05-13,CIN,LAD,"W,5-3",1,1.2,0,0,0,0,4,0,0,1.57,5,24,15,5,3,0,1,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.44,0.191,0.02%,1.13
2018-05-15,CIN,SFG,"L,3-5",1,2.2,2,0,0,0,4,0,0,1.40,10,44,26,6,5,2,4,2,0,0,,2,1,0,0,0,10,0,0,0,0,0,0,1.15,0.039,0.00%,0.76
2018-05-19,CIN,CHC,"W,5-4",3,1.0,0,0,0,1,1,0,0,1.35,3,14,7,3,3,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.40,0.070,0.01%,0.49
2018-05-22,CIN,PIT,"W,7-2",2,0.1,1,1,1,2,0,1,0,1.67,4,16,8,3,2,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.41,-0.057,0.00%,-1.41
2018-05-24,CIN,PIT,"W,5-4",1,1.2,2,2,2,0,4,1,0,2.20,7,26,20,4,6,1,2,1,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,.84,0.014,0.00%,-0.92
2018-05-26,CIN,COL,"W,6-5",1,1.0,0,0,0,0,1,0,0,2.12,2,8,5,2,2,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,1.65,0.157,0.01%,0.97
2018-05-29,CIN,ARI,"L,2-5",2,1.0,0,0,0,1,0,0,0,2.05,4,12,6,1,1,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.007,0.00%,0.51
2018-05-30,CIN,ARI,"W,7-4",0,1.0,1,0,0,0,1,0,0,1.99,4,12,9,1,3,1,2,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,2.12,0.086,0.00%,0.51
