date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,NYM,STL,"W,9-4",99,1.0,0,0,0,0,1,0,0,0.00,3,13,10,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.25,0.019,0.01%,0.44
2018-03-31,NYM,STL,"W,6-2",1,1.1,1,1,1,1,2,1,0,3.86,6,30,18,8,2,0,3,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.89,0.122,0.07%,0.58
2018-06-05,NYM,BAL,"L,1-2",65,1.0,0,0,0,1,1,0,0,2.70,3,16,9,4,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.59,0.032,0.01%,0.44
2018-06-09,NYM,NYY,"L,3-4",3,1.0,3,1,1,0,2,1,0,4.15,6,18,13,2,4,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.03,-0.219,-0.06%,-0.56
2018-06-10,NYM,NYY,"W,2-0",0,1.0,0,0,0,1,1,0,0,3.38,3,14,6,4,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.40,0.065,0.01%,0.44
2018-06-15,NYM,ARI,"L,3-7",4,1.0,2,1,1,0,1,0,0,4.26,5,18,12,1,2,0,4,2,0,0,,0,0,0,0,0,5,0,1,0,0,0,0,.06,-0.006,0.00%,-0.49
2018-06-16,NYM,ARI,"W,5-1",0,1.0,0,0,0,0,3,0,0,3.68,3,15,12,7,1,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.019,0.00%,0.51
2018-06-20,NYM,COL,"L,8-10",3,2.0,2,1,1,1,2,1,0,3.86,8,33,21,6,4,3,2,1,0,0,,0,0,0,1,0,7,0,0,0,0,0,0,.61,-0.041,-0.01%,0.13
2018-06-22,NYM,LAD,"L,2-5",1,1.0,0,0,0,0,0,0,0,3.48,3,7,5,2,0,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.32,0.023,0.00%,0.44
2018-06-24,NYM,LAD,"L,7-8",1,1.1,6,3,3,0,0,2,0,5.40,9,39,24,9,0,3,6,2,0,0,,0,0,0,0,0,9,0,0,0,1,0,0,.65,-0.390,-0.04%,-2.47
2018-06-26,NYM,PIT,"W,4-3",1,0.1,1,0,0,1,0,0,0,5.25,3,15,8,0,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.86,-0.071,0.00%,-0.41
2018-06-27,NYM,PIT,"L,3-5",0,1.0,2,0,0,0,2,0,0,4.85,5,12,12,1,3,1,2,1,0,0,,3,3,0,0,0,4,0,0,0,0,1,0,1.72,-0.281,-0.02%,-0.74
2018-06-30,NYM,MIA,"L,2-5",2,1.0,1,0,0,0,1,0,0,4.50,3,12,10,3,3,1,1,1,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.11,0.005,0.00%,0.45
2018-07-03,NYM,TOR,"L,6-8",2,0.1,1,3,3,2,0,0,0,6.28,4,21,11,3,1,1,1,1,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,.77,-0.078,0.00%,-1.56
2018-07-07,NYM,TBR,"L,0-3",3,1.0,2,1,1,1,1,0,0,6.46,6,22,14,2,0,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.37,-0.031,0.00%,-0.56
2018-07-14,NYM,WSN,"W,7-4",6,0.1,0,0,0,0,0,0,0,6.32,1,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.22,0.006,0.00%,0.09
