date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,CIN,WSN,"L,7-13",99,2.0,3,1,1,1,1,1,0,4.50,9,38,22,5,3,4,3,1,0,0,,0,0,0,1,0,8,0,0,1,0,0,0,.23,-0.026,-0.01%,-0.01
2018-04-05,CIN,PIT,"L,2-5",4,1.0,0,0,0,1,0,0,0,3.00,4,12,6,2,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.006,0.00%,0.46
2018-04-06,CIN,PIT,"L,3-14",0,1.2,5,4,3,0,0,0,0,7.71,9,23,15,2,2,3,6,4,0,0,,2,2,0,0,0,9,2,0,0,0,0,1,.01,-0.006,0.00%,-4.39
2018-04-09,CIN,PHI,"L,5-6",2,2.0,0,0,0,0,2,0,0,5.40,6,28,18,4,3,2,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.62,0.094,0.04%,0.99
2018-04-11,CIN,PHI,"L,3-4",1,0.2,0,1,0,1,0,0,0,4.91,4,8,4,1,0,2,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,1,3.71,-0.364,-0.14%,-0.73
2018-04-12,CIN,STL,"L,4-13",0,1.0,1,1,1,0,0,1,1,5.40,4,16,8,3,1,2,1,0,0,0,,3,0,0,0,0,3,0,0,0,1,0,0,1.58,0.028,0.01%,0.54
2018-04-14,CIN,STL,"L,1-6",1,1.2,2,1,1,0,4,0,0,5.40,7,25,19,6,7,1,2,1,0,0,,2,0,0,0,0,7,2,0,0,0,0,0,.30,-0.006,0.00%,0.40
2018-04-18,CIN,MIL,"L,0-2",3,1.0,0,0,0,0,1,0,0,4.91,3,9,6,4,0,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.37,0.029,0.01%,0.49
2018-04-22,CIN,STL,"L,2-9",3,1.0,0,0,0,0,1,0,0,4.50,3,11,8,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.60,0.044,0.01%,0.47
2018-04-25,CIN,ATL,"L,4-5",2,2.0,1,0,0,1,2,0,0,3.86,8,27,18,4,1,2,3,1,0,0,,0,0,1,0,0,7,0,0,1,0,0,0,1.82,0.175,0.03%,0.99
2018-04-26,CIN,ATL,"L,4-7",0,0.1,1,0,0,0,1,0,0,3.77,2,11,7,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.75,-0.003,0.00%,-0.03
2018-04-28,CIN,MIN,"L,1-3",1,1.1,0,0,0,1,2,0,0,3.45,5,26,15,6,2,1,1,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.56,0.059,0.01%,0.96
2018-04-30,CIN,MIL,"L,5-6",1,1.0,1,0,0,0,2,0,0,3.24,4,25,18,4,3,2,0,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.01,0.065,0.01%,0.49
2018-05-05,CIN,MIA,"L,0-6",4,1.1,2,3,3,0,2,0,1,4.50,7,23,15,2,2,1,3,2,1,0,,0,0,0,0,0,6,1,0,0,0,0,0,.34,-0.027,0.00%,-1.41
