date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,LAA,OAK,"W,2-1",99,1.0,2,1,1,1,2,0,0,9.00,6,27,16,4,4,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,4.32,0.090,0.05%,-0.51
2018-04-01,LAA,OAK,"W,7-4",1,0.1,2,1,1,1,1,0,0,13.50,4,18,10,4,2,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.77,-0.093,-0.06%,-1.69
2018-04-03,LAA,CLE,"W,13-2",1,1.0,0,0,0,0,0,0,0,7.71,3,11,6,1,0,0,3,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.50
2018-04-04,LAA,CLE,"W,3-2",0,1.0,0,0,0,0,1,0,0,5.40,3,12,7,3,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.138,0.09%,0.50
2018-04-07,LAA,OAK,"L,3-7",2,1.1,2,2,2,1,1,0,0,7.71,6,26,14,5,2,3,1,1,0,0,,0,0,0,0,0,5,0,1,0,1,0,0,.61,-0.160,-0.12%,-1.40
2018-04-09,LAA,TEX,"W,8-3",1,1.0,0,0,0,0,1,0,0,6.35,3,11,8,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.009,0.01%,0.56
2018-04-12,LAA,KCR,"W,7-1",2,1.0,1,0,0,0,1,0,0,5.40,4,15,12,5,1,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.003,0.00%,0.51
2018-04-14,LAA,KCR,"W,5-3",1,0.1,2,1,1,1,0,1,0,6.43,4,15,9,2,2,1,2,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,2.17,-0.101,-0.07%,-0.88
2018-04-17,LAA,BOS,"L,1-10",2,1.1,2,0,0,1,0,0,0,5.40,6,23,14,2,3,2,3,2,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.03,0.004,0.00%,0.73
2018-04-20,LAA,SFG,"L,1-8",2,1.0,1,0,0,0,1,0,0,4.82,4,22,15,4,2,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.05,0.002,0.00%,0.50
2018-04-22,LAA,SFG,"L,2-4",1,1.2,2,1,1,0,2,1,0,4.91,7,32,22,6,2,1,4,1,1,0,,0,0,1,0,0,7,0,0,0,0,0,0,.37,-0.026,-0.02%,-0.23
2018-04-25,LAA,HOU,"L,2-5",2,1.0,0,0,0,0,0,0,0,4.50,3,8,6,0,1,0,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.007,0.01%,0.51
