date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2017-05-04,ARI,WSN,"L,2-4",99,4.0,5,3,3,6,2,0,0,6.75,22,92,49,14,3,8,6,2,2,0,36,,,0,0,0,16,1,0,0,1,0,0,1.19,-0.137,-0.10%,-1.24
2017-06-04,ARI,MIA,"L,5-6",30,5.0,7,5,4,3,3,1,0,7.00,26,103,62,16,3,9,10,3,0,0,35,,,1,0,0,20,2,0,0,1,2,1,1.45,-0.344,-0.26%,-2.67
2017-06-27,ARI,STL,"W,6-5",22,1.0,0,0,0,0,1,0,0,6.30,3,9,6,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.019,0.01%,0.56
2017-06-28,ARI,STL,"L,3-4",0,1.1,4,1,1,1,3,0,0,6.35,9,37,22,7,5,0,5,4,0,0,,0,0,0,0,0,8,2,0,1,0,0,0,.98,-0.098,-0.06%,-0.86
2017-08-20,ARI,MIN,"L,5-12",52,5.2,7,5,4,2,3,3,1,6.35,28,108,68,19,9,12,10,3,1,0,,2,2,1,0,0,25,1,0,0,0,0,1,.10,-0.067,-0.04%,-3.15
2017-09-08,ARI,SDP,"L,6-10",18,1.0,0,0,0,0,1,0,0,6.00,3,8,6,4,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,0.00%,0.56
2017-09-14,ARI,COL,"W,7-0",5,1.0,0,0,0,1,2,0,0,5.68,4,17,9,3,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.56
2017-09-20,ARI,SDP,"W,13-7",5,1.0,2,1,1,0,0,1,0,5.85,4,7,5,1,0,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.09,0.001,0.00%,-0.51
2017-09-23,ARI,MIA,"L,6-12",2,1.2,2,0,0,0,1,0,0,5.40,7,28,18,5,3,1,5,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.89,0.076,0.00%,0.87
2017-09-27,ARI,SFG,"W,4-3",3,3.1,4,3,3,2,2,0,0,5.76,16,79,43,9,8,4,8,3,1,0,40,,,0,0,0,14,3,1,0,0,0,0,.84,-0.144,0.00%,-1.34
2016-07-25,ARI,MIL,"L,2-7",99,5.1,8,6,6,4,4,3,0,10.13,26,101,63,16,10,8,10,7,0,0,28,,,1,0,0,22,1,0,0,1,0,0,1.08,-0.323,0.00%,-3.23
2016-07-30,ARI,LAD,"W,4-2",4,6.0,5,0,0,1,4,0,0,4.76,23,106,67,14,7,12,6,2,0,0,65,,,0,0,0,22,3,0,0,1,0,0,.81,0.296,0.00%,2.89
2016-08-05,ARI,MIL,"W,3-2",5,6.0,4,2,2,6,2,1,0,4.15,27,102,53,15,5,8,11,3,0,0,52,,,3,0,0,21,1,0,1,1,0,0,1.47,0.064,0.00%,1.18
2016-08-11,ARI,NYM,"W,9-0",5,7.0,3,0,0,1,7,0,0,2.96,24,78,49,12,9,6,10,3,1,0,77,,,0,0,0,23,0,0,0,0,0,0,.79,0.254,0.00%,3.33
2016-08-16,ARI,NYM,"L,5-7",4,5.0,10,7,6,1,0,2,0,4.30,25,89,51,10,3,6,18,8,1,0,20,,,0,0,0,22,3,1,0,1,2,0,.97,-0.330,0.00%,-4.27
2016-08-21,ARI,SDP,"L,1-9",4,5.1,7,7,7,1,5,2,0,5.45,24,85,58,13,13,6,12,7,2,0,30,,,0,0,0,23,2,1,0,0,0,0,.57,-0.198,0.00%,-3.83
2016-08-26,ARI,CIN,"W,4-3",4,7.0,4,1,1,4,1,0,0,4.75,28,98,55,17,5,13,10,7,1,0,62,,,0,0,0,22,2,0,0,1,0,0,1.37,0.363,0.00%,2.71
2016-09-03,ARI,COL,"W,9-4",7,5.2,8,4,4,1,3,2,0,4.94,24,93,55,13,8,10,10,6,1,0,39,,,0,0,0,23,2,0,0,2,0,0,.88,-0.007,0.00%,-1.20
2016-09-09,ARI,SFG,"L,6-7",5,3.2,6,3,3,2,2,0,0,5.12,18,70,39,5,6,10,4,2,0,0,,0,0,0,0,0,16,1,0,0,1,0,0,1.33,-0.142,0.00%,-1.33
2016-09-14,ARI,COL,"W,11-6",4,4.0,8,5,5,1,3,1,0,5.56,19,75,42,14,6,8,7,6,0,0,,0,0,0,0,0,18,2,1,0,2,0,0,.83,0.088,0.00%,-2.37
2016-09-19,ARI,SDP,"L,2-3",4,4.0,6,3,2,1,3,1,0,5.49,19,85,49,15,6,5,10,5,0,0,42,,,0,0,0,18,0,0,0,1,0,1,.98,-0.140,0.00%,-1.12
2016-09-25,ARI,BAL,"L,1-2",5,6.0,4,2,2,3,6,1,0,5.26,24,104,61,18,11,8,7,3,2,0,59,,,0,0,0,21,1,0,0,2,0,1,.86,0.070,0.00%,1.11
2016-09-30,ARI,SDP,"W,5-3",4,5.0,7,3,3,2,3,1,1,5.27,25,95,58,13,8,7,12,8,1,0,42,,,0,0,0,22,2,0,0,0,0,0,1.40,-0.020,0.00%,-0.35
