date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-04,KCR,TEX,"L,3-7",99,3.1,5,6,5,3,5,1,1,13.50,19,77,50,17,6,7,3,1,1,0,30,,,2,0,0,15,0,0,0,0,0,0,1.00,-0.284,-0.18%,-4.27
2021-04-12,KCR,LAA,"L,3-10",7,5.0,7,4,1,0,6,0,0,6.48,21,83,58,23,7,7,8,5,1,0,49,,,0,1,1,21,0,0,0,1,0,1,.81,-0.158,-0.10%,-1.27
2021-04-18,KCR,TOR,"W,2-0",5,6.0,2,0,0,3,6,0,0,3.77,24,90,55,20,9,7,8,3,0,0,71,,,1,0,0,21,0,0,0,0,0,1,1.13,0.368,0.25%,3.28
2021-04-24,KCR,DET,"W,2-1",5,7.0,3,1,1,0,8,1,0,2.95,24,93,65,17,14,10,6,2,0,0,75,,,0,0,0,24,0,0,0,0,0,0,1.01,0.356,0.27%,2.50
2021-04-30,KCR,MIN,"L,1-9",5,2.0,2,1,1,3,1,0,1,3.09,11,48,24,11,0,2,4,3,0,0,46,,,1,0,0,7,0,0,0,0,0,0,1.31,-0.013,-0.01%,0.02
2021-05-05,KCR,CLE,"L,4-5",4,5.2,4,3,3,2,3,0,1,3.41,24,92,55,19,8,8,10,3,3,0,50,,,1,0,0,21,1,0,0,1,0,1,1.24,0.053,0.05%,-0.10
2021-05-11,KCR,DET,"L,7-8",5,3.1,7,4,4,2,4,0,1,4.18,20,85,54,15,11,3,10,6,3,0,32,,,0,0,0,16,0,1,0,0,1,0,1.07,-0.212,-0.12%,-2.91
2021-05-16,KCR,CHW,"L,3-4",4,6.1,7,2,2,2,7,1,0,3.96,27,102,66,20,13,11,7,4,1,0,56,,,1,0,0,25,0,0,0,1,0,0,.99,0.041,0.03%,1.14
2021-05-22,KCR,DET,"W,7-5",5,6.1,6,3,3,2,6,0,0,4.00,27,96,58,20,8,12,7,3,1,0,53,,,0,0,0,25,1,0,0,0,0,0,1.29,0.058,0.03%,0.27
2021-05-27,KCR,TBR,"L,2-7",4,2.2,4,6,6,2,3,1,1,4.91,15,70,46,14,7,5,4,1,0,0,27,,,2,1,0,12,1,1,0,0,0,0,.64,-0.328,-0.19%,-4.79
2021-06-01,KCR,PIT,"W,10-5",4,5.2,8,5,4,1,6,0,1,5.06,28,94,58,17,10,8,12,5,1,0,40,,,0,0,0,24,3,0,0,0,2,0,1.16,-0.230,-0.13%,-2.35
2021-06-06,KCR,MIN,"L,1-2",4,5.2,8,2,2,3,7,0,1,4.88,27,106,70,17,11,10,6,4,1,0,49,,,0,0,0,23,1,0,0,1,0,0,1.38,0.032,0.02%,0.82
2021-06-11,KCR,OAK,"L,3-4",4,6.0,5,3,3,1,7,1,0,4.85,25,104,66,16,13,8,9,5,1,0,56,,,0,0,0,24,3,0,0,0,0,1,.75,-0.092,-0.05%,-0.03
2021-06-16,KCR,DET,"L,5-6",4,3.0,4,1,1,1,2,0,0,4.76,13,51,36,6,6,7,3,3,0,0,48,,,0,1,0,12,3,0,0,0,0,0,1.09,0.052,0.01%,0.64
2021-06-22,KCR,NYY,"W,6-5",5,3.2,5,2,2,5,5,2,0,4.77,21,96,54,22,10,5,6,3,1,0,43,,,0,0,0,16,0,0,0,0,0,0,.95,-0.088,-0.02%,-0.70
2021-06-27,KCR,TEX,"L,1-4",4,5.0,4,3,2,3,5,1,0,4.70,23,90,61,18,12,9,6,2,2,0,51,,,0,0,0,20,0,1,1,0,0,2,.73,-0.119,-0.02%,-0.42
2021-07-02,KCR,MIN,"W,7-4",4,3.0,5,3,2,2,4,0,0,4.74,16,72,49,14,11,4,6,4,0,0,41,,,0,0,0,14,2,0,0,0,0,0,1.21,-0.133,-0.01%,-1.36
2021-07-07,KCR,CIN,"L,2-5",4,6.0,5,1,1,1,6,0,2,4.52,25,95,54,19,8,9,7,3,1,0,63,,,0,0,0,22,0,0,0,1,0,0,1.04,0.295,0.02%,2.89
2021-07-17,KCR,BAL,"L,4-8",9,2.0,8,7,7,1,1,0,0,5.13,15,60,36,12,5,8,5,4,0,0,12,,,0,0,0,14,1,0,0,0,0,0,.94,-0.347,-0.01%,-5.92
2021-08-11,KCR,NYY,"L,2-5",24,3.2,10,5,5,3,2,0,0,5.42,21,67,42,14,5,4,12,7,0,0,20,,,1,0,0,18,2,0,0,2,0,0,1.09,-0.275,0.00%,-3.06
2021-08-18,KCR,HOU,"W,3-2",6,6.2,6,2,2,2,6,0,0,5.23,27,92,59,26,3,9,10,6,1,0,58,,,0,0,0,25,0,0,0,0,0,0,1.28,0.008,0.00%,1.30
2021-08-24,KCR,HOU,"L,0-4",5,5.0,7,4,1,4,6,0,0,5.07,26,104,68,23,14,8,8,6,1,0,45,,,0,0,0,22,1,0,0,0,0,1,.74,-0.205,0.00%,-1.37
2021-08-29,KCR,SEA,"L,3-4",4,6.0,3,2,1,3,5,1,1,4.87,26,102,66,17,17,8,9,4,0,0,62,,,0,0,0,22,0,0,0,0,0,1,.85,0.002,0.00%,0.97
2021-09-05,KCR,CHW,"W,6-0",6,7.0,5,0,0,0,6,0,0,4.58,25,106,72,18,12,10,9,4,1,0,73,,,0,0,0,25,0,0,0,0,0,0,.63,0.264,0.00%,3.83
2021-09-11,KCR,MIN,"L,2-9",5,4.2,7,6,6,2,7,5,0,4.85,23,97,64,21,9,5,9,2,0,0,31,,,1,0,0,21,0,0,0,0,0,0,.44,-0.295,0.00%,-3.68
