date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-07,ATL,MIA,"W,12-2",99,1.0,0,0,0,1,1,0,0,0.00,4,18,7,1,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.020,0.01%,0.45
2015-04-08,ATL,MIA,"W,2-0",0,1.2,0,0,0,0,1,0,0,0.00,5,22,14,3,4,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.08,0.131,0.09%,0.80
2015-04-10,ATL,NYM,"W,5-3",1,0.2,0,0,0,0,1,0,0,0.00,2,9,5,1,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.32,0.065,0.05%,0.36
2015-04-11,ATL,NYM,"W,5-3",0,0.2,0,0,0,0,0,0,0,0.00,1,1,1,0,0,1,0,0,0,0,,3,1,0,0,0,1,0,0,0,1,0,0,3.91,0.167,0.13%,0.93
2015-04-14,ATL,MIA,"L,2-8",2,0.2,0,0,0,1,2,0,0,0.00,3,13,7,3,3,0,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.45,0.016,0.01%,0.86
2015-04-15,ATL,MIA,"L,2-6",0,1.0,0,1,1,2,0,0,0,1.59,5,25,14,1,2,1,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,1,0,.14,-0.014,-0.01%,-0.55
2015-04-18,ATL,TOR,"L,5-6",2,0.1,0,0,0,0,0,0,0,1.50,1,3,2,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.83,0.052,0.03%,0.23
2015-04-21,ATL,NYM,"L,1-7",2,1.0,1,1,1,2,0,0,0,2.57,6,23,11,3,0,1,3,1,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,.18,-0.016,-0.01%,-0.55
2015-04-22,ATL,NYM,"L,2-3",0,0.1,0,0,0,0,0,0,0,2.45,1,3,1,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,1.50,0.036,0.03%,0.73
2015-04-23,ATL,NYM,"L,3-6",0,1.2,0,0,0,0,4,0,0,2.00,5,23,14,5,6,1,0,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.15,0.020,0.02%,1.09
2015-05-08,ATL,WSN,"L,2-9",14,1.0,1,1,1,0,1,1,0,2.70,4,13,8,1,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.44,-0.077,-0.05%,-0.53
2015-05-09,ATL,WSN,"L,6-8",0,1.0,0,0,0,1,1,0,0,2.45,4,14,6,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.31,0.011,0.01%,0.47
2015-05-10,ATL,WSN,"L,4-5",0,0.1,0,0,0,0,0,0,0,2.38,1,3,1,0,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.83,0.051,0.03%,0.22
2015-05-15,ATL,MIA,"W,5-3",4,0.1,0,0,0,0,0,0,0,2.31,1,5,3,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.30,0.088,0.05%,0.46
2015-05-20,ATL,TBR,"W,2-1",4,1.1,0,0,0,0,0,0,0,2.08,4,8,7,3,0,3,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.58,0.156,0.08%,0.86
2015-05-21,ATL,MIL,"W,10-1",0,1.0,0,0,0,1,2,0,0,1.93,4,18,10,3,1,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.002,0.00%,0.45
2015-05-23,ATL,MIL,"W,3-2",1,1.0,0,0,0,0,1,0,0,1.80,3,20,13,4,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.13,0.083,0.05%,0.45
2015-05-28,ATL,SFG,"L,0-7",4,0.1,4,5,5,1,0,0,0,4.70,6,17,10,0,2,2,3,3,0,0,,0,0,0,0,0,5,1,1,0,0,0,0,.51,-0.122,-0.07%,-4.45
2015-05-30,ATL,SFG,"W,8-0",1,1.0,2,0,0,0,1,0,0,4.41,5,25,14,3,4,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.001,0.00%,0.46
2015-06-02,ATL,ARI,"L,6-7",2,1.1,2,2,2,2,1,1,0,5.09,8,29,17,4,4,1,4,2,1,0,,2,0,0,0,0,6,1,0,0,0,0,0,1.99,-0.308,-0.21%,-1.02
2015-06-03,ATL,ARI,"L,8-9",0,0.2,0,0,0,0,2,0,0,4.91,2,12,7,0,4,0,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.47,0.022,0.01%,0.90
2015-06-05,ATL,PIT,"L,8-10",1,0.2,0,0,0,0,1,0,0,4.74,2,9,6,2,2,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.15,0.056,0.04%,0.36
2015-06-07,ATL,PIT,"L,0-3",1,2.0,0,0,0,0,2,0,0,4.29,6,21,13,4,2,1,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.20,0.029,0.02%,0.90
2015-06-09,ATL,SDP,"W,6-5",1,0.1,0,0,0,0,1,0,0,4.22,1,4,3,0,3,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.23,0.087,0.05%,0.47
2015-06-10,ATL,SDP,"W,4-1",0,1.0,1,0,0,0,1,0,0,4.03,3,9,6,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.15,0.037,0.02%,0.45
2015-06-11,ATL,SDP,"L,4-6",0,2.0,3,2,2,2,2,0,0,4.44,10,34,18,3,2,4,2,2,0,0,,0,0,0,0,0,8,0,0,0,1,0,0,2.84,-0.293,-0.20%,-1.10
2015-06-14,ATL,NYM,"L,8-10",2,0.2,1,1,1,2,2,1,0,4.68,5,23,11,6,3,0,1,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,1.96,-0.153,-0.13%,-1.52
2015-06-18,ATL,BOS,"L,2-5",3,1.0,1,0,0,0,1,0,0,4.50,4,18,12,1,4,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.13,0.006,0.00%,0.45
2015-06-23,ATL,WSN,"L,1-3",4,0.2,2,0,0,0,1,0,0,4.39,4,15,10,0,4,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.37,0.007,0.01%,0.25
2015-06-25,ATL,WSN,"L,0-7",1,1.0,2,1,0,0,1,0,0,4.23,5,19,14,3,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,-0.001,0.00%,-0.53
2015-09-02,ATL,MIA,"L,3-7",68,1.0,2,0,0,0,1,0,0,4.08,5,25,15,4,4,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.21,0.006,0.00%,0.45
2015-09-04,ATL,WSN,"L,2-5",1,0.0,2,2,2,0,0,1,0,4.71,2,9,5,1,0,1,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,2.75,-0.294,0.00%,-2.62
