date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,STL,NYM,"L,4-9",99,0.1,1,0,0,0,0,0,0,0.00,2,10,5,1,1,1,1,0,1,0,,2,1,1,0,0,2,0,0,0,0,0,0,.27,-0.021,-0.01%,-0.60
2018-05-12,STL,SDP,"L,1-2",43,0.2,0,0,0,0,0,0,0,0.00,1,3,3,1,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,4.33,0.200,0.15%,0.86
2018-05-13,STL,SDP,"L,3-5",0,1.0,0,0,0,0,2,0,0,0.00,3,13,9,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.27,0.020,0.02%,0.45
2018-05-15,STL,MIN,"L,1-4",1,0.1,1,1,1,0,0,0,0,3.86,2,9,6,2,0,0,2,1,0,0,,2,0,0,0,0,2,1,0,0,0,0,0,2.01,-0.043,-0.03%,-0.18
2018-05-16,STL,MIN,"W,7-5",0,0.1,0,0,0,0,1,0,0,3.38,1,5,3,0,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.44,0.068,0.05%,0.51
2018-05-19,STL,PHI,"L,6-7",2,0.2,0,0,0,1,0,0,0,2.70,3,12,5,1,1,2,0,0,0,0,,3,2,0,0,0,2,0,0,0,0,0,0,1.77,-0.098,-0.07%,-0.47
2018-05-22,STL,KCR,"L,1-5",2,0.1,0,0,0,1,1,0,0,2.45,2,8,3,2,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.40,-0.001,0.00%,-0.03
2018-05-23,STL,KCR,"L,2-5",0,0.2,1,0,0,2,0,0,0,2.08,4,11,5,2,1,1,1,1,0,0,,2,1,1,0,0,2,0,0,1,0,0,0,.26,-0.003,0.00%,0.06
2018-05-25,STL,PIT,"L,1-8",1,0.2,2,1,1,0,0,0,0,3.60,4,10,10,2,1,1,3,2,0,0,,2,2,0,0,0,3,0,1,0,0,1,0,.73,-0.100,-0.08%,-1.23
2018-05-28,STL,MIL,"L,3-8",2,1.0,2,3,3,1,1,1,0,7.50,6,19,12,2,1,2,2,0,0,0,,0,0,3,0,0,5,0,0,1,0,0,0,.55,-0.093,-0.08%,-2.51
2018-06-01,STL,PIT,"L,0-4",3,1.0,1,0,0,0,0,0,0,6.43,4,15,10,2,1,0,4,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.003,0.00%,0.47
2018-06-06,STL,MIA,"L,3-11",4,1.0,3,2,1,1,1,0,0,6.75,7,29,17,4,3,2,3,2,0,0,,0,0,0,0,0,6,1,1,0,0,0,1,.17,-0.046,-0.03%,-1.53
2018-06-10,STL,CIN,"L,3-6",3,2.0,1,1,1,3,1,0,0,6.30,8,41,20,5,4,1,3,1,0,0,,0,0,0,1,1,5,0,0,0,0,0,0,.49,-0.013,-0.01%,-0.01
2018-06-15,STL,CHC,"L,5-13",4,2.0,3,1,1,1,1,0,0,6.00,10,37,26,5,2,2,6,2,1,0,,0,0,0,0,0,8,0,0,0,0,1,0,.01,0.000,0.00%,-0.06
2018-06-20,STL,PHI,"L,3-4",4,1.0,1,0,0,0,2,0,0,5.54,4,19,13,4,3,0,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.51,0.075,0.05%,0.49
2018-06-21,STL,MIL,"L,3-11",0,1.0,0,0,0,2,0,0,0,5.14,5,27,13,3,1,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.007,0.01%,0.49
2018-06-24,STL,MIL,"W,8-2",2,1.0,0,0,0,0,1,0,0,4.80,3,9,5,1,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,0.01%,0.49
2018-06-26,STL,CLE,"W,11-2",1,1.0,0,0,0,0,0,0,0,4.50,3,8,5,2,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,0.00%,0.47
