date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-02,HOU,OAK,"W,9-5",99,0.1,1,2,2,1,0,1,0,54.00,3,14,7,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.95,-0.107,-0.07%,-1.77
2021-04-03,HOU,OAK,"W,9-1",0,1.2,0,0,0,0,1,0,0,9.00,5,16,10,3,2,1,3,0,0,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.05,0.125,0.09%,2.06
2021-04-05,HOU,LAA,"L,6-7",1,1.0,2,1,1,1,1,0,0,9.00,6,28,17,6,5,0,4,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.20,-0.049,-0.04%,-0.47
2021-04-08,HOU,OAK,"W,6-2",2,1.0,3,2,2,0,2,0,0,11.25,6,26,18,3,7,0,4,3,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.12,0.003,0.00%,-1.47
2021-04-14,HOU,DET,"L,4-6",5,1.0,0,0,0,0,1,0,0,9.00,3,9,6,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.21,0.017,0.01%,0.53
2021-04-16,HOU,SEA,"L,5-6",1,0.1,0,0,0,0,1,0,0,8.44,1,4,3,1,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.12,0.060,0.04%,0.32
2021-04-18,HOU,SEA,"L,2-7",1,0.2,1,1,1,0,2,1,0,9.00,3,12,9,3,2,0,1,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.62,-0.106,-0.07%,-1.06
2021-04-20,HOU,COL,"L,2-6",1,0.2,1,2,2,1,1,0,0,10.80,4,19,11,4,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.33,-0.003,0.00%,-0.29
2021-04-22,HOU,LAA,"W,8-2",1,1.0,0,0,0,0,0,0,0,9.39,3,10,6,1,0,2,1,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,.33,0.025,0.01%,1.19
2021-04-25,HOU,LAA,"L,2-4",2,1.1,2,1,1,0,2,0,0,9.00,6,21,17,3,4,2,2,2,0,0,,1,0,0,0,0,6,1,0,0,0,0,0,.64,-0.045,-0.03%,-0.23
2021-04-27,HOU,SEA,"W,2-0",1,1.0,0,0,0,0,2,0,0,8.10,3,14,11,3,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.00,0.078,0.05%,0.53
2021-04-29,HOU,SEA,"L,0-1",1,1.0,0,0,0,0,1,0,0,7.36,3,6,5,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.71,0.055,0.04%,0.53
2021-05-01,HOU,TBR,"W,3-1",1,1.0,0,0,0,0,2,0,0,6.75,3,19,11,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.64,0.048,0.03%,0.48
2021-05-02,HOU,TBR,"L,4-5",0,0.1,1,1,1,0,0,0,1,7.30,3,20,11,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.55,-0.121,-0.08%,-0.69
2021-05-05,HOU,NYY,"L,3-6",2,0.0,2,3,3,1,0,0,0,9.49,3,13,6,1,1,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.44,-0.329,-0.20%,-2.35
2021-05-08,HOU,TOR,"L,4-8",2,0.1,0,2,0,1,0,0,0,9.24,3,17,9,1,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,.83,-0.064,-0.04%,-0.91
2021-05-10,HOU,LAA,"L,4-5",1,1.1,1,0,0,1,3,0,0,8.36,6,30,16,4,4,1,1,1,0,0,,2,0,2,0,0,5,0,0,0,0,0,0,1.77,0.115,0.08%,1.04
2021-05-13,HOU,TEX,"W,4-3",2,1.0,0,0,0,1,2,0,0,7.80,4,13,8,1,5,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,4.52,0.315,0.24%,1.16
2021-05-16,HOU,TEX,"W,6-2",2,1.0,0,0,0,0,3,0,0,7.31,3,15,9,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.110,0.09%,0.53
2021-05-20,HOU,OAK,"W,8-4",3,1.0,2,1,1,0,0,0,0,7.41,5,16,11,2,1,2,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.11,-0.023,-0.02%,-0.51
2021-05-21,HOU,TEX,"L,5-7",0,1.0,0,0,0,0,1,0,0,7.00,3,9,6,2,1,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.42,0.109,0.09%,0.52
2021-05-23,HOU,TEX,"L,2-3",1,1.1,2,0,0,1,3,0,0,6.52,7,25,18,5,4,1,2,1,0,0,,3,1,0,0,0,6,0,0,0,0,0,0,1.90,-0.017,-0.02%,0.30
