date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-03-30,ATL,PHI,"L,6-8",99,3.1,5,4,4,4,3,1,0,10.80,17,73,40,14,5,3,7,3,0,0,33,,,1,1,0,13,2,1,1,0,0,0,1.09,-0.265,-0.17%,-2.13
2019-04-26,ATL,COL,"L,4-8",26,1.0,0,0,0,0,1,0,0,8.31,3,13,9,2,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,0.00%,0.56
2019-06-27,ATL,CHC,"L,7-9",61,4.1,6,6,4,1,6,1,0,8.31,21,82,63,15,9,6,8,3,1,0,36,,,0,0,0,20,2,0,0,0,0,1,1.07,-0.253,-0.18%,-3.01
2019-07-03,ATL,PHI,"W,9-2",5,6.0,5,2,2,2,5,1,0,6.14,23,86,60,16,9,6,10,4,1,0,57,,,0,0,0,20,1,0,0,1,0,0,.90,0.156,0.16%,1.34
2019-07-16,ATL,MIL,"L,1-13",12,4.0,6,4,4,3,1,1,0,6.75,21,80,45,13,2,6,11,3,3,0,32,,,0,0,0,17,2,0,0,0,0,0,.76,-0.179,-0.08%,-1.87
2019-09-03,ATL,TOR,"W,7-2",48,1.1,4,2,2,0,0,1,0,7.20,8,22,19,8,1,1,7,4,1,0,,0,0,0,0,0,8,3,0,0,0,0,0,.86,-0.115,-0.03%,-1.61
2021-04-18,ATL,CHC,"W,13-4",99,5.0,7,3,2,1,1,2,0,3.60,21,69,50,17,5,11,8,2,1,0,43,,,1,0,0,20,1,0,0,1,0,0,.74,0.036,0.02%,-0.44
2021-04-25,ATL,ARI,"L,0-5",6,4.0,4,3,3,2,4,2,0,5.00,17,61,37,11,9,5,6,0,2,0,44,,,0,1,0,14,0,0,0,0,0,0,.79,-0.149,-0.09%,-0.81
2021-04-29,ATL,CHC,"L,3-9",3,3.0,7,4,4,2,1,0,0,6.75,18,55,34,11,4,4,11,5,3,0,28,,,1,0,0,15,1,0,1,0,1,0,.90,-0.221,-0.14%,-2.36
2021-05-11,ATL,TOR,"L,3-5",11,6.0,6,2,2,0,5,1,0,5.50,23,84,58,11,9,9,9,7,0,0,57,,,0,0,0,23,0,0,0,1,0,0,1.07,0.092,0.05%,1.28
2021-05-22,ATL,PIT,"W,6-1",10,6.2,5,1,1,2,4,1,0,4.38,25,85,55,14,5,8,11,4,0,0,62,,,0,0,0,23,0,0,0,1,0,0,.71,0.236,0.12%,2.37
2021-06-20,ATL,STL,"L,1-9",28,4.0,8,5,5,0,4,1,0,5.34,20,65,49,10,9,5,11,5,0,0,30,,,1,0,0,20,2,0,0,0,0,0,.83,-0.227,-0.10%,-2.31
2021-07-21,ATL,SDP,"L,5-6",30,2.0,4,5,5,4,2,0,0,6.46,14,60,35,8,7,1,7,5,0,0,26,,,1,0,0,9,2,0,1,0,1,0,1.02,-0.356,-0.19%,-3.91
