date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-04-02,COL,TBR,"L,0-4",99,1.1,2,1,1,0,2,0,0,6.75,6,19,14,4,4,3,1,1,0,0,,2,0,0,0,0,6,1,0,0,0,0,0,.35,-0.010,-0.01%,-0.01
2019-04-05,COL,LAD,"L,6-10",2,2.0,2,1,1,0,2,1,0,5.40,7,36,23,6,3,1,4,2,0,0,,1,0,0,0,0,7,1,0,0,0,0,0,.23,0.011,0.01%,0.66
2019-04-07,COL,LAD,"L,6-12",1,1.2,3,2,2,0,3,1,0,7.20,8,32,21,6,8,3,2,1,0,0,,2,2,0,0,0,7,0,0,0,0,1,0,.20,-0.051,-0.03%,-1.84
2019-04-11,COL,SFG,"L,0-1",3,0.1,0,0,0,0,0,0,0,6.75,1,2,2,0,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.16,0.034,0.02%,0.60
2019-04-12,COL,SFG,"L,2-3",0,1.0,0,0,0,0,1,0,0,5.68,3,9,6,3,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.137,0.06%,0.50
2019-04-15,COL,SDP,"W,5-2",2,1.1,0,0,0,0,1,0,0,4.70,4,16,11,2,4,1,2,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.40,0.042,0.02%,0.73
2019-04-16,COL,SDP,"W,8-2",0,1.0,1,0,0,0,2,0,0,4.15,4,16,11,3,4,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.21,0.015,0.01%,0.50
2019-04-18,COL,PHI,"W,6-2",1,0.2,2,2,2,0,1,1,1,5.79,5,18,12,4,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.04,-0.146,-0.06%,-1.65
2019-04-20,COL,PHI,"L,5-8",1,0.1,0,0,0,0,1,0,0,5.59,1,3,3,1,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.28,0.009,0.00%,0.28
2019-04-21,COL,PHI,"W,4-1",0,1.0,1,0,0,1,1,0,0,5.06,5,21,12,2,2,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.73,0.039,0.02%,0.62
2019-04-23,COL,WSN,"L,3-6",1,1.0,0,1,1,2,2,0,0,5.40,5,28,12,3,1,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.87,0.039,0.02%,0.22
2019-04-26,COL,ATL,"W,8-4",2,0.1,0,0,0,0,1,0,0,5.25,1,6,5,0,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.76,0.020,0.01%,0.12
