date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2017-09-01,TOR,BAL,"L,0-1",99,2.0,0,0,0,0,2,0,0,0.00,6,27,20,5,3,2,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.83,0.279,0.00%,1.03
2017-09-03,TOR,BAL,"L,4-5",1,2.0,1,0,0,0,2,0,0,0.00,7,32,21,2,6,0,5,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,2.37,0.279,0.00%,1.03
2017-09-06,TOR,BOS,"L,1-6",2,2.0,0,0,0,1,1,0,1,0.00,7,24,11,3,2,1,3,0,2,0,,2,0,1,0,0,5,0,0,0,1,0,0,.13,0.025,0.00%,2.46
2017-09-09,TOR,DET,"W,5-4",2,1.0,0,0,0,0,2,0,0,0.00,3,9,7,1,2,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.95,0.074,0.00%,0.53
2017-09-11,TOR,BAL,"W,4-3",1,1.0,0,0,0,0,0,0,0,0.00,3,11,7,2,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.60,0.124,0.00%,0.53
2017-09-13,TOR,BAL,"L,1-2",1,1.0,0,0,0,1,2,0,0,0.00,4,14,9,3,4,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.82,0.059,0.00%,0.53
2017-09-14,TOR,MIN,"L,2-3",0,1.0,0,0,0,0,0,0,0,0.00,2,5,4,2,0,1,1,0,1,0,,1,0,0,0,0,2,0,0,0,1,0,0,3.06,0.216,0.00%,0.92
2017-09-20,TOR,KCR,"L,5-15",5,1.0,3,4,4,1,1,2,0,3.27,7,22,12,3,2,2,3,3,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.00,-0.003,0.00%,-3.47
2017-09-22,TOR,NYY,"W,8-1",1,1.0,0,0,0,0,0,0,0,3.00,3,15,9,3,1,0,3,1,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.53
2017-09-25,TOR,BOS,"W,6-4",2,1.0,0,0,0,0,1,0,0,2.77,3,10,7,2,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.01,0.079,0.00%,0.56
2017-09-27,TOR,BOS,"L,7-10",1,2.0,1,1,1,0,1,1,0,3.00,7,24,15,3,4,2,4,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.11,-0.001,0.00%,0.11
2017-09-30,TOR,NYY,"L,1-2",2,1.2,1,0,0,0,2,0,0,2.70,6,22,16,1,6,1,3,0,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.69,0.092,0.00%,1.51
