date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-08-11,SFG,PIT,"L,0-4",99,5.0,2,0,0,0,3,0,0,0.00,17,58,42,13,9,10,4,2,1,0,,0,0,0,0,0,17,0,0,0,0,0,0,.12,0.045,0.01%,2.25
2018-08-15,SFG,LAD,"L,3-4",3,1.1,2,1,1,2,0,0,0,1.42,7,20,13,3,1,2,3,1,1,0,,0,0,0,0,0,4,1,0,1,1,1,0,2.31,-0.236,-0.11%,-0.55
2018-08-17,SFG,CIN,"L,1-2",1,4.1,9,1,1,1,2,0,0,1.69,21,73,49,12,2,8,11,7,0,0,42,,,0,1,1,20,1,0,0,0,0,0,1.21,0.095,0.03%,0.95
2018-08-22,SFG,NYM,"L,3-5",4,6.0,7,4,2,0,4,2,0,2.16,27,89,62,14,11,9,14,4,2,0,50,,,0,0,0,27,2,1,0,0,0,2,.76,-0.202,-0.02%,-1.34
2018-09-04,SFG,COL,"L,2-6",12,1.0,1,0,0,1,2,0,0,2.04,5,21,12,2,2,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.004,0.00%,0.57
2018-09-23,SFG,STL,"L,2-9",18,1.0,1,2,2,1,2,1,1,2.89,6,22,11,2,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,-0.004,0.00%,-1.53
2018-09-26,SFG,SDP,"L,2-3",2,5.0,6,2,2,0,3,0,0,3.04,21,71,47,5,8,10,8,2,2,0,50,,,0,0,0,20,1,1,0,0,1,0,.92,-0.020,0.00%,0.25
2015-09-19,SDP,COL,"L,2-10",99,2.0,5,1,1,0,3,0,0,4.50,11,42,32,7,7,3,5,5,0,0,,0,0,0,0,0,11,1,0,0,0,0,0,.01,0.001,0.00%,0.10
2015-09-25,SDP,ARI,"L,3-6",5,5.0,6,6,6,1,1,1,1,9.00,23,78,48,17,3,9,11,7,0,0,31,,,0,0,0,21,2,0,0,0,0,0,.63,-0.366,0.00%,-3.80
2015-10-02,SDP,LAD,"L,2-6",6,4.1,8,6,3,2,3,0,0,7.94,22,81,47,13,3,9,8,8,0,0,30,,,0,0,0,20,1,0,0,1,0,1,.81,-0.298,0.00%,-4.27
2016-04-22,ATL,NYM,"L,3-6",99,3.0,3,1,1,0,0,0,0,3.00,12,49,29,5,5,2,10,6,2,0,,0,0,0,0,0,12,2,0,0,0,0,0,.36,0.015,0.01%,0.46
2016-05-22,ATL,PHI,"L,0-5",29,5.0,7,3,3,1,1,1,2,4.50,25,85,54,7,5,11,10,4,2,0,41,,,0,0,0,22,1,2,0,0,0,0,.77,-0.118,-0.01%,-0.55
2016-05-25,ATL,MIL,"L,2-3",2,4.0,5,1,1,3,1,0,0,3.75,19,76,43,8,5,9,6,3,1,0,,0,0,1,0,0,16,0,0,2,0,0,0,3.13,0.098,0.00%,0.94
2016-06-06,ATL,SDP,"L,2-7",11,1.2,2,0,0,0,1,0,0,3.29,7,19,15,1,4,5,1,1,0,0,,1,1,1,0,0,7,0,0,0,0,0,0,.19,-0.011,0.00%,0.13
2016-06-07,ATL,SDP,"L,3-4",0,1.2,0,0,0,0,1,0,0,2.93,5,21,15,5,2,3,1,0,0,0,,3,1,0,0,0,4,0,0,0,0,1,0,2.05,0.177,0.00%,1.01
2016-06-12,ATL,CHC,"L,2-13",4,1.1,5,4,4,2,0,0,0,4.86,10,38,20,3,1,4,4,3,0,0,,0,0,0,0,0,8,3,0,1,0,0,0,.54,-0.141,0.00%,-3.59
2016-06-13,ATL,CIN,"L,8-9",0,1.0,0,0,0,0,1,0,0,4.58,3,12,6,2,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.72,0.054,0.00%,0.49
2016-06-15,ATL,CIN,"W,9-8",1,1.0,4,3,3,0,0,0,0,5.79,7,24,16,3,1,3,4,4,0,0,,0,0,0,0,0,7,1,0,0,0,0,1,1.55,-0.400,0.00%,-2.52
2016-06-29,ATL,CLE,"L,0-3",13,1.0,1,0,0,0,0,0,0,5.49,4,20,16,3,0,3,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.10,0.008,0.00%,0.49
2016-07-01,ATL,MIA,"L,5-7",1,2.0,3,2,2,1,2,0,0,5.82,10,32,19,7,2,0,7,3,1,0,,0,0,0,0,0,9,1,0,0,0,0,0,2.76,-0.278,0.00%,-1.03
