date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-02,BAL,BOS,"W,3-0",99,1.0,1,0,0,0,1,0,0,0.00,4,14,10,3,2,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.63,0.049,0.03%,0.57
2021-04-03,BAL,BOS,"W,4-2",0,1.0,0,0,0,1,1,0,1,0.00,5,22,13,3,5,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.87,0.106,0.07%,0.57
2021-04-07,BAL,NYY,"W,4-3",3,2.1,2,1,0,0,3,0,0,0.00,9,31,20,5,4,4,2,1,0,0,,1,0,0,0,0,9,0,0,0,0,0,0,3.21,0.173,0.12%,1.00
2021-04-10,BAL,BOS,"L,4-6",2,1.0,2,1,1,0,0,0,0,1.69,5,15,8,3,0,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.43,-0.185,-0.13%,-0.46
2021-04-13,BAL,SEA,"W,7-6",2,1.0,1,0,0,0,1,0,0,1.42,4,14,9,3,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.81,0.145,0.08%,0.54
2021-04-16,BAL,TEX,"W,5-2",2,1.0,1,0,0,0,1,0,0,1.23,5,20,16,4,3,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,.98,0.043,0.02%,0.52
2021-04-18,BAL,TEX,"L,0-1",1,0.2,0,0,0,0,0,0,0,1.13,2,9,5,2,1,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.62,0.082,0.05%,0.27
2021-04-20,BAL,MIA,"W,7-5",1,1.1,0,0,0,0,3,0,0,0.96,4,16,12,1,6,1,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.27,0.134,0.07%,0.73
2021-04-26,BAL,NYY,"W,4-2",5,1.1,1,0,0,0,1,0,0,0.84,4,9,8,1,2,2,1,1,0,0,,3,1,0,0,0,4,0,0,0,0,0,0,1.58,0.131,0.08%,0.34
2021-04-29,BAL,NYY,"W,4-3",2,1.0,1,1,1,2,2,0,0,1.54,6,29,16,5,3,0,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,4.67,-0.185,-0.09%,-0.46
2021-04-30,BAL,OAK,"W,3-2",0,1.0,2,0,0,0,0,0,0,1.42,5,24,14,4,1,0,5,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,5.87,0.199,0.10%,0.50
2021-05-03,BAL,SEA,"W,5-3",2,1.0,0,0,0,0,2,0,0,1.32,3,10,9,2,5,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.19,0.090,0.05%,0.50
2021-05-10,BAL,BOS,"W,4-1",6,1.0,0,0,0,0,2,0,0,1.23,3,10,9,3,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.46,0.036,0.02%,0.54
2021-05-11,BAL,NYM,"L,2-3",0,0.1,3,2,2,0,1,0,0,2.40,5,23,17,1,2,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,5.26,-0.805,-0.35%,-2.41
2021-05-16,BAL,NYY,"W,10-6",4,1.0,3,1,1,0,2,0,0,2.81,6,22,16,5,3,1,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.41,0.007,0.00%,-0.46
2021-05-20,BAL,TBR,"L,1-10",3,1.0,2,0,0,1,1,0,0,2.65,6,21,14,5,3,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.001,0.00%,0.54
2021-05-23,BAL,WSN,"L,5-6",2,1.0,1,0,0,0,0,0,0,2.50,4,15,11,3,3,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.74,0.030,0.00%,0.49
2021-05-24,BAL,MIN,"L,3-8",0,0.1,3,3,3,0,0,0,0,3.93,4,13,11,2,1,0,4,3,0,0,,2,2,0,0,0,3,1,0,0,0,1,0,2.70,-0.479,-0.06%,-3.13
2021-05-27,BAL,CHW,"L,1-5",2,0.1,3,3,3,1,1,0,0,5.30,5,23,12,4,1,1,2,2,0,0,,0,0,0,0,0,4,2,0,0,0,0,0,1.01,-0.183,-0.01%,-3.02
2021-05-31,BAL,MIN,"L,2-3",3,1.0,0,0,0,0,1,0,0,5.03,3,10,7,1,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.17,0.091,0.00%,0.54
2021-06-01,BAL,MIN,"W,7-4",0,0.2,2,1,1,0,1,1,0,5.31,3,10,7,1,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.59,-0.004,0.00%,-0.71
2021-06-05,BAL,CLE,"L,4-10",3,2.1,2,1,1,0,2,0,0,5.16,9,33,25,7,5,4,3,2,1,0,,1,0,0,0,0,9,1,0,0,0,0,0,.17,-0.002,0.00%,0.45
2021-06-09,BAL,NYM,"L,1-14",3,1.0,1,0,0,0,0,0,0,4.94,3,10,7,1,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.05,0.002,0.00%,0.54
2021-06-13,BAL,TBR,"L,1-7",3,2.0,3,2,2,1,2,1,0,5.26,10,30,19,3,3,3,4,1,0,0,,2,2,0,0,0,9,0,0,1,0,0,0,.23,-0.042,0.00%,-1.57
2021-06-20,BAL,TOR,"L,4-7",6,1.0,3,2,2,1,1,0,0,5.74,7,24,17,2,3,1,4,3,1,0,,0,0,0,0,0,6,2,0,0,0,0,0,.24,-0.052,0.00%,-1.46
2021-07-07,BAL,TOR,"L,2-10",16,1.0,2,2,2,0,1,1,0,6.18,5,16,13,1,3,1,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.08,-0.018,0.00%,-1.46
