date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-09,SEA,KCR,"L,0-10",99,3.0,0,0,0,1,2,0,0,0.00,10,37,27,8,5,4,3,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.01,0.001,0.00%,1.53
2018-04-14,SEA,OAK,"W,10-8",4,1.2,0,0,0,1,1,0,0,0.00,5,23,17,4,2,3,0,0,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,1.27,0.217,0.14%,1.65
2018-04-15,SEA,OAK,"L,1-2",0,1.0,2,0,0,0,1,0,0,0.00,5,12,7,0,3,2,2,1,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.88,0.082,0.06%,0.86
2018-04-17,SEA,HOU,"L,1-4",1,1.0,2,1,1,0,0,0,0,1.35,5,14,10,1,3,3,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.71,0.015,0.01%,0.10
2018-04-18,SEA,HOU,"L,1-7",0,1.0,1,0,0,0,0,0,0,1.17,4,24,16,1,1,1,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,0.00%,0.48
2018-04-21,SEA,TEX,"W,9-7",2,2.0,2,1,1,0,1,0,1,1.86,9,28,19,7,1,5,2,2,0,0,,0,0,1,0,0,8,1,0,0,0,0,0,1.06,-0.033,-0.02%,0.13
2018-04-28,SEA,CLE,"W,12-4",6,1.0,0,0,0,1,2,0,0,1.69,4,19,9,1,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.53
2018-05-03,SEA,OAK,"W,4-1",4,2.1,1,1,1,0,2,1,0,2.08,8,32,23,5,4,3,3,0,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.65,0.055,0.04%,0.19
2018-05-05,SEA,LAA,"W,9-8",1,1.0,0,0,0,0,2,0,0,1.93,4,17,11,2,5,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.66,0.033,0.03%,0.48
2018-05-06,SEA,LAA,"L,2-8",0,0.1,1,1,1,0,1,1,0,2.51,2,7,5,1,0,0,1,0,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,.41,-0.103,-0.09%,-2.58
2018-05-09,SEA,TOR,"L,2-5",2,0.2,1,0,0,1,1,0,0,2.40,4,29,18,2,3,0,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,2.10,-0.001,0.00%,0.00
2018-05-10,SEA,TOR,"W,9-3",0,0.0,1,0,0,0,0,0,0,2.40,1,1,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.68,-0.034,-0.02%,-0.85
2018-05-13,SEA,DET,"L,4-5",2,1.0,1,1,1,0,0,0,1,2.81,5,14,10,3,1,1,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.82,-0.073,-0.05%,-0.47
2018-05-17,SEA,DET,"L,2-3",3,1.1,1,0,0,0,0,0,0,2.60,5,15,10,3,2,4,1,1,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.77,0.086,0.06%,0.97
2018-05-24,SEA,OAK,"L,3-4",6,0.2,0,0,0,0,2,0,0,2.50,2,10,6,1,5,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.35,0.017,0.02%,0.26
2018-05-26,SEA,MIN,"W,4-3",1,1.0,1,0,0,0,1,0,0,2.37,3,13,8,3,2,0,2,1,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,1.91,0.133,0.10%,0.48
2018-05-29,SEA,TEX,"L,5-9",2,0.2,1,0,0,1,2,0,0,2.29,4,21,12,2,4,0,1,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,.12,-0.011,-0.01%,-0.34
2018-05-30,SEA,TEX,"L,6-7",0,1.0,3,0,0,0,1,0,0,2.18,5,17,10,3,2,1,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.37,0.016,0.01%,0.48
2018-05-31,SEA,TEX,"W,6-1",0,2.0,2,0,0,0,1,0,0,1.99,7,27,22,6,3,4,2,0,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.18,0.017,0.01%,0.96
2018-06-05,SEA,HOU,"W,7-1",4,1.0,0,0,0,0,0,0,0,1.90,3,10,5,0,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.51
2018-06-06,SEA,HOU,"L,5-7",0,1.0,0,0,0,1,0,0,0,1.82,3,8,4,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.58,0.033,0.03%,0.51
2018-06-11,SEA,LAA,"W,5-3",4,1.0,0,0,0,0,0,0,0,1.75,3,8,6,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.61,0.046,0.04%,0.48
2018-06-13,SEA,LAA,"W,8-6",1,1.0,2,2,2,0,2,2,0,2.36,5,25,16,2,6,1,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.83,-0.292,-0.26%,-1.52
2018-06-15,SEA,BOS,"W,7-6",1,0.2,0,0,0,0,0,0,0,2.30,2,8,6,1,0,1,1,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.03,0.049,0.04%,0.89
2018-06-17,SEA,BOS,"L,3-9",1,0.2,3,3,3,0,0,2,0,3.21,5,12,8,1,1,0,5,2,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.20,-0.082,-0.06%,-2.62
2018-06-21,SEA,NYY,"L,3-4",3,2.0,1,0,0,1,2,0,0,3.00,8,34,21,4,6,1,4,1,2,0,,0,0,0,0,0,7,0,0,0,0,0,0,.98,0.092,0.07%,1.02
2018-06-24,SEA,BOS,"L,0-5",2,1.0,1,0,0,0,2,0,0,2.90,4,23,16,1,3,1,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.07,0.004,0.00%,0.53
2018-06-27,SEA,BAL,"W,8-7",2,1.0,0,0,0,0,0,0,0,2.81,3,10,7,2,1,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.138,0.10%,0.50
2018-07-04,SEA,LAA,"L,4-7",6,1.0,1,0,0,0,0,0,0,2.73,4,16,11,1,0,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.41,0.019,0.01%,0.48
2018-07-07,SEA,COL,"L,1-5",2,1.0,0,0,0,0,1,0,0,2.65,3,11,8,3,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.18,0.014,0.01%,0.48
2018-07-12,SEA,LAA,"L,2-11",4,2.1,3,1,1,1,0,0,1,2.72,12,39,26,5,3,2,8,3,2,0,,0,0,1,0,0,9,0,0,0,0,1,0,.74,-0.016,-0.01%,0.11
2018-07-21,SEA,CHW,"L,0-5",8,1.0,0,0,0,0,1,0,0,2.65,3,9,8,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.18,0.014,0.01%,0.48
2018-07-24,SEA,SFG,"L,3-4",2,2.0,1,1,1,0,2,1,0,2.75,7,26,17,2,2,3,2,0,0,0,,2,0,0,0,0,7,0,0,0,0,0,0,1.06,-0.011,-0.01%,0.35
2018-07-31,SEA,HOU,"L,2-5",6,0.2,2,0,0,0,1,0,0,2.70,4,18,12,3,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.13,0.004,0.01%,0.25
2018-08-03,SEA,TOR,"L,2-7",2,1.0,4,3,3,0,0,0,0,3.29,7,22,16,3,2,2,5,2,0,0,,0,0,1,0,0,6,0,1,0,0,1,0,.06,-0.028,-0.02%,-2.52
2018-08-07,SEA,TEX,"L,4-11",3,2.0,2,0,0,1,0,0,0,3.14,7,20,13,1,2,2,4,4,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.001,0.00%,1.13
2018-08-08,SEA,TEX,"L,7-11",0,1.1,2,0,0,0,1,0,0,3.05,7,20,14,3,0,3,3,2,0,0,,1,1,0,0,0,7,0,0,0,0,0,0,.07,-0.013,-0.01%,-0.09
2018-08-19,SEA,LAD,"L,1-12",10,3.0,4,3,2,2,1,1,0,3.23,16,66,41,4,8,6,7,2,0,0,,0,0,1,0,0,14,0,0,0,0,0,1,.19,-0.046,-0.04%,-1.56
2018-09-01,SEA,OAK,"W,8-7",12,0.2,0,0,0,0,1,0,2,3.19,4,11,5,1,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.33,0.003,0.00%,0.06
2018-09-04,SEA,BAL,"L,3-5",2,0.2,2,1,1,0,1,0,0,3.33,4,12,8,2,1,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.93,-0.001,0.00%,-0.01
2018-09-07,SEA,NYY,"L,0-4",2,1.0,1,0,0,0,1,0,0,3.26,4,22,14,2,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.003,0.00%,0.48
2018-09-13,SEA,LAA,"W,8-2",5,1.0,2,1,1,1,1,0,0,3.38,6,21,13,5,1,2,2,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.18,0.001,0.00%,-0.50
2018-09-18,SEA,HOU,"L,0-7",4,0.2,0,0,0,0,0,0,0,3.33,2,4,4,0,1,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.07,0.003,0.00%,0.53
2018-09-24,SEA,OAK,"L,3-7",5,1.0,1,0,0,1,0,0,0,3.27,5,17,10,5,0,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.52,0.051,0.00%,0.48
2018-09-25,SEA,OAK,"W,10-8",0,0.2,0,0,0,0,1,0,0,3.23,2,8,7,1,1,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.59,0.030,0.00%,0.51
