date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-01,CHW,LAA,"L,3-4",99,1.2,2,0,0,1,1,0,0,0.00,7,20,12,2,2,2,3,2,1,0,,0,0,0,0,0,6,0,0,0,1,0,0,1.82,0.160,0.09%,0.81
2021-04-04,CHW,LAA,"L,4-7",2,1.1,3,1,1,0,0,1,0,3.00,7,22,16,4,1,5,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.81,-0.091,-0.05%,-0.36
2021-04-06,CHW,SEA,"W,10-4",1,0.2,1,0,0,0,2,0,0,2.45,3,11,8,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.63,0.027,0.02%,0.26
2021-04-11,CHW,KCR,"L,3-4",4,0.2,0,0,0,0,1,0,0,2.08,1,4,3,2,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,1.23,0.056,0.04%,0.55
2021-04-12,CHW,CLE,"W,4-3",0,2.1,1,0,0,0,4,0,0,1.35,8,32,23,5,8,1,3,1,1,0,,2,0,0,0,0,8,1,0,0,0,0,0,2.05,0.328,0.21%,1.51
2021-04-17,CHW,BOS,"L,4-7",4,1.2,3,3,3,0,4,1,0,4.32,8,37,25,3,11,1,3,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.02,-0.145,-0.08%,-0.34
2021-04-20,CHW,CLE,"W,8-5",2,1.1,3,2,2,0,1,0,0,5.59,7,22,17,3,3,3,3,1,0,0,,3,0,0,0,0,7,1,0,0,0,0,0,.57,0.063,0.04%,-0.11
2021-04-23,CHW,TEX,"W,9-7",2,1.1,2,0,0,0,1,0,0,4.91,5,14,12,5,2,2,2,2,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,2.11,0.073,0.05%,0.51
2021-04-24,CHW,TEX,"W,2-1",0,1.0,2,0,0,0,1,0,0,4.50,4,16,11,2,1,1,2,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,2.48,0.167,0.11%,0.92
2021-04-27,CHW,DET,"L,2-5",2,0.1,0,0,0,0,0,0,0,4.38,1,5,3,1,1,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.61,0.017,0.01%,0.24
2021-05-02,CHW,CLE,"L,0-5",4,1.0,4,3,3,0,1,1,0,6.08,7,19,11,0,4,1,5,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.47,-0.148,-0.12%,-2.47
2021-05-07,CHW,KCR,"W,3-0",4,1.0,0,0,0,0,1,0,0,5.65,3,10,7,2,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.77,0.060,0.05%,0.55
2021-05-09,CHW,KCR,"W,9-3",1,1.0,1,1,1,1,0,0,0,5.87,5,18,12,1,3,1,3,2,0,0,,2,1,0,0,0,3,0,1,0,0,1,0,1.13,0.017,0.02%,-0.79
2021-05-11,CHW,MIN,"W,9-3",1,0.2,2,0,0,0,1,0,0,5.63,4,11,9,0,3,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.32,0.008,0.01%,0.08
2021-05-12,CHW,MIN,"W,13-8",0,1.1,2,0,0,0,1,0,0,5.19,5,17,13,2,1,3,1,1,0,0,,2,0,0,0,0,5,0,0,0,1,0,0,.43,0.031,0.03%,1.04
2021-05-14,CHW,KCR,"W,3-1",1,1.0,1,0,0,0,2,0,0,4.91,4,11,10,2,3,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.00,0.073,0.07%,0.53
2021-05-16,CHW,KCR,"W,4-3",1,0.2,2,2,2,0,0,0,0,5.68,4,11,7,2,0,3,1,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.53,-0.107,-0.09%,-0.53
2021-05-23,CHW,NYY,"L,4-5",6,1.0,0,0,0,0,2,0,0,5.40,3,11,8,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.59,0.045,0.04%,0.52
2021-05-25,CHW,STL,"W,8-3",1,1.0,2,1,1,0,0,0,0,5.57,5,24,15,1,2,2,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.27,0.003,0.00%,-0.47
2021-05-29,CHW,BAL,"W,3-1",3,1.0,0,0,0,0,1,0,1,5.32,4,15,10,2,3,1,1,1,0,0,,3,1,0,0,0,3,0,0,0,0,0,0,4.61,0.242,0.19%,1.37
2021-05-31,CHW,CLE,"W,8-6",1,1.0,1,0,0,0,1,0,0,5.09,3,8,6,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.29,0.143,0.15%,0.53
2021-06-04,CHW,DET,"W,9-8",3,0.0,1,3,3,2,0,0,0,6.26,3,18,8,3,1,0,1,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,.74,-0.103,-0.09%,-1.85
