date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-07-27,BAL,MIA,"L,3-7",99,2.0,2,1,1,0,2,0,1,4.50,9,37,25,6,6,2,4,2,0,0,,0,0,2,0,0,8,0,0,0,0,0,0,.17,-0.023,0.00%,0.07
2021-08-01,BAL,DET,"L,2-6",4,0.2,3,2,2,0,1,0,0,10.13,5,18,13,4,2,3,1,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.43,-0.025,0.00%,-0.58
2021-08-06,BAL,TBR,"L,6-10",4,1.0,2,3,3,1,2,1,0,14.73,6,22,13,1,3,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.10,-0.280,0.00%,-2.46
2021-08-10,LAD,PHI,"W,5-0",3,1.0,1,0,0,0,1,0,0,11.57,4,19,10,2,3,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.23,0.008,0.01%,0.51
2021-08-15,LAD,NYM,"W,14-4",4,1.0,1,0,0,0,1,0,0,9.53,4,9,8,1,0,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.49
2021-08-25,BAL,LAA,"W,10-6",9,2.0,0,0,0,1,0,0,0,7.04,7,19,11,3,2,2,4,1,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,.68,0.078,0.00%,1.47
2021-08-29,BAL,TBR,"L,8-12",3,1.2,3,2,2,0,2,0,0,7.71,7,26,19,4,6,1,4,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.18,-0.025,0.00%,-1.18
2021-08-30,BAL,TOR,"L,3-7",0,1.1,0,0,0,0,1,0,0,6.75,4,17,13,3,5,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.002,0.00%,0.64
2021-09-01,BAL,TOR,"L,4-5",1,1.1,1,0,0,1,3,0,0,6.00,6,25,15,4,4,1,1,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.67,0.034,0.00%,0.51
2021-09-03,BAL,NYY,"L,3-4",1,1.0,1,0,0,1,1,0,0,5.54,5,22,12,5,2,0,3,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.28,0.049,0.00%,0.52
2021-09-05,BAL,NYY,"W,8-7",1,0.2,0,1,1,2,1,0,0,5.93,4,21,8,4,0,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.95,0.005,0.00%,0.07
2021-09-06,BAL,KCR,"L,2-3",0,0.2,1,0,0,0,0,0,0,5.65,3,8,6,0,2,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.72,0.054,0.00%,0.29
2021-09-10,BAL,TOR,"W,6-3",3,1.2,2,0,0,0,3,0,0,5.06,7,30,24,2,9,1,3,3,0,0,,1,1,0,0,0,7,1,0,0,0,0,0,1.58,0.083,0.00%,0.51
2021-09-12,BAL,TOR,"L,7-22",1,1.0,0,0,0,1,1,0,0,4.76,4,16,10,0,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.54
2021-09-15,BAL,NYY,"L,3-4",2,1.1,1,0,0,0,1,0,0,4.42,5,14,11,5,1,1,3,3,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,1.10,0.079,0.00%,0.78
2021-09-16,BAL,NYY,"W,3-2",0,1.0,1,0,0,1,2,0,0,4.19,4,19,12,4,5,1,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,1.01,0.056,0.00%,0.54
2021-09-18,BAL,BOS,"L,3-9",1,0.2,0,0,0,0,0,0,0,4.05,2,5,5,1,0,0,2,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.09,0.105,0.00%,0.98
2021-09-19,BAL,BOS,"L,6-8",0,0.1,3,3,3,0,0,0,0,5.31,4,7,7,3,0,1,3,0,1,0,,0,0,0,0,0,4,2,0,0,0,0,0,1.99,-0.415,0.00%,-2.17
2021-09-21,BAL,PHI,"L,2-3",1,1.0,1,0,0,0,2,0,1,5.06,5,24,15,3,3,1,1,1,0,0,53,,,1,0,0,4,0,0,0,0,0,0,1.40,0.048,0.00%,0.51
2021-09-22,BAL,PHI,"L,3-4",0,0.2,3,2,2,1,0,0,0,5.73,6,18,13,2,1,2,3,1,0,0,,0,0,0,0,0,4,1,0,1,0,1,0,1.80,-0.300,0.00%,-2.00
2021-09-24,BAL,TEX,"L,5-8",1,0.1,3,4,4,1,0,0,0,7.25,5,18,9,2,1,2,2,1,0,0,,1,1,0,0,0,3,1,0,0,0,1,0,4.50,-0.705,0.00%,-2.99
2021-09-26,BAL,TEX,"L,4-7",1,0.2,1,2,2,1,0,0,0,7.83,4,15,9,1,1,2,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.82,0.004,0.00%,-0.30
2021-10-01,BAL,TOR,"L,4-6",4,1.1,1,0,0,1,1,0,0,7.40,6,19,10,1,2,3,1,1,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,.86,0.053,0.00%,0.77
2021-10-03,BAL,TOR,"L,4-12",1,1.0,1,0,0,0,1,0,1,7.11,5,19,13,5,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.53
