date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-03-29,COL,MIA,"W,6-1",99,1.1,0,0,0,0,1,0,0,0.00,4,15,10,3,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.69,0.171,0.10%,0.73
2019-03-30,COL,MIA,"L,3-7",0,0.1,3,2,2,0,0,0,0,10.80,4,16,12,4,1,1,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.52,-0.070,-0.04%,-1.69
2019-04-01,COL,TBR,"L,1-7",1,0.2,1,1,1,2,1,0,0,11.57,5,22,11,4,3,1,1,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.10,-0.003,0.00%,-0.84
2019-04-05,COL,LAD,"L,6-10",3,1.1,0,0,0,0,0,0,0,7.36,4,8,7,2,0,1,3,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.08,0.008,0.01%,1.20
2019-04-06,COL,LAD,"L,2-7",0,0.2,0,0,0,0,0,0,0,6.23,2,9,7,2,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.26,0.014,0.01%,0.49
2019-04-08,COL,ATL,"L,6-8",1,1.0,2,1,1,1,0,0,0,6.75,5,20,12,2,1,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,1.19,-0.081,-0.04%,-0.88
2019-04-11,COL,SFG,"L,0-1",2,0.0,1,0,0,1,0,0,0,6.75,2,12,7,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.66,-0.047,-0.02%,-0.99
2019-04-12,COL,SFG,"L,2-3",0,2.1,1,1,1,2,4,0,0,5.87,11,36,24,4,6,1,4,1,1,0,,0,0,0,0,0,9,1,0,2,0,0,0,2.72,-0.090,-0.04%,-1.08
2019-04-16,COL,SDP,"W,8-2",3,0.0,0,1,1,2,0,0,0,7.04,2,12,4,2,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,.10,-0.006,0.00%,-1.00
2019-04-20,COL,PHI,"L,5-8",3,1.0,1,0,0,0,1,0,0,6.23,4,9,7,0,3,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.17,0.013,0.01%,0.62
