date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-01,CLE,SEA,"L,4-5",99,1.1,1,1,1,0,1,1,0,6.75,5,24,16,4,3,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.04,-0.117,-0.07%,-0.29
2018-04-03,CLE,LAA,"L,2-13",1,2.0,3,3,3,1,2,0,0,10.80,10,36,24,8,1,5,2,2,0,0,,0,0,0,0,0,9,2,0,0,0,0,0,.07,-0.012,-0.01%,-2.00
2018-04-10,CLE,DET,"W,2-1",6,0.2,1,0,0,0,1,0,0,9.00,3,9,7,4,0,2,0,0,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,2.45,-0.013,-0.01%,-0.04
2018-04-13,CLE,TOR,"L,4-8",2,2.0,0,0,0,0,2,0,0,6.00,8,27,18,7,1,4,2,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,1,1.26,0.145,0.10%,1.05
2018-04-18,CLE,MIN,"L,1-2",4,1.1,2,0,0,0,2,0,0,4.91,6,28,20,5,3,2,2,0,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,2.18,0.177,0.15%,0.63
2018-04-24,CLE,CHC,"L,3-10",5,1.1,0,0,0,0,3,0,0,4.15,4,18,14,5,3,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.24,0.024,0.02%,0.64
2018-04-26,CLE,SEA,"L,4-5",1,1.1,0,0,0,0,0,0,0,3.60,3,11,8,2,0,3,0,0,0,0,,1,0,0,0,0,3,0,0,0,1,0,0,1.05,0.109,0.08%,1.16
2018-04-28,CLE,SEA,"L,4-12",1,1.0,2,2,2,0,0,1,0,4.91,5,15,11,2,2,1,4,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.01,-0.002,0.00%,-1.47
2018-05-01,CLE,TEX,"L,6-8",2,1.1,1,0,0,0,2,0,0,4.38,5,19,13,4,5,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.09,0.010,0.01%,0.64
2018-05-02,CLE,TEX,"W,12-4",0,1.0,2,1,1,0,0,0,0,4.73,4,18,11,1,0,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,.14,0.002,0.00%,-0.47
2018-05-03,CLE,TOR,"L,11-13",0,1.0,1,0,0,0,1,0,1,4.40,5,25,16,4,2,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,2.48,0.143,0.10%,0.53
2018-05-06,CLE,NYY,"L,4-7",2,0.1,1,2,2,1,0,1,0,5.52,3,8,4,0,0,1,1,0,0,0,,1,1,0,0,0,2,0,0,1,0,0,0,3.34,-0.188,-0.13%,-2.13
2018-05-11,CLE,KCR,"L,9-10",4,0.2,2,3,1,0,0,0,0,5.87,5,19,12,1,3,2,3,0,0,0,,2,0,0,0,0,5,2,0,0,0,0,1,1.14,-0.127,-0.10%,-1.66
2018-05-15,CLE,DET,"L,8-9",3,0.1,2,3,3,0,0,0,0,7.47,4,12,11,2,0,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.33,-0.157,-0.14%,-2.02
2018-05-22,CLE,CHC,"W,10-1",6,0.2,0,0,0,0,1,0,0,7.16,2,5,5,3,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.01,0.000,0.00%,0.40
2018-05-25,CLE,HOU,"L,2-11",2,0.2,0,0,0,0,0,0,0,6.88,2,7,4,1,1,0,2,2,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,1.45,0.081,0.06%,1.60
2018-05-26,CLE,HOU,"W,8-6",0,0.2,1,0,0,0,0,0,0,6.62,2,8,5,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.50,0.040,0.03%,0.28
2018-05-27,CLE,HOU,"W,10-9",0,2.0,2,1,1,0,1,1,0,6.41,8,25,15,5,1,3,4,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,2.22,-0.148,-0.11%,0.05
2018-05-29,CLE,CHW,"W,7-3",1,0.1,0,0,0,0,0,0,0,6.30,1,2,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.23,0.006,0.00%,0.38
2018-05-31,CLE,MIN,"W,9-8",1,0.2,1,2,2,0,0,0,1,6.97,4,18,12,2,2,1,2,0,2,0,,1,0,0,0,0,3,0,0,0,0,0,0,.88,-0.020,-0.02%,-0.18
2018-06-02,CLE,MIN,"L,1-7",1,0.0,1,0,0,0,0,0,0,6.97,1,3,2,1,0,0,1,1,0,0,,2,1,0,0,0,1,1,0,0,0,0,0,.34,-0.025,-0.02%,-1.17
2018-06-09,CLE,DET,"L,2-4",6,1.0,2,0,0,1,0,0,0,6.65,6,15,12,4,0,3,2,2,0,0,,0,0,0,0,0,5,0,0,1,0,0,0,4.02,0.143,0.15%,0.53
2018-06-13,CLE,CHW,"L,2-3",3,0.1,0,0,0,0,0,0,0,6.55,1,4,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.29,0.007,0.01%,0.10
2018-06-15,CLE,MIN,"L,3-6",1,1.2,0,0,0,0,0,0,0,6.08,6,20,14,6,1,5,1,1,0,0,,2,2,0,0,0,6,0,0,0,0,0,1,.25,-0.023,-0.02%,-0.26
2018-06-16,CLE,MIN,"L,3-9",0,0.1,0,0,0,0,0,0,0,6.00,1,3,3,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.28,0.008,0.01%,0.38
2018-06-18,CLE,CHW,"W,6-2",1,1.0,1,1,1,0,1,1,0,6.12,4,16,11,5,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,0.007,0.01%,-0.47
2018-06-24,CLE,DET,"W,12-2",5,1.0,0,0,0,0,1,0,0,5.88,3,8,7,2,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.018,0.02%,0.53
2018-06-26,CLE,STL,"L,2-11",1,1.1,2,2,2,0,0,1,0,6.26,6,37,27,7,1,5,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.17,-0.050,-0.03%,-1.44
2018-06-29,CLE,OAK,"L,1-3",2,1.0,0,0,0,0,0,0,0,6.04,2,12,7,0,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,0,.25,0.023,0.01%,0.88
2018-06-30,CLE,OAK,"L,2-7",0,1.1,1,1,1,0,3,1,0,6.07,5,21,12,5,3,1,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.53,-0.023,-0.01%,-0.27
2018-07-02,CLE,KCR,"W,9-3",1,1.0,0,0,0,0,0,0,0,5.87,3,14,10,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,0.01%,0.51
2018-07-06,CLE,OAK,"W,10-4",3,2.0,0,0,0,0,3,0,0,5.51,6,29,19,6,4,3,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.06,0.009,0.00%,1.05
2018-07-08,CLE,OAK,"L,0-6",1,0.2,2,1,1,0,2,1,0,5.67,4,15,11,3,3,0,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.16,-0.026,-0.01%,-0.81
2018-07-09,CLE,CIN,"L,5-7",0,1.0,2,0,0,0,0,0,0,5.50,4,14,7,1,0,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.22,0.009,0.00%,0.53
2018-07-10,CLE,CIN,"L,4-7",0,0.1,2,1,1,1,0,0,0,5.71,3,10,6,2,1,1,1,1,0,0,,3,3,0,0,0,2,1,0,1,0,0,0,3.42,-0.721,-0.30%,-3.21
2018-07-14,CLE,NYY,"L,4-5",3,0.2,2,0,0,0,0,0,0,5.60,4,14,10,2,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.89,0.023,0.01%,0.28
2018-07-20,CLE,TEX,"W,9-8",5,1.0,0,0,0,0,1,0,0,5.45,3,7,5,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.80,0.221,0.10%,0.56
2018-07-21,CLE,TEX,"W,16-3",0,1.0,3,1,1,0,1,0,0,5.54,6,16,12,2,2,3,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.000,0.00%,-0.44
2018-07-24,CLE,PIT,"L,4-9",2,1.1,2,0,0,0,2,0,0,5.35,6,23,14,4,2,4,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.26,0.014,0.01%,0.64
2018-07-27,CLE,DET,"W,8-3",2,1.0,1,0,0,0,1,0,0,5.22,4,20,14,2,3,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.24,0.008,0.01%,0.53
2018-08-03,CLE,LAA,"L,4-7",6,1.1,1,0,0,0,0,0,0,5.05,4,11,7,3,0,1,3,1,1,0,,3,0,0,0,0,4,0,0,0,1,0,0,.19,0.015,0.00%,1.32
2018-08-06,CLE,MIN,"W,10-0",2,1.0,0,0,0,0,0,0,0,4.93,3,10,5,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.53
2018-08-12,CLE,CHW,"W,9-7",5,0.1,3,4,4,0,1,0,1,5.74,5,18,9,2,2,0,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.20,-0.044,-0.01%,-2.69
2018-08-13,CLE,CIN,"W,10-3",0,1.0,2,0,0,0,1,0,0,5.61,5,22,14,2,3,3,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.03,0.001,0.00%,0.49
2018-08-15,CLE,CIN,"W,4-3",1,0.1,0,0,0,0,0,0,0,5.56,1,2,1,0,0,0,1,1,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,2.65,0.066,0.01%,0.77
2018-08-18,CLE,BAL,"L,2-4",2,1.0,1,0,0,0,1,0,0,5.44,4,12,10,3,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.25,0.019,0.00%,0.53
2018-08-19,CLE,BAL,"W,8-0",0,1.0,1,0,0,0,1,0,0,5.32,3,15,11,4,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.06,0.002,0.00%,0.53
2018-08-22,CLE,BOS,"L,4-10",2,1.2,2,2,2,0,1,2,0,5.51,7,33,21,3,6,4,2,1,0,0,,1,1,0,0,0,7,0,0,0,0,0,0,.28,-0.096,-0.01%,-1.76
2018-08-25,CLE,KCR,"L,1-7",2,1.0,2,1,1,0,1,0,0,5.59,4,9,9,1,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.15,-0.012,0.00%,-0.49
2018-08-28,CLE,MIN,"W,8-1",2,1.0,2,1,1,0,0,1,0,5.66,5,14,8,1,0,2,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.001,0.00%,-0.47
2018-09-01,CLE,TBR,"L,3-5",3,0.1,0,0,0,0,0,0,0,5.62,1,10,7,2,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.33,0.009,0.00%,0.11
2018-09-03,CLE,KCR,"L,1-5",1,1.0,0,0,0,0,1,0,0,5.51,3,15,9,5,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.00%,0.53
2018-09-06,CLE,TOR,"W,9-4",2,1.0,2,0,0,0,1,0,0,5.40,4,11,9,0,3,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,.34,0.008,0.00%,0.50
2018-09-08,CLE,TOR,"W,9-8",1,1.0,5,2,2,0,0,0,0,5.64,8,29,21,5,3,2,6,5,0,0,,0,0,0,0,0,8,2,0,0,0,0,0,.79,-0.152,-0.01%,-1.89
2018-09-10,CLE,TBR,"L,5-6",1,0.2,0,0,0,0,1,0,0,5.57,2,10,7,1,1,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.36,0.018,0.00%,0.26
2018-09-14,CLE,DET,"L,4-5",3,1.0,0,0,0,0,0,0,0,5.47,3,5,4,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.009,0.00%,0.53
2018-09-20,CLE,CHW,"L,4-5",5,1.0,0,0,0,1,1,0,0,5.37,4,19,10,2,3,2,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.56,0.041,0.00%,0.53
2018-09-21,CLE,BOS,"L,5-7",0,1.0,2,1,1,0,0,1,0,5.43,4,9,8,4,0,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.47,-0.071,-0.01%,-0.47
2018-09-23,CLE,BOS,"W,4-3",1,1.0,1,0,0,0,1,0,0,5.34,4,14,10,2,2,3,0,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.85,0.090,0.01%,0.53
2018-09-27,CLE,KCR,"L,1-2",3,1.0,2,0,0,0,1,0,0,5.25,5,20,15,2,1,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.81,0.089,0.01%,0.51
2018-09-29,CLE,KCR,"L,4-9",1,0.1,0,0,0,0,0,0,0,5.22,1,3,2,1,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.36,0.010,0.00%,0.51
2019-03-31,CLE,MIN,"L,3-9",99,1.0,2,0,0,0,1,0,0,0.00,4,10,7,1,1,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.03,0.001,0.00%,0.55
2019-04-03,CLE,CHW,"L,3-8",2,2.0,2,0,0,0,2,0,0,0.00,8,25,18,5,2,3,3,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.17,0.021,0.01%,1.15
2019-04-06,CLE,TOR,"W,7-2",2,1.1,2,0,0,0,0,0,0,0.00,6,21,14,3,3,3,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.44,0.037,0.02%,0.56
2019-04-09,CLE,DET,"W,8-2",2,1.0,0,0,0,0,0,0,0,0.00,3,8,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.014,0.01%,0.56
2019-04-12,CLE,KCR,"L,1-8",2,1.0,2,1,0,1,0,0,0,0.00,7,21,10,3,0,5,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.07,-0.002,0.00%,-0.79
2019-04-15,CLE,SEA,"W,6-4",2,0.2,0,0,0,0,0,0,0,0.00,2,6,4,1,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.57,0.079,0.05%,0.27
