date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-30,MIA,PHI,"W,8-4",99,4.0,6,4,4,4,1,2,0,9.00,20,78,42,9,6,3,12,4,3,0,31,,,0,1,0,16,2,0,0,1,0,0,1.02,-0.224,-0.06%,-2.18
2018-05-06,MIA,CIN,"W,8-5",5,4.0,3,2,2,4,2,1,0,6.75,19,77,52,11,13,6,7,4,0,0,46,,,0,0,0,14,1,0,0,0,0,0,.76,0.041,0.01%,-0.03
2018-05-11,MIA,ATL,"W,6-3",4,5.0,3,3,2,3,5,1,1,5.54,23,102,64,16,9,4,10,5,2,0,53,,,1,0,0,19,1,0,0,0,0,1,1.30,-0.099,-0.02%,-0.73
2018-05-18,MIA,ATL,"W,2-0",6,7.0,3,0,0,3,6,0,0,3.60,26,98,61,14,11,5,12,7,1,0,74,,,0,0,0,23,1,0,1,0,0,0,1.21,0.429,0.06%,3.41
2018-05-23,MIA,NYM,"W,2-1",4,6.0,4,1,1,3,5,1,0,3.12,24,100,67,17,10,6,10,4,5,0,62,,,0,1,0,21,0,0,0,0,0,0,1.05,0.134,0.02%,1.66
2018-05-29,MIA,SDP,"L,5-9",5,5.2,7,5,4,0,4,1,0,3.69,24,108,71,17,8,12,9,7,0,0,41,,,0,0,0,23,1,0,0,0,0,0,.85,-0.490,-0.05%,-2.40
2018-06-03,MIA,ARI,"L,1-6",4,4.1,2,1,1,5,4,0,0,3.50,20,87,50,14,8,3,8,4,2,0,54,,,0,0,0,15,1,0,0,0,0,0,1.03,-0.015,0.00%,-0.04
2018-06-09,MIA,SDP,"L,4-5",5,3.2,9,4,4,0,4,1,0,4.08,18,87,55,12,10,3,11,6,0,0,31,,,1,1,0,18,1,0,0,0,0,0,.76,-0.273,-0.01%,-2.40
2018-06-14,MIA,SFG,"L,3-6",4,5.0,3,3,3,1,7,2,1,4.23,19,90,60,12,17,4,6,2,0,0,55,,,0,1,0,16,0,0,0,0,0,0,.53,-0.147,-0.01%,-0.73
2018-06-19,MIA,SFG,"L,3-6",4,1.1,4,4,4,2,1,2,1,4.89,11,39,22,8,2,0,7,3,1,0,29,,,0,0,0,8,1,0,0,0,0,0,.70,-0.258,-0.01%,-2.96
2018-06-25,MIA,ARI,"W,9-5",5,6.1,4,3,3,0,6,1,1,4.82,26,102,69,24,9,8,11,5,1,0,59,,,0,0,0,24,0,0,0,0,1,1,.98,-0.008,0.00%,-0.06
2018-07-01,MIA,NYM,"L,2-5",5,7.0,5,3,3,4,7,1,0,4.70,29,106,66,17,14,6,12,5,4,0,58,,,0,0,0,25,1,0,2,1,0,0,.70,-0.055,0.00%,0.18
2018-07-06,MIA,WSN,"L,2-3",4,6.0,5,2,2,3,1,0,0,4.55,25,111,66,19,7,11,10,3,1,0,52,,,1,1,0,22,0,0,0,0,0,0,1.24,0.092,0.00%,1.07
2018-07-11,MIA,MIL,"W,5-4",4,6.0,4,2,1,2,7,0,0,4.29,23,101,67,18,13,2,12,6,3,0,63,,,0,1,0,21,2,0,0,0,0,0,1.00,0.090,0.00%,0.73
2018-07-20,MIA,TBR,"W,6-5",8,7.0,4,1,1,3,3,0,0,4.02,27,96,61,12,10,10,11,4,1,0,65,,,1,0,0,24,1,0,0,1,0,0,.98,0.260,0.00%,2.47
2018-07-26,MIA,WSN,"L,3-10",5,5.2,5,3,3,3,6,2,0,4.07,23,99,60,14,11,6,8,2,1,0,50,,,0,0,1,20,1,0,1,1,0,0,1.14,-0.108,0.00%,-0.69
2018-07-31,MIA,ATL,"L,6-11",4,3.2,11,8,5,1,4,2,0,4.41,23,81,51,12,7,8,10,4,2,0,16,,,0,0,0,21,3,0,0,1,0,1,.87,-0.447,-0.01%,-6.37
2018-08-05,MIA,PHI,"L,3-5",4,5.1,1,2,2,5,7,0,1,4.35,21,103,56,20,12,1,7,2,2,0,60,,,0,0,0,15,0,0,0,1,0,0,1.00,0.226,0.00%,2.06
2018-08-11,MIA,NYM,"W,4-3",5,4.2,4,3,3,4,5,0,1,4.42,22,95,58,17,10,4,8,5,2,0,45,,,1,0,1,17,3,0,1,0,0,0,.98,-0.153,0.00%,-1.14
2018-08-17,MIA,WSN,"L,2-8",5,6.0,9,5,5,0,2,2,1,4.60,27,101,65,18,5,9,15,5,1,0,36,,,0,0,0,25,3,0,0,1,1,0,.66,-0.199,0.00%,-1.93
2018-08-24,MIA,ATL,"W,1-0",6,6.0,3,0,0,1,4,0,0,4.35,21,98,65,12,9,5,11,4,3,0,69,,,0,0,0,20,2,0,0,1,0,0,1.03,0.350,0.00%,2.73
