date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,NYY,TOR,"W,4-2",99,0.2,0,0,0,0,0,0,0,0.00,2,5,3,1,0,1,1,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.06,0.055,0.04%,0.53
2018-04-01,NYY,TOR,"L,4-7",1,1.1,3,4,4,1,0,1,0,18.00,8,26,17,2,2,3,4,2,0,0,,0,0,0,0,0,7,1,0,1,0,0,0,3.59,-0.639,-0.45%,-3.40
2018-04-03,NYY,TBR,"W,11-4",1,1.0,0,0,0,0,0,0,0,12.00,3,9,7,2,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.31,0.024,0.02%,0.51
2018-04-06,NYY,BAL,"L,3-7",2,1.0,0,0,0,0,1,0,0,9.00,3,10,6,0,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.69,0.053,0.04%,0.51
2018-04-07,NYY,BAL,"W,8-3",0,1.2,0,0,0,0,4,0,0,6.35,5,20,13,5,5,1,0,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,1.27,0.218,0.13%,1.93
2018-04-08,NYY,BAL,"L,7-8",0,1.0,0,0,0,0,0,0,0,5.40,3,11,7,2,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.83,0.140,0.09%,0.51
2018-04-11,NYY,BOS,"W,10-7",2,1.0,0,0,0,0,2,0,0,4.70,3,18,10,4,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.40,0.031,0.02%,0.53
2018-04-13,NYY,DET,"W,8-6",1,1.0,2,0,0,0,1,0,0,4.15,5,24,15,5,2,2,2,1,0,0,,1,1,0,0,0,4,1,0,0,0,1,0,1.10,0.059,0.03%,0.45
2018-04-17,NYY,MIA,"L,1-9",3,1.0,0,0,0,0,3,0,0,3.72,3,14,9,6,2,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.51
2018-04-19,NYY,TOR,"W,4-3",1,1.0,2,1,1,2,2,0,0,4.22,7,26,14,5,2,0,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,4.40,0.004,0.00%,-0.49
2018-04-22,NYY,TOR,"W,5-1",2,1.0,1,0,0,0,1,0,0,3.86,4,14,10,3,1,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.31,0.024,0.02%,0.51
