date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2017-05-14,HOU,NYY,"W,10-7",99,0.2,3,3,2,0,2,0,0,27.00,5,27,19,4,7,1,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.14,-0.002,0.00%,-1.70
2017-06-07,HOU,KCR,"L,5-7",23,2.2,4,3,3,0,3,1,0,13.50,12,44,30,8,3,4,5,2,0,0,41,,,0,0,0,12,1,0,0,0,0,0,.80,-0.180,-0.06%,-1.51
2017-06-11,HOU,LAA,"L,6-12",3,1.1,1,1,1,1,2,0,0,11.57,5,23,14,6,3,2,0,0,0,0,,1,0,1,0,0,4,0,0,0,1,0,0,.11,-0.004,0.00%,-0.28
2017-06-12,HOU,TEX,"L,1-6",0,2.0,2,1,1,0,5,1,0,9.45,8,37,24,6,8,2,1,0,0,0,,2,2,3,0,0,8,0,0,0,0,0,0,.34,-0.067,-0.03%,-1.02
2017-06-17,HOU,BOS,"W,7-1",4,1.0,0,0,0,0,1,0,0,8.22,3,13,10,3,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,0.00%,0.50
2017-06-20,HOU,OAK,"W,8-4",2,1.0,1,0,0,0,2,0,0,7.27,5,24,15,4,2,0,3,3,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.48,0.018,0.01%,0.50
2017-06-22,HOU,OAK,"W,12-9",1,0.1,3,5,5,2,1,0,0,12.00,6,35,19,2,5,0,3,3,0,0,,0,0,0,0,0,4,3,0,0,0,0,0,.09,-0.020,-0.01%,-3.69
2017-07-01,HOU,NYY,"W,7-6",8,1.0,1,0,0,1,0,0,0,10.80,4,14,9,2,1,1,2,1,0,0,,0,0,1,0,0,3,0,0,0,1,0,0,.36,0.015,0.00%,0.50
2017-07-02,HOU,NYY,"W,8-1",0,1.0,0,0,0,0,1,0,0,9.82,2,11,6,1,3,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,.12,0.006,0.00%,1.49
2017-07-06,HOU,TOR,"L,4-7",3,2.0,2,1,1,0,3,1,0,9.00,8,40,26,11,4,2,3,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.10,-0.010,0.00%,0.07
