date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-06-06,TBR,WSN,"L,2-11",99,1.0,0,0,0,0,2,0,0,0.00,3,21,14,4,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.51
2018-06-09,TBR,SEA,"W,7-3",2,1.2,2,1,1,2,2,0,0,3.38,9,36,18,6,4,2,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.75,0.003,0.00%,-0.44
2018-06-11,TBR,TOR,"W,8-4",1,1.0,1,0,0,0,2,0,0,2.45,3,20,11,2,2,1,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,1.35,0.095,0.01%,0.50
2018-06-13,TBR,TOR,"W,1-0",1,2.0,1,0,0,0,2,0,0,1.59,7,23,17,3,8,1,4,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.63,0.243,0.04%,0.99
2018-06-17,TBR,NYY,"W,3-1",3,1.0,1,0,0,0,2,0,0,1.35,4,13,9,2,4,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.38,0.091,0.01%,0.51
2018-06-18,TBR,HOU,"L,4-5",0,1.1,0,0,0,0,0,0,0,1.13,4,9,6,2,0,4,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.81,0.185,0.02%,0.95
2018-06-22,TBR,NYY,"W,2-1",3,1.2,0,0,0,1,2,0,0,0.93,6,24,13,4,3,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.06,0.102,0.01%,0.76
2018-06-24,TBR,NYY,"W,7-6",1,0.2,2,1,1,0,0,0,0,1.74,4,19,11,3,2,1,3,1,0,0,,1,1,0,0,0,4,2,0,0,0,0,0,1.22,-0.127,-0.02%,-1.48
2018-06-26,TBR,WSN,"W,1-0",1,2.0,0,0,0,1,1,0,0,1.46,7,28,20,5,2,4,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.45,0.215,0.03%,0.99
2018-06-29,TBR,HOU,"W,3-2",2,2.0,1,1,1,0,2,1,0,1.88,7,30,18,5,3,1,4,0,1,0,,1,1,0,0,0,7,0,0,0,0,0,0,1.23,0.012,0.00%,-0.63
2018-07-01,TBR,HOU,"W,3-2",1,0.2,0,0,0,0,1,0,0,1.80,2,15,10,3,1,1,0,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,6.45,0.349,0.05%,1.57
2018-07-02,TBR,MIA,"L,2-3",0,1.0,1,0,0,0,3,0,0,1.69,4,21,12,8,3,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.86,0.128,0.02%,0.45
2018-07-06,TBR,NYM,"L,1-5",3,2.0,1,0,0,0,2,0,0,1.50,6,21,14,4,2,2,2,2,0,0,,1,0,0,0,0,6,1,0,0,0,0,0,1.60,0.206,0.02%,1.26
