date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-07-04,SDP,LAD,"L,1-5",99,5.0,3,3,3,2,7,1,1,5.40,21,80,48,17,8,2,9,4,2,0,54,,,0,0,0,17,1,0,0,0,1,0,.90,-0.076,-0.03%,-0.46
2019-07-12,SDP,ATL,"L,3-5",7,5.0,5,4,4,2,7,2,0,6.30,22,82,50,10,14,6,7,1,0,0,46,,,0,0,0,20,1,0,0,0,0,0,.65,-0.190,-0.08%,-1.49
2019-07-18,SDP,MIA,"L,3-4",5,4.0,6,3,1,2,5,1,0,5.14,21,85,55,17,10,6,8,3,1,0,45,,,0,0,0,19,1,0,0,0,0,1,1.14,-0.150,-0.04%,-1.01
2019-07-24,SDP,NYM,"W,7-2",5,4.0,4,2,2,1,6,0,0,5.00,17,80,53,10,15,4,6,3,2,0,51,,,0,0,0,16,2,0,0,0,0,0,1.12,0.013,0.00%,-0.05
2019-07-30,SDP,BAL,"L,5-8",5,5.0,5,3,3,2,5,0,0,5.09,22,88,61,17,11,5,10,7,3,0,48,,,0,0,0,20,2,0,0,0,0,0,1.20,0.012,0.00%,-0.49
2019-08-06,SDP,SEA,"W,9-4",6,7.0,2,0,0,4,12,0,0,3.90,26,104,64,26,15,4,6,3,1,0,81,,,1,0,0,22,1,0,0,1,0,0,.89,0.290,0.02%,3.59
2019-08-11,SDP,COL,"L,3-8",4,5.0,3,2,2,3,7,1,1,3.86,22,85,57,18,11,4,7,4,1,0,57,,,1,0,0,17,1,0,0,0,0,0,1.16,-0.010,0.00%,0.51
2019-08-17,SDP,PHI,"W,5-3",5,6.0,6,3,3,1,6,1,0,3.95,25,92,62,12,16,5,13,5,0,0,53,,,0,0,0,24,3,0,0,0,0,0,1.03,0.058,0.00%,0.24
2019-08-24,SDP,BOS,"L,4-5",6,5.0,6,4,4,3,5,0,1,4.30,23,88,48,15,8,6,8,6,1,0,41,,,0,1,0,19,1,0,0,1,0,0,1.11,-0.148,0.00%,-1.49
2019-08-30,SDP,SFG,"L,3-8",5,5.0,3,3,2,2,10,2,1,4.24,22,95,63,17,15,3,6,2,1,0,59,,,0,0,0,19,0,0,0,0,0,1,.59,-0.112,0.00%,-0.52
2019-09-06,SDP,COL,"L,2-3",6,6.0,6,3,1,1,4,0,0,3.95,25,94,64,13,8,11,9,3,1,0,55,,,1,0,0,23,0,0,0,0,0,0,.98,-0.014,0.00%,0.01
