date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-20,BOS,OAK,"W,7-3",99,3.2,5,3,3,2,7,0,0,7.36,19,88,58,21,4,4,6,3,0,0,44,,,0,0,0,17,2,0,0,0,0,0,1.05,-0.112,-0.08%,-1.34
2018-04-27,BOS,TBR,"L,3-4",6,5.0,6,4,4,2,4,3,0,7.27,21,81,49,9,10,5,10,3,0,0,41,,,0,1,0,19,0,0,0,1,0,0,.55,-0.176,-0.13%,-1.34
2018-05-02,BOS,KCR,"W,5-4",4,6.0,8,3,3,2,3,0,0,6.14,25,89,55,10,5,10,10,3,0,0,45,,,0,0,0,22,3,0,0,2,1,0,1.00,0.022,0.02%,0.19
2018-05-08,BOS,NYY,"L,2-3",5,6.0,4,2,2,2,6,2,0,5.23,24,107,62,15,11,6,10,3,2,0,60,,,0,0,0,22,0,0,0,1,0,1,.83,0.064,0.06%,1.07
2018-05-13,BOS,TOR,"W,5-3",4,4.0,5,3,3,5,6,0,0,5.47,22,103,57,23,3,4,7,3,0,0,41,,,0,0,0,17,2,0,0,0,0,0,1.33,-0.100,-0.08%,-0.99
2018-05-18,BOS,BAL,"L,4-7",4,4.0,7,5,4,3,2,0,0,5.97,22,81,48,16,10,6,11,6,2,0,29,,,0,0,0,19,3,0,0,0,0,0,1.39,-0.304,-0.20%,-2.87
2018-05-26,BOS,ATL,"W,8-6",7,3.1,6,5,5,3,3,1,0,6.75,19,89,52,15,4,6,7,3,1,0,28,,,0,0,0,16,3,0,0,0,0,0,.90,-0.201,-0.13%,-1.82
2018-05-31,BOS,HOU,"L,2-4",4,5.0,6,4,4,2,5,1,0,6.81,21,87,56,16,7,7,7,3,2,0,42,,,0,1,0,19,1,0,0,1,0,0,.89,-0.222,-0.13%,-1.47
2018-07-24,BOS,BAL,"L,6-7",53,4.2,6,4,4,2,4,2,0,6.91,22,89,56,12,6,6,10,6,1,0,38,,,0,0,0,20,0,0,0,0,0,0,1.09,-0.312,-0.09%,-1.73
2018-07-31,BOS,PHI,"L,1-3",6,5.0,4,2,2,4,3,0,2,6.56,24,95,50,16,6,6,9,2,2,0,50,,,0,0,0,17,2,0,0,0,1,0,.99,0.023,0.01%,0.66
