date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,BAL,MIN,"W,3-2",99,7.0,5,0,0,1,7,0,0,0.00,26,88,64,11,15,6,12,3,3,0,73,,,2,0,0,25,0,0,0,1,0,0,1.20,0.443,0.25%,3.51
2018-04-04,BAL,HOU,"L,2-3",5,6.0,5,2,1,2,8,0,0,0.69,25,98,66,20,16,7,8,5,1,0,62,,,0,0,0,22,1,0,0,0,0,0,1.38,0.082,0.04%,1.03
2018-04-09,BAL,TOR,"L,1-7",4,7.0,4,2,2,2,10,1,0,1.35,26,101,66,17,18,7,7,5,1,0,69,,,0,0,0,24,0,0,0,1,0,0,1.09,0.136,0.08%,1.51
2018-04-15,BAL,BOS,"L,1-3",5,5.2,7,3,1,2,6,0,0,1.40,27,94,68,17,13,5,14,6,5,0,51,,,1,0,0,25,4,1,0,0,0,1,1.31,-0.115,-0.05%,-0.44
2018-04-20,BAL,CLE,"W,3-1",4,6.0,5,1,1,2,9,0,1,1.42,25,108,71,16,23,6,7,2,1,0,65,,,1,1,0,22,1,0,0,0,0,0,1.18,0.221,0.05%,2.01
2018-04-26,BAL,TBR,"L,5-9",5,4.2,11,8,7,1,4,2,1,2.97,26,86,60,15,6,7,13,5,2,0,15,,,0,0,0,24,2,0,0,0,0,0,.50,-0.385,-0.07%,-5.73
2018-05-02,BAL,LAA,"L,7-10",5,4.1,7,7,5,1,4,3,0,3.76,22,90,63,14,13,4,13,5,0,0,28,,,1,0,0,21,2,0,0,0,0,1,.69,-0.317,-0.04%,-5.18
2018-05-08,BAL,KCR,"L,7-15",5,0.0,5,7,7,2,0,4,0,5.31,7,28,13,2,0,1,4,1,0,0,10,,,0,0,0,5,0,0,0,0,0,0,.77,-0.446,-0.02%,-7.00
2018-05-13,BAL,TBR,"W,17-1",4,7.0,2,0,0,4,7,0,0,4.53,26,100,63,18,13,7,8,2,0,0,76,,,2,0,0,22,2,0,0,1,0,0,.52,0.180,0.01%,3.51
2018-05-19,BAL,BOS,"L,3-6",5,6.0,5,4,4,2,8,3,0,4.70,25,98,69,15,16,4,11,2,2,0,52,,,1,0,0,23,2,0,0,0,0,0,.90,-0.147,-0.01%,-0.81
2018-05-24,BAL,CHW,"W,9-3",4,9.0,2,3,3,1,14,1,1,4.45,31,121,86,25,20,5,10,4,1,0,84,,,0,0,0,29,0,0,0,1,0,0,.18,0.089,0.00%,1.51
2018-05-29,BAL,WSN,"L,2-3",4,6.0,11,3,3,0,6,2,0,4.46,27,94,68,12,13,7,14,8,1,0,44,,,3,0,0,27,0,0,0,2,0,0,1.17,-0.040,0.00%,0.01
2018-06-06,BAL,NYM,"W,1-0",7,7.0,3,0,0,3,5,0,0,4.04,27,96,62,13,10,10,9,3,2,0,73,,,0,0,0,24,2,0,1,0,0,0,1.20,0.421,0.00%,3.11
2018-06-11,BAL,BOS,"L,0-2",4,8.0,3,0,0,2,7,0,0,3.66,28,104,66,13,10,8,11,5,2,0,81,,,1,0,0,26,0,0,0,1,0,0,1.20,0.550,0.00%,4.01
2018-06-17,BAL,MIA,"W,10-4",5,6.0,5,4,4,2,5,2,0,3.81,25,92,63,14,9,4,14,6,2,0,49,,,1,0,0,23,1,0,0,0,0,0,.71,0.124,0.00%,-0.99
2018-06-23,BAL,ATL,"W,7-5",5,6.1,7,2,2,2,8,0,0,3.75,27,99,67,15,11,7,10,6,0,0,57,,,0,0,0,24,1,0,0,1,0,0,.87,0.146,0.00%,1.16
2018-07-06,BAL,MIN,"L,2-6",12,3.1,9,6,5,1,2,1,0,4.08,19,61,40,13,3,5,11,7,1,0,21,,,0,0,0,18,0,0,0,1,0,0,.61,-0.288,0.00%,-4.86
2018-07-11,BAL,NYY,"L,0-9",4,4.0,5,5,5,4,3,1,0,4.35,21,91,57,13,12,4,10,4,0,0,31,,,1,0,0,17,1,0,0,0,0,0,1.00,-0.282,0.00%,-3.00
2018-07-20,BAL,TOR,"L,7-8",8,5.0,5,5,5,1,3,3,1,4.57,22,79,53,13,8,4,13,5,3,0,39,,,0,0,0,19,2,0,0,0,1,0,.78,-0.378,0.00%,-2.50
2018-07-29,BAL,TBR,"W,11-5",8,7.0,4,3,3,0,7,3,1,4.53,26,92,64,18,9,7,11,2,0,0,64,,,0,1,0,25,0,0,0,0,0,1,.77,0.118,0.00%,0.51
2018-08-04,BAL,TEX,"L,1-3",5,6.0,7,2,1,2,6,1,0,4.38,25,104,68,15,8,9,8,6,2,0,56,,,0,1,0,23,1,0,0,1,0,1,.83,0.056,0.00%,1.38
2018-08-10,BAL,BOS,"L,12-19",5,5.0,8,8,7,4,3,2,0,4.70,27,93,58,18,9,5,15,6,3,0,20,,,1,0,0,23,3,1,0,0,0,0,.94,-0.385,0.00%,-4.49
2018-08-15,BAL,NYM,"L,5-16",4,5.1,11,7,7,0,5,1,1,4.99,27,86,63,15,12,5,16,4,3,0,23,,,1,0,0,25,3,2,0,1,1,0,.84,-0.289,0.00%,-3.40
2018-08-21,BAL,TOR,"L,2-8",5,4.0,10,7,7,0,3,3,0,5.31,22,72,49,14,11,4,15,6,3,0,17,,,0,0,0,22,2,0,0,2,0,2,.82,-0.362,0.00%,-5.00
2018-08-26,BAL,NYY,"L,3-5",4,5.0,6,4,4,2,7,1,0,5.37,23,100,59,22,13,4,10,5,0,0,44,,,0,0,0,21,1,0,0,0,0,0,.67,-0.203,0.00%,-1.50
2018-09-01,BAL,KCR,"L,4-5",5,5.1,8,3,3,1,8,1,0,5.36,26,101,71,21,11,5,12,7,0,0,47,,,0,0,0,25,2,0,0,0,0,1,1.20,-0.191,0.00%,-0.86
