date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-07-10,PHI,NYM,"W,7-3",99,6.1,5,3,3,3,6,0,0,4.26,26,94,58,19,8,4,13,7,1,0,54,,,0,0,0,22,1,2,0,1,1,0,.56,0.117,0.11%,0.21
2018-07-15,PHI,MIA,"L,5-10",4,4.1,7,5,5,1,2,2,1,6.75,21,79,52,8,6,9,8,4,1,0,30,,,0,0,1,19,1,0,0,0,0,0,1.02,-0.169,-0.16%,-2.21
2018-08-08,PHI,ARI,"L,0-6",23,1.1,3,0,0,1,1,0,0,6.00,8,32,19,2,6,3,3,3,0,0,,2,2,0,0,0,7,1,0,0,0,0,0,.04,-0.021,-0.02%,-1.05
2018-09-12,PHI,WSN,"L,1-5",34,2.0,1,0,0,0,2,0,0,5.14,7,38,27,8,2,3,2,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.11,0.011,0.00%,0.99
2018-09-16,PHI,MIA,"L,4-6",3,2.0,1,0,0,0,1,0,0,4.50,6,23,14,3,3,5,0,0,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.13,0.014,0.00%,0.99
2018-09-22,PHI,ATL,"L,3-5",5,2.0,0,0,0,1,2,0,0,4.00,6,37,22,3,7,2,1,1,0,0,,0,0,0,1,0,4,0,0,0,0,0,0,.26,0.031,0.00%,0.98
2018-09-25,PHI,COL,"L,3-10",2,1.0,2,2,2,2,1,0,0,4.74,7,32,16,1,3,3,1,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.18,-0.027,0.00%,-1.43
2021-05-05,PHI,MIL,"W,5-4",99,1.0,1,0,0,0,1,0,1,0.00,5,21,15,0,4,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,3.12,0.121,0.08%,0.51
2021-05-08,PHI,ATL,"L,7-8",2,0.0,2,4,3,1,0,0,0,27.00,3,13,9,0,1,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,3.64,-0.714,-0.56%,-3.00
2021-05-13,PHI,WSN,"L,1-5",4,1.0,0,0,0,0,1,0,0,13.50,3,11,8,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.49
2021-06-13,PHI,NYY,"W,7-0",30,1.0,1,0,0,0,2,0,0,9.00,4,17,13,2,4,0,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.02,0.001,0.00%,0.51
2021-06-28,PHI,CIN,"L,4-12",14,0.2,4,6,2,1,1,1,0,12.27,8,37,25,5,1,3,3,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.18,-0.067,-0.04%,-5.54
2021-06-30,PHI,MIA,"L,6-11",1,1.0,1,0,0,0,3,0,0,9.64,4,16,11,3,3,0,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.007,0.00%,0.51
2021-07-04,PHI,SDP,"L,1-11",3,2.0,2,0,0,1,3,0,0,6.75,9,30,21,4,7,4,1,1,0,0,,0,0,0,0,0,8,1,0,1,0,0,0,.20,0.020,0.01%,1.01
2021-07-06,PHI,CHC,"W,15-10",1,1.0,2,1,1,0,3,1,0,7.04,5,17,13,3,4,1,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.06,0.003,0.00%,-0.49
2021-07-09,PHI,BOS,"L,5-11",2,1.2,3,1,1,0,2,0,0,6.75,8,37,28,4,6,3,3,2,0,0,,1,1,0,0,0,8,1,0,0,0,0,0,.37,-0.050,-0.03%,-0.85
2021-07-16,PHI,MIA,"L,0-7",6,1.1,1,1,1,0,2,1,0,6.75,5,15,14,4,2,1,2,0,1,0,,2,2,0,0,0,5,0,0,0,0,0,0,.12,-0.064,-0.04%,-2.05
2021-07-20,PHI,NYY,"L,4-6",3,1.0,1,1,1,0,1,1,0,6.94,4,18,14,3,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.16,-0.027,-0.02%,-0.48
2021-07-24,PHI,ATL,"L,3-15",3,1.1,3,4,3,1,2,1,0,8.31,9,41,24,6,7,2,4,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,1,.05,-0.004,0.00%,-2.52
2021-07-27,PHI,WSN,"L,4-6",2,1.0,0,0,0,0,2,0,0,7.71,3,17,8,0,5,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.018,0.01%,0.51
2021-07-29,PHI,WSN,"W,11-8",1,1.0,0,0,0,0,1,0,0,7.20,3,10,7,1,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,0.01%,0.51
2021-07-30,PHI,PIT,"L,0-7",0,1.0,1,0,0,2,1,0,0,6.75,6,35,21,3,3,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.00%,0.50
2021-08-02,PHI,WSN,"W,7-5",2,0.2,1,1,1,0,1,1,1,7.02,4,11,8,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.36,-0.166,-0.13%,-0.83
2021-08-05,PHI,WSN,"W,7-6",2,1.0,0,0,0,0,0,0,1,6.62,4,9,6,0,2,2,1,0,0,0,,0,0,0,0,1,3,0,0,0,0,0,1,.48,0.016,0.02%,0.49
2021-08-10,PHI,LAD,"L,0-5",4,1.2,3,0,0,1,3,0,0,6.05,9,38,22,6,5,2,3,1,0,0,,2,2,0,0,0,8,0,0,0,0,0,0,.43,-0.047,-0.05%,-0.08
2021-08-12,PHI,LAD,"W,2-1",1,0.2,0,0,0,1,0,0,0,5.85,3,5,4,1,0,2,0,0,0,0,,2,1,0,0,0,2,0,0,1,0,0,0,2.19,0.009,0.01%,-0.08
2021-08-15,PHI,CIN,"L,4-7",2,1.0,1,0,0,0,3,0,0,5.57,4,16,10,3,3,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.13,0.008,0.01%,0.51
2021-08-19,PHI,ARI,"L,2-6",3,1.1,1,0,0,0,3,0,0,5.24,5,25,20,3,8,0,2,1,0,0,,2,2,0,0,0,5,1,0,0,0,0,0,.06,-0.020,-0.02%,-1.05
2021-08-27,PHI,ARI,"W,7-6",7,2.0,1,2,1,1,1,1,0,5.18,8,27,18,2,3,2,4,0,0,0,,0,0,0,0,0,6,0,0,1,0,0,0,3.45,0.011,0.01%,0.26
2021-08-31,PHI,WSN,"W,12-6",3,1.0,2,1,1,0,1,0,0,5.33,5,16,10,4,2,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.08,0.001,0.00%,-0.52
2021-09-02,PHI,WSN,"W,7-6",1,0.1,0,0,0,1,0,0,0,5.26,2,10,5,1,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,.14,0.003,0.00%,0.43
