date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-08-21,SDP,CIN,"L,2-4",99,0.1,2,3,1,1,0,0,0,27.00,5,12,7,1,2,2,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,1,1.49,-0.217,-0.01%,-2.08
2019-08-23,SDP,BOS,"L,0-11",1,2.2,4,2,2,0,2,1,0,9.00,12,41,27,8,5,6,4,2,0,0,,2,2,0,0,0,12,0,0,0,0,0,0,.01,-0.008,0.00%,-1.59
2019-09-09,SDP,CHC,"L,2-10",16,0.2,1,0,0,0,0,0,0,7.36,3,9,6,2,0,2,1,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,.29,-0.018,0.00%,-0.47
2019-09-13,SDP,COL,"L,8-10",3,1.1,1,0,0,1,1,0,0,5.40,6,20,11,4,0,1,3,0,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.12,0.009,0.00%,0.76
2019-09-16,SDP,MIL,"L,1-5",2,0.1,0,0,0,0,1,0,0,5.06,1,5,4,3,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.01,0.028,0.00%,0.38
2019-09-20,SDP,ARI,"L,0-9",3,1.0,0,0,0,0,1,0,0,4.26,3,14,10,3,0,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.50
2019-09-22,SDP,ARI,"W,6-4",1,1.0,1,0,0,1,1,0,0,3.68,5,23,15,2,4,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.11,0.038,0.00%,0.50
2019-09-26,SDP,LAD,"L,0-1",3,1.0,1,0,0,0,1,0,0,3.24,3,12,9,4,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.67,0.038,0.00%,0.50
2019-09-27,SDP,ARI,"L,3-6",0,1.1,0,0,0,0,0,0,1,2.79,6,20,17,5,2,5,0,0,0,0,,3,1,0,0,0,5,0,0,0,0,0,1,1.77,0.016,0.00%,0.33
2019-09-29,SDP,ARI,"L,0-1",1,2.0,2,0,0,0,0,0,0,2.31,8,25,18,4,3,8,0,0,0,0,,0,0,0,0,0,8,0,0,0,1,0,1,1.31,0.146,0.00%,1.07
2021-04-01,MIL,MIN,"W,6-5",99,1.0,2,2,2,0,0,1,0,18.00,5,18,12,5,1,3,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.62,-0.180,-0.10%,-1.48
2021-04-04,MIL,MIN,"L,2-8",2,1.0,0,0,0,0,2,0,0,9.00,3,10,7,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.52
2021-04-05,MIL,CHC,"L,3-5",0,1.0,0,0,0,1,0,0,1,6.00,4,18,8,4,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.26,0.010,0.01%,0.51
2021-04-08,MIL,STL,"L,1-3",2,1.0,3,1,1,1,0,0,0,6.75,7,26,16,3,3,2,4,3,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,3.07,-0.152,-0.10%,-0.53
2021-04-11,MIL,STL,"W,9-3",2,1.0,2,2,2,1,0,0,1,9.00,6,22,12,2,1,2,2,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.00,-0.025,-0.02%,-1.53
2021-04-17,MIL,PIT,"W,7-1",5,1.0,0,0,0,0,0,0,0,7.50,4,13,7,2,0,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.19,0.006,0.00%,0.52
2021-04-20,MIL,SDP,"W,6-0",2,1.0,2,0,0,0,1,0,0,6.43,5,14,11,5,1,1,3,1,2,0,,0,0,0,0,0,5,0,0,0,0,0,0,.39,0.018,0.01%,0.47
2021-04-23,MIL,CHC,"L,2-15",2,1.0,1,0,0,0,0,0,0,5.63,3,11,7,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.00,0.000,0.00%,0.51
2021-04-25,MIL,CHC,"W,6-0",1,1.0,1,0,0,0,0,0,0,5.00,4,12,8,2,0,2,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.06,0.003,0.00%,0.51
2021-04-28,MIL,MIA,"L,2-6",2,2.0,3,2,2,1,1,1,0,5.73,10,34,18,8,1,5,3,1,0,0,,2,2,1,0,0,9,0,0,1,0,0,0,1.07,-0.217,-0.16%,-1.97
2021-05-25,MIL,SDP,"L,1-7",26,1.0,3,2,2,0,0,0,0,6.75,6,20,12,0,2,2,4,3,0,0,,0,0,0,0,0,6,2,0,0,0,0,0,.22,-0.039,-0.03%,-1.48
2021-05-29,MIL,WSN,"W,6-2",3,1.0,1,0,0,0,0,0,0,6.23,4,16,12,3,0,4,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.50,0.017,0.01%,0.49
2021-06-01,MIL,DET,"L,7-10",2,1.0,1,2,2,3,0,0,0,7.07,6,29,12,6,0,1,2,1,0,0,,0,0,0,0,0,2,1,0,0,1,1,0,.31,-0.057,-0.04%,-1.48
2021-06-09,MIL,CIN,"L,3-7",7,1.0,1,0,0,1,1,0,0,6.60,4,12,8,2,1,1,1,1,0,0,,0,0,0,0,0,3,1,0,0,1,0,0,.05,0.002,0.00%,0.58
2021-06-12,MIL,PIT,"W,7-4",2,1.0,0,0,0,0,0,0,0,6.19,3,10,7,2,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.63,0.048,0.04%,0.52
2021-06-14,MIL,CIN,"L,2-10",1,2.0,1,2,2,2,0,1,1,6.50,10,29,13,2,0,4,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.65,-0.074,-0.07%,-0.97
2021-06-17,MIL,COL,"L,3-7",2,0.2,3,2,1,0,0,0,0,6.75,5,21,13,6,0,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.17,-0.021,-0.02%,-1.69
2020-07-25,MIL,CHC,"W,8-3",99,1.0,0,0,0,0,1,0,0,0.00,3,20,16,2,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.009,0.01%,0.54
2020-07-27,MIL,PIT,"W,6-5",1,1.0,1,0,0,0,0,0,0,0.00,3,8,5,2,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.07,0.003,0.00%,0.51
