date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-05-04,SEA,LAA,"L,0-5",99,1.2,0,0,0,0,3,0,0,0.00,5,24,16,3,7,0,2,1,1,0,,1,0,1,0,0,5,0,0,0,0,0,0,.41,0.043,0.04%,0.99
2018-05-05,SEA,LAA,"W,9-8",0,1.0,1,1,1,2,0,0,0,3.38,5,22,10,1,2,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.90,-0.307,-0.25%,-0.52
2018-05-09,SEA,TOR,"L,2-5",3,0.2,1,0,0,0,2,0,0,2.70,3,10,8,3,4,1,0,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.24,-0.021,-0.02%,-0.32
2018-05-12,SEA,DET,"L,3-4",2,2.0,2,0,0,0,2,0,0,1.69,7,22,15,4,4,2,3,1,1,0,,0,0,0,0,0,7,0,0,0,1,0,0,.66,0.079,0.05%,1.05
2018-05-15,SEA,TEX,"W,9-8",2,2.0,0,0,0,3,2,0,0,1.23,9,46,26,5,5,1,3,1,1,0,,0,0,0,0,0,6,0,0,1,0,0,0,2.74,0.266,0.19%,0.96
2018-05-19,LAD,WSN,"W,5-4",3,1.0,0,0,0,1,1,0,0,1.08,4,16,10,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.55,0.032,0.01%,0.51
2018-05-20,LAD,WSN,"W,7-2",0,0.2,1,0,0,1,1,0,0,1.00,4,18,10,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.71,0.003,0.00%,0.07
2018-05-22,LAD,COL,"W,5-3",1,1.0,0,0,0,0,0,0,0,0.90,3,11,7,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.87,0.065,0.03%,0.47
2018-05-26,LAD,SDP,"L,5-7",3,1.0,1,0,0,2,1,0,0,0.82,6,28,17,3,4,1,2,1,1,0,,0,0,1,0,0,4,0,0,1,0,0,0,.50,0.016,0.01%,0.47
2018-05-28,LAD,PHI,"W,5-4",1,1.0,1,0,0,0,1,0,0,0.75,4,16,10,2,3,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.28,0.013,0.01%,0.47
2018-05-29,LAD,PHI,"L,1-6",0,1.0,0,0,0,1,2,0,0,0.69,4,19,12,5,3,0,1,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.44,0.027,0.01%,0.47
2018-06-01,LAD,COL,"W,11-8",2,1.0,1,0,0,0,0,0,0,0.64,4,14,9,2,2,1,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.81,0.062,0.04%,0.57
2018-06-03,LAD,COL,"W,10-7",1,1.0,0,0,0,0,3,0,0,0.60,3,16,10,2,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.49,0.039,0.03%,0.57
2018-06-06,LAD,PIT,"L,9-11",2,1.0,0,0,0,1,1,0,0,0.56,4,16,10,2,2,0,2,0,1,0,,0,0,1,0,0,3,0,0,0,0,0,0,.12,0.005,0.00%,0.46
2018-06-07,LAD,PIT,"W,8-7",0,1.2,2,0,0,0,1,0,0,0.51,7,35,24,8,1,2,4,3,0,0,,1,1,0,0,0,6,0,0,0,0,1,0,1.46,0.023,0.01%,0.11
2018-06-10,LAD,ATL,"W,7-2",2,1.1,2,0,0,0,1,0,0,0.47,6,20,13,3,4,5,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.24,0.015,0.01%,0.57
2018-06-13,LAD,TEX,"W,3-2",2,1.0,2,0,0,0,2,0,0,0.45,5,25,17,3,5,1,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.21,0.132,0.09%,0.47
2018-06-17,LAD,SFG,"L,1-4",3,1.2,1,0,0,1,2,0,0,0.42,7,25,17,2,6,3,1,1,0,0,,0,0,1,0,0,6,0,0,1,0,0,0,.44,0.031,0.03%,0.72
2018-06-19,LAD,CHC,"L,1-2",1,1.0,1,1,1,0,1,1,0,0.79,4,10,7,3,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.32,-0.139,-0.12%,-0.50
